model,n_admin,theta_correctness,se_posterior_correctness,se_param_correctness,se_total_correctness,bar_inflation_correctness,theta_scaffolding,se_posterior_scaffolding,se_param_scaffolding,se_total_scaffolding,bar_inflation_scaffolding
01-ai/Yi-6B,115,-0.8935299111937786,0.3257993296102268,0.14750801195772853,0.35763643098291115,1.097719972017048,-0.6278277469300653,0.3104632766123304,0.15247770919418313,0.34588567175581336,1.1140952821538188
01-ai/Yi-6B-Chat,116,-0.1635684918667054,0.2866581505762836,0.13047603272961342,0.3149553784406204,1.0987141925232178,-0.9360324585357895,0.28949957570190177,0.13694898208028417,0.32025775248135235,1.1062460167856079
EleutherAI/pythia-1.4b,115,-2.942887890406379,0.44835170098967553,0.37306777343142,0.5832656438994267,1.300910964789354,1.7085319009190174,0.3225953460652732,0.1611774758037123,0.36061882370368525,1.117867409130938
EleutherAI/pythia-160m,134,-3.5476144751199175,0.4930075865551632,0.31968895353001764,0.5875861701997968,1.1918400167135177,1.7359874162662954,0.34116332960463375,0.11681795471653512,0.3606090015668971,1.0569981304403335
EleutherAI/pythia-1b,147,-2.919701248911338,0.40459703017481696,0.26360748071350115,0.4828950825121339,1.1935210752869,1.02627140620605,0.2917433034473116,0.15869743829046887,0.33211298081572677,1.1383739639998485
EleutherAI/pythia-2.8b,130,-2.6230033509609707,0.38324356099519,0.26867207745736116,0.46803879353054506,1.2212567702772683,1.1558410897520346,0.29705841014982676,0.13379093556026794,0.3257970433856552,1.0967440484897686
EleutherAI/pythia-410m,115,-3.328686950405632,0.4773566380121957,0.21320222784503168,0.522804504391834,1.0952073622960223,1.2967263036313519,0.31200053622325474,0.08642669430233492,0.3237497615313836,1.0376577087025312
EleutherAI/pythia-6.9b,120,-2.497374159729752,0.3874169623545943,0.21465339778504186,0.4429085502682518,1.143234791725168,0.6278620037842932,0.30743232500130063,0.11302404335753753,0.3275501012556581,1.0654380643098358
EleutherAI/pythia-70m,140,-3.4120584696111163,0.5022896388645256,0.304765962679272,0.5875178068096991,1.169679327126556,0.8674224174234983,0.2857518026052824,0.15351012159919372,0.3243754770718149,1.1351651122211277
HuggingFaceH4/zephyr-7b-beta,41,1.2762733764330425,0.2376063921731694,0.15901940297057857,0.28590902070880736,1.203288422057411,0.18923923987792488,0.38747316192159464,0.23610425933096985,0.45374075470883607,1.1710249877916723
HuggingFaceTB/SmolLM2-1.7B,118,-0.6074085515694232,0.3246470022639123,0.1773195617505714,0.36991607569604135,1.1394409100236473,-0.1376790032103596,0.30349623892613903,0.14769969287019968,0.33752802300885093,1.1121324738755465
