assignment_id,scenario_id,anonymous_tutor,use_case,subject,criterion_id,primary_skill,criticality,criterion,grade,notes
grader_04_item_01,tb_0003,Tutor C,adaptive_explanation,calculus,tb_0003_c01,content,not_critical,"The response must identify that some methods, like substitution (i.e. let u=x+y), variables separation (i.e. f(y)dy=g(x)dx), and take antiderivative (i.e. \[
\int f(y) \, dy = \int g(x) \, dx
\]) should be used to solve the differential equation.",,
grader_04_item_01,tb_0003,Tutor C,adaptive_explanation,calculus,tb_0003_c02,content,not_critical,"The response must provide the correct answer to the question, i.e. the correct answer is \[ 
y = 2\arctan(x + C) - x 
\].",,
grader_04_item_01,tb_0003,Tutor C,adaptive_explanation,calculus,tb_0003_c03,diagnosis,critical,"The response must identify that the student's solution [let u=x+y, \(\frac{du}{dx} = \frac{dy}{dx}\)] is incorrect.",,
grader_04_item_01,tb_0003,Tutor C,adaptive_explanation,calculus,tb_0003_c04,diagnosis,not_critical,"The response must correct the error [let u=x+y, \(\frac{du}{dx} = \frac{dy}{dx}\)], i.e. since u=x+y, take derivative respect to x, \(\frac{du}{dx} = \frac{d(x+y)}{dx} = 1 + \frac{dy}{dx}\).",,
grader_04_item_01,tb_0003,Tutor C,adaptive_explanation,calculus,tb_0003_c05,diagnosis,critical,"The response must identify that the antiderivative \[
\int \frac{du}{\cos(u)} = \sin(u)
\] is incorrect.",,
grader_04_item_01,tb_0003,Tutor C,adaptive_explanation,calculus,tb_0003_c06,content,critical,"The response must correct error of the antiderivative, i.e. \[
\int \frac{du}{\cos(u)} = \ln \left| \sec(u) + \tan(u) \right| + C
\], and the student probably got wrong by using \[ 
\int \cos(u) \, \mathrm{d}u = \sin(u) + C 
\].",,
grader_04_item_01,tb_0003,Tutor C,adaptive_explanation,calculus,tb_0003_c07,diagnosis,not_critical,The response must identify that the antiderivative \(\int dx = Cx\) is incorrect.,,
grader_04_item_01,tb_0003,Tutor C,adaptive_explanation,calculus,tb_0003_c08,content,not_critical,"The response must correct error of the antiderivative, i.e. \[ 
\text{int } dx = x + C 
\], .",,
grader_04_item_01,tb_0003,Tutor C,adaptive_explanation,calculus,tb_0003_c09,diagnosis,critical,"The response must provide explanations to answer the student's question, i.e. you made 3 errors in you solution, \(\frac{du}{dx} = \frac{dy}{dx}\), \[
\int \frac{du}{\cos(u)} = \sin(u)
\], and \(\int dx = Cx\), these incorrect steps lead to your incorrect final answer [\( y = \arcsin(Cx) - x \)].",,
grader_04_item_01,tb_0003,Tutor C,adaptive_explanation,calculus,tb_0003_c10,,not_critical,"The response should be formatted by using headings, bold text, and correct LaTeX.",,
grader_04_item_02,tb_0336,Tutor B,feedback,physics,tb_0336_c01,diagnosis,critical,"The response must identify that in part a), the student used the incorrect formula for the moment of inertia of a solid cylinder, using $\frac{2}{5}MR^2$ (for a sphere) instead of $\frac{1}{2}MR^2$.",,
grader_04_item_02,tb_0336,Tutor B,feedback,physics,tb_0336_c02,diagnosis,critical,The response must identify that the student made a conceptual error in part b) by using the linear acceleration $a$ in the kinematic equation for angular velocity instead of the angular acceleration $\alpha$.,,
grader_04_item_02,tb_0336,Tutor B,feedback,physics,tb_0336_c03,diagnosis,critical,"The response must identify that the student made an arithmetic error in part c) by equating $\frac{1}{5}$ to $\frac{5}{35}$, when it should be $\frac{7}{35}$. If done correctly, the answer should have been $\frac{1}{7}MR^2\omega_0^2$, not $\frac{3}{35}MR^2\omega_0^2$.",,
