model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding
01-ai/Yi-6B,17,80,precision_reached,True,80,0,0.08193979933110368,-1.0704346703763623,-0.4019,-0.4483868208237615,-0.4275358311690411,0.337263,59,0.06297062464348907,-0.710404,-0.6392406057407367,-0.8366542582666721,0.340413,31
01-ai/Yi-6B-Chat,16,82,precision_reached,True,82,0,0.11865357643758766,-0.20101842941183268,-0.144576,-0.21799834600272378,-0.21258029663407718,0.325036,60,-0.7662038966888817,-0.992601,-0.9452587820107268,-1.1873406622672225,0.340382,38
EleutherAI/pythia-1.4b,16,71,precision_reached,True,71,0,0.06802533737262462,-2.4050538814660434,-1.913933,-2.5783694215962987,-3.563900340895553,0.346374,56,1.2239202146278805,1.519171,1.6361477548996601,1.866783979755943,0.33057,23
EleutherAI/pythia-160m,16,78,precision_reached,True,78,0,0.04298704877376688,-5.905746395609428,-2.382546,-3.0926951334190598,-4.752773957413271,0.344093,61,1.8460324088623938,1.665255,1.7833434478343269,2.090122373251846,0.342421,27
EleutherAI/pythia-1b,23,91,precision_reached,True,91,0,0.06344827586206897,-2.628970270212859,-2.325706,-2.91382392962266,-4.005088466381968,0.338515,69,1.119802726830886,0.863287,0.9137327078550208,1.0165574061686204,0.346704,30
EleutherAI/pythia-2.8b,16,83,precision_reached,True,83,0,0.05953693495038589,-2.628843696421378,-2.340707,-3.069873027223663,-4.981726390005184,0.342652,64,0.990706262686823,0.968889,0.9338539217627996,1.072839958188174,0.343527,32
EleutherAI/pythia-410m,16,78,precision_reached,True,78,0,0.055907463508675294,-3.7524347791206836,-2.282235,-2.9207201602007764,-4.078817586797779,0.340181,60,1.4646678321988662,0.928355,0.936357086593145,1.0643065811647372,0.33132,32
EleutherAI/pythia-6.9b,20,89,precision_reached,True,89,0,0.05853119823302043,-2.3886528441452617,-2.025203,-2.4859116986766687,-3.072013801219444,0.336121,68,0.7290093698361134,0.604356,0.6058362313770668,0.6777232014099511,0.327736,33
EleutherAI/pythia-70m,21,87,precision_reached,True,87,0,0.03271927412702777,-6.124541847468202,-2.105907,-2.8973607631401856,-4.91699961861707,0.349636,64,0.9971778051884745,0.692825,0.6945651162896829,0.7447400758021492,0.344657,30
HuggingFaceH4/zephyr-7b-beta,10,41,precision_reached,True,41,0,0.24400446179587285,1.0735464455197932,1.331257,1.2762993088911023,1.3485953662993642,0.233772,32,0.5360821953414793,0.455149,0.18923142500269377,0.520381241787663,0.22451,16
