rank,model,theta_ability,se_online_ability,scorable_evals_ability,criteria_administered,scenarios_administered
1,tiiuae/Falcon3-3B-Instruct,1.9664,0.1086,15,15,12
2,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1.6894,0.1102,16,16,11
3,ibm-granite/granite-3.1-2b-instruct,1.632,0.1145,15,15,12
4,tiiuae/Falcon3-3B-Base,1.2655,0.1238,15,15,11
5,nvidia/AceInstruct-1.5B,1.2608,0.1194,15,15,13
6,meta-llama/Llama-3.2-3B-Instruct,1.2224,0.1131,15,15,12
7,ibm-granite/granite-3.1-2b-base,1.1815,0.1386,15,15,11
8,01-ai/Yi-1.5-6B-Chat,1.1412,0.1117,16,16,12
9,pankajmathur/orca_mini_v9_5_3B-Instruct,1.1279,0.1194,16,16,11
10,tiiuae/Falcon3-1B-Instruct,1.055,0.113,16,16,13
11,arcee-ai/raspberry-3B,1.0514,0.1323,16,16,11
12,ibm-granite/granite-3.0-2b-base,0.79,0.1444,16,16,11
13,ibm-granite/granite-7b-instruct,0.5286,0.1796,17,17,10
14,01-ai/Yi-6B-Chat,0.456,0.1762,16,16,11
15,BSC-LT/salamandra-7b-instruct,0.2289,0.1778,15,15,10
16,allenai/OLMo-2-0425-1B-Instruct,0.1956,0.1762,15,15,10
17,stabilityai/stablelm-2-1_6b-chat,0.1762,0.1934,15,15,11
18,allenai/OLMo-2-0425-1B-DPO,0.1061,0.1894,16,16,11
19,01-ai/Yi-1.5-6B,0.0619,0.17,16,16,11
20,OpenBMB/MiniCPM4-0.5B,0.0348,0.196,15,15,10
21,ibm/PowerLM-3b,0.0026,0.1755,15,15,11
22,Qwen/Qwen1.5-1.8B-Chat,-0.1468,0.2326,16,16,10
23,meta-llama/Llama-3.2-1B-Instruct,-0.2084,0.1983,16,16,11
24,Qwen/Qwen2.5-0.5B-Instruct,-0.2446,0.2144,15,15,9
25,stabilityai/stablelm-zephyr-3b,-0.2957,0.2385,16,16,10
26,openbmb/MiniCPM-2B-sft-bf16,-0.6839,0.2377,16,16,9
27,stabilityai/stablelm-2-zephyr-1_6b,-0.7481,0.2403,15,15,10
28,meta-llama/Llama-3.2-1B,-0.7734,0.2209,15,15,11
29,pankajmathur/orca_mini_3b,-0.784,0.2206,17,17,11
30,google/gemma-2b,-0.7842,0.2018,15,15,11
31,h2oai/h2o-danube2-1.8b-chat,-0.7898,0.2298,15,15,11
32,microsoft/phi-1_5,-0.8558,0.2388,15,15,11
33,BSC-LT/salamandra-7b,-0.8897,0.2091,15,15,11
34,utter-project/EuroLLM-1.7B-Instruct,-0.9371,0.246,16,16,10
35,BSC-LT/salamandra-2b-instruct,-0.9811,0.2302,15,15,10
36,01-ai/Yi-6B,-1.0607,0.2164,15,15,9
37,h2oai/h2o-danube-1.8b-chat,-1.0641,0.2267,15,15,10
38,allenai/OLMo-2-0425-1B,-1.1346,0.2382,15,15,9
39,01-ai/Yi-6B-200K,-1.1398,0.2271,15,15,7
40,allenai/OLMo-1B-hf,-1.3421,0.1904,18,18,10
41,h2oai/h2o-danube2-1.8b-base,-1.3525,0.2313,16,16,13
42,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-1.3575,0.2041,16,16,10
43,utter-project/EuroLLM-1.7B,-1.3891,0.2052,17,17,10
44,ai-forever/mGPT,-1.5149,0.2052,16,16,10
45,google/gemma-2-2b,-1.5218,0.2136,15,15,9
46,openbmb/MiniCPM-1B-sft-bf16,-1.5541,0.2273,15,15,10
47,BEE-spoke-data/smol_llama-220M-openhermes,-1.5893,0.2127,15,15,10
48,BSC-LT/salamandra-2b,-1.6138,0.2261,15,15,10
49,Qwen/Qwen1.5-1.8B,-1.7067,0.2532,15,15,8
50,Qwen/Qwen2-0.5B,-1.7097,0.2551,16,16,9
51,HuggingFaceTB/SmolLM2-360M,-1.8066,0.2537,16,16,7
52,openlm-research/open_llama_3b,-1.9837,0.2521,15,15,8
