rank,model,theta,theta_debiased,se_ability,se_param,se_judge,bias_band_low,bias_band_high,n_admin_scenarios,n_admin_criteria,stop_reason,hit_cap,observed_pass_rate,se_total,judge
1,tiiuae/Falcon3-3B-Instruct,2.7112618605327756,2.7196830182721277,0.25464730834472304,0.258,0.07648818946611366,2.711261860532773,2.7744205435777265,15,27,plateau,False,0.592443729903537,0.3704857551580311,gemini-3-flash-preview
2,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.6648601743919653,2.6860295447256335,0.19528312979777152,0.1653,0.05694229658087784,2.669007764878953,2.705720587161157,20,31,precision,False,0.5570739549839229,0.2621106940273859,gemini-3-flash-preview
3,ibm-granite/granite-3.1-2b-instruct,2.171282890671704,2.1950718079790823,0.1300172252797687,0.1245,0.03934160478525166,2.1754687713619747,2.226792165672238,15,27,precision,False,0.5112540192926045,0.18426201653224428,gemini-3-flash-preview
4,meta-llama/Llama-3.2-3B-Instruct,1.3339104316780719,1.3817433418044651,0.10924209141330701,0.0782,0.053158582138364344,1.3478127269472098,1.4495582565245997,15,25,precision,False,0.4212218649517685,0.1444815192033727,gemini-3-flash-preview
5,pankajmathur/orca_mini_v9_5_3B-Instruct,1.3087467000461923,1.3702950769766122,0.1127577128327619,0.0868,0.05396504159598513,1.3267448412128529,1.4586620764402083,15,25,precision,False,0.34163987138263663,0.15218662069226718,gemini-3-flash-preview
6,nvidia/AceInstruct-1.5B,1.2882777261414369,1.3616917873197862,0.12298474357746006,0.0818,0.07145712675938955,1.3061513345672728,1.4772251747476526,15,28,precision,False,0.409967845659164,0.16408110225593034,gemini-3-flash-preview
7,ibm-granite/granite-3.1-2b-base,1.2569255704296232,1.331107230855939,0.10614107799438989,0.0698,0.06524202710404176,1.2743789135043164,1.4331435052455739,15,26,precision,False,0.31511254019292606,0.1428092802952794,gemini-3-flash-preview
8,tiiuae/Falcon3-3B-Base,1.2404986779443699,1.3044000393783197,0.1110079984302923,0.074,0.057560572671713155,1.258723379212407,1.3983204751923113,15,26,precision,False,0.42363344051446944,0.14529967392184798,gemini-3-flash-preview
9,arcee-ai/raspberry-3B,1.2102857593534924,1.2864692937615372,0.10585225514136529,0.072,0.06114901548848639,1.2305725152308888,1.396111262863734,15,27,precision,False,0.38022508038585207,0.1418728374768188,gemini-3-flash-preview
10,ibm-granite/granite-3.0-2b-base,1.1303917824724519,1.2434723119976838,0.12993927106637623,0.1009,0.19064671622240725,1.154633713817915,1.3941289094345077,15,26,precision,False,0.2821543408360129,0.251815794920907,gemini-3-flash-preview
11,01-ai/Yi-1.5-6B-Chat,1.0770063965621703,1.169523434361461,0.10699201504110821,0.0874,0.06721899207137484,1.1065887713402198,1.3055110745021676,15,29,precision,False,0.46061093247588425,0.15363737884267709,gemini-3-flash-preview
12,tiiuae/Falcon3-1B-Instruct,0.9410243983940856,1.068712672855015,0.12313989569014429,0.0725,0.08596609408688262,0.9774623426766302,1.2280649708159077,15,29,precision,False,0.32556270096463025,0.16676286530020515,gemini-3-flash-preview
13,ibm/PowerLM-3b,0.48394918233148687,0.764413469176594,0.14854179044303184,0.0665,0.1702334380423888,0.5624201142252887,1.0686405114922166,15,29,precision,False,0.24115755627009647,0.23551292307589708,gemini-3-flash-preview
14,allenai/OLMo-2-0425-1B-DPO,0.3010875245203597,0.6377774912596926,0.1458693617466641,0.097,0.20464651468079134,0.37991295756484883,1.0784249076012427,15,27,precision,False,0.24758842443729903,0.26938275124323474,gemini-3-flash-preview
15,01-ai/Yi-1.5-6B,0.24851275360185615,0.6272760862301265,0.1525818660314457,0.0896,0.3955260041794969,0.3057424495590782,1.69685298835282,15,21,precision,False,0.2347266881028939,0.4333015183724117,gemini-3-flash-preview
16,01-ai/Yi-6B-Chat,0.24280604595086727,0.577507009071022,0.15112564997062491,0.1017,0.2488093077747086,0.3022271297366761,1.2101733466429792,15,22,precision,False,0.2580385852090032,0.3083632982609531,gemini-3-flash-preview
17,allenai/OLMo-2-0425-1B-Instruct,0.04855053670345025,0.4192579043857387,0.15468498133554612,0.0877,0.28985391653800124,0.11933488090886912,1.2129847001400913,15,23,precision,False,0.2580385852090032,0.3400500351171822,gemini-3-flash-preview
18,stabilityai/stablelm-2-1_6b-chat,-0.02740049568031445,0.3815260480150752,0.16940061785177665,0.1456,0.27408018245629767,0.05379008018429322,1.2040740443258804,15,20,precision,False,0.20739549839228297,0.3535758415726972,gemini-3-flash-preview
19,BSC-LT/salamandra-7b-instruct,-0.08525435455359179,0.3566411059829972,0.1743861622448094,0.1069,0.30273074843983794,0.008143421580788665,1.378022959194408,15,21,precision,False,0.2427652733118971,0.36535469017574884,gemini-3-flash-preview
20,ibm-granite/granite-7b-instruct,-0.11968455873983325,0.35795014051297225,0.17605481454458183,0.0653,0.31217929550017376,-0.0113723446692788,1.2889233034698433,15,23,precision,False,0.2387459807073955,0.3643011120808059,gemini-3-flash-preview
21,OpenBMB/MiniCPM4-0.5B,-0.24003979118622812,0.2664224184839811,0.20208348719726937,0.0556,0.30575353786935194,-0.11201570771876353,1.3203503340367346,15,21,precision,False,0.182475884244373,0.3706943777796396,gemini-3-flash-preview
22,meta-llama/Llama-3.2-1B-Instruct,-0.26541796838182896,0.2707633485773292,0.19337586808188492,0.0639,0.3109939350457242,-0.11384110280172674,1.3329632463856047,15,24,precision,False,0.20980707395498394,0.37174542901244484,gemini-3-flash-preview
23,stabilityai/stablelm-zephyr-3b,-0.3131320490252629,0.33255011105875665,0.20830777547545584,0.1472,0.34434444229110134,-0.14269453282622024,1.3186453927410628,15,24,precision,False,0.23392282958199356,0.4285242866633145,gemini-3-flash-preview
24,google/gemma-2b,-0.37885935295552237,0.2755047145848276,0.23047722490774517,0.0985,0.3169002992571333,-0.16975015481346692,1.1995677858384242,15,23,precision,False,0.1157556270096463,0.4040393555960063,gemini-3-flash-preview
