model,theta_full,se_judge_tierA_full,se_judge_tierB_full,se_judge_diff_B_minus_A
01-ai/Yi-1.5-6B,0.19269276909550617,0.24471640894642618,0.07224366745213175,-0.17247274149429442
01-ai/Yi-1.5-6B-Chat,1.4300955250858471,0.11387316791108877,0.040457362220759595,-0.07341580569032918
01-ai/Yi-6B,-1.2165886991336086,0.40718035198371233,0.11467381632404024,-0.2925065356596721
01-ai/Yi-6B-200K,-1.1540143241709966,0.39992354360601023,0.195148911688406,-0.20477463191760423
01-ai/Yi-6B-Chat,0.2941407398224833,0.22355757982001595,0.06721360834202869,-0.15634397147798726
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-4.76009804034376,0.5024377027050269,0.3859621052947251,-0.11647559741030178
BEE-spoke-data/smol_llama-220M-openhermes,-4.484825779722242,0.5015625630482744,0.3717552654735569,-0.12980729757471748
BSC-LT/salamandra-2b,-2.1116113223416066,0.46436048822561266,0.2284659976457539,-0.23589449057985876
BSC-LT/salamandra-2b-instruct,-1.3466398827028947,0.4296276454630117,0.27255501193543535,-0.15707263352757633
BSC-LT/salamandra-7b,-0.9400314790551102,0.3706325111728554,0.11742465984201969,-0.2532078513308357
BSC-LT/salamandra-7b-instruct,0.10014574166352708,0.25613007654336545,0.06974363205782648,-0.18638644448553898
HuggingFaceTB/SmolLM2-360M,-1.9564757939465258,0.45669657134173536,0.27256653540292847,-0.1841300359388069
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.399982862722345,0.07732835862696075,0.021058631062769995,-0.056269727564190755
OpenBMB/MiniCPM4-0.5B,-0.24795595223159786,0.30922843533428823,0.11299429092607946,-0.19623414440820877
Qwen/Qwen1.5-1.8B,-1.066842187907088,0.39728638993379983,0.14037342406079725,-0.2569129658730026
Qwen/Qwen1.5-1.8B-Chat,-0.7654172494359069,0.35799021536084236,0.1483798818155141,-0.20961033354532826
Qwen/Qwen2-0.5B,-1.5298013995817856,0.42515983394657997,0.3032544314671204,-0.12190540247945958
Qwen/Qwen2.5-0.5B-Instruct,-0.44672408228743926,0.32880468791630996,0.19790488558250266,-0.1308998023338073
ai-forever/mGPT,-5.042226722337319,0.5036966272177635,0.3956680410152816,-0.10802858620248196
allenai/OLMo-1B-hf,-5.3997764759838,0.5041519441501472,0.39512712725540305,-0.10902481689474414
allenai/OLMo-2-0425-1B,-1.3446136887569824,0.4109363124490838,0.3159987623805441,-0.09493755006853971
allenai/OLMo-2-0425-1B-DPO,0.19815990896434993,0.24114685907794634,0.08792240189728266,-0.1532244571806637
allenai/OLMo-2-0425-1B-Instruct,0.24058820001609837,0.23021230113960622,0.08476795176002441,-0.1454443493795818
