criterion_id,a_correctness,a_scaffolding,b,n_persons,a_se_approx
tb_0001_c01,0.342968,0.0,1.537726,81,0.161957
tb_0001_c03,0.443443,0.0,1.648855,81,0.179557
tb_0001_c04,1.807008,0.0,2.584501,82,0.572112
tb_0001_c05,0.468225,0.438551,2.809732,82,0.278233
tb_0001_c06,0.544449,0.0,1.550206,80,0.187602
tb_0001_c09,0.255708,0.0,4.252689,82,0.494604
tb_0001_c10,1.111637,0.0,-0.398733,79,0.229529
tb_0002_c03,0.349126,0.0,2.823306,82,0.265245
tb_0002_c04,1.347519,0.0,3.200809,82,0.489813
tb_0002_c06,1.287478,0.0,5.667559,82,0.933058
tb_0002_c07,0.903815,0.0,1.420516,80,0.249894
tb_0002_c08,1.274894,0.0,2.68552,82,0.425524
tb_0002_c10,0.531113,0.0,1.670573,81,0.192843
tb_0002_c11,0.655947,0.0,1.41198,82,0.197918
tb_0002_c13,0.909806,0.0,4.153836,82,0.559248
tb_0002_c16,0.590733,0.0,2.141859,82,0.234239
tb_0002_c18,0.375495,0.0,2.052939,82,0.196928
tb_0002_c19,0.594819,0.0,4.452066,82,0.610049
tb_0002_c21,0.909806,0.0,4.153836,82,0.559248
tb_0003_c01,0.677411,0.0,1.792695,79,0.229028
tb_0003_c02,0.561314,0.0,1.713348,82,0.199543
tb_0003_c03,0.628088,0.0,3.316774,80,0.377235
tb_0003_c04,0.800684,0.0,2.495101,82,0.302889
tb_0003_c05,2.098761,0.0,5.215083,78,0.917972
tb_0003_c06,0.909806,0.0,4.153836,82,0.559248
tb_0003_c07,0.635852,0.0,3.692604,80,0.444208
tb_0003_c08,1.904374,0.0,4.31795,80,0.721668
tb_0003_c09,0.634278,0.0,3.32753,82,0.375262
tb_0003_c10,0.909806,0.0,4.153836,82,0.559248
tb_0004_c01,0.64597,0.0,0.746047,82,0.16828
tb_0004_c02,0.373949,0.0,1.36232,82,0.156059
tb_0004_c03,0.353849,0.0,1.18779,82,0.146496
tb_0004_c04,0.419772,0.0,2.60109,82,0.25048
tb_0004_c05,0.459962,0.0,1.353651,81,0.166799
tb_0005_c01,1.227741,0.0,0.760802,81,0.290517
tb_0005_c02,1.192048,0.0,4.155386,82,0.582802
tb_0005_c03,1.241597,0.0,3.550052,82,0.506428
tb_0005_c04,1.650629,0.0,4.233452,82,0.666964
tb_0005_c05,1.392761,0.0,4.008174,81,0.603029
tb_0006_c02,5.838616,0.0,18.772997,82,4.489745
tb_0006_c03,4.237188,0.0,11.643466,82,3.935864
tb_0006_c04,0.594819,0.0,4.452066,82,0.610049
tb_0006_c05,1.547266,0.0,5.384677,82,0.830397
tb_0006_c06,1.598449,-0.584022,2.995325,80,0.543928
tb_0006_c09,0.0,-0.846262,2.5707,82,0.539778
tb_0007_c01,1.547266,0.0,5.384677,82,0.830397
tb_0007_c02,1.860355,0.0,2.280908,82,0.569385
tb_0007_c03,0.619962,0.0,1.099673,82,0.17737
tb_0007_c04,0.999859,0.318839,1.371002,80,0.263367
tb_0007_c05,1.32063,0.0,3.996585,82,0.578394
tb_0007_c06,1.0025,0.0,0.701228,82,0.233265
tb_0007_c07,1.565111,0.0,1.07196,82,0.392781
tb_0007_c08,0.711304,0.0,2.600522,82,0.296426
tb_0009_c01,0.564969,0.0,1.148806,78,0.175215
tb_0009_c03,0.472474,0.0,0.963966,79,0.152926
tb_0009_c04,0.706303,0.0,1.222048,82,0.197252
tb_0009_c07,1.162121,0.634784,3.991327,81,0.567776
tb_0010_c03,5.734242,0.0,18.361979,81,4.518872
tb_0010_c04,2.35079,0.0,4.779712,82,0.830561
tb_0010_c07,0.522375,0.0,2.101975,82,0.220411
tb_0011_c01,5.734242,0.0,18.361979,81,4.518872
tb_0011_c03,0.0,-4.08476,6.932419,75,4.203028
tb_0011_c04,4.237188,0.0,11.643466,82,3.935864
tb_0011_c05,2.022028,0.0,5.298979,82,0.885561
tb_0011_c07,4.166797,0.0,11.472704,74,3.956017
tb_0011_c08,5.838616,0.0,18.772997,82,4.489745
tb_0011_c09,5.360857,-1.23402,18.314471,82,4.771666
tb_0012_c04,0.259693,0.0,3.543264,82,0.353094
tb_0013_c02,2.382998,0.0,3.034341,81,0.83189
tb_0013_c03,1.296825,0.0,2.034748,82,0.381512
tb_0013_c04,1.32063,0.0,3.996585,82,0.578394
tb_0013_c10,0.956183,0.573133,4.12425,82,0.575814
tb_0013_c11,4.237188,0.0,11.643466,82,3.935864
tb_0015_c02,1.271546,0.0,2.498714,82,0.409351
tb_0015_c03,0.792959,0.0,2.914742,82,0.345379
tb_0015_c06,0.594819,0.0,4.452066,82,0.610049
tb_0016_c01,1.486465,0.0,2.341141,81,0.455852
tb_0016_c02,0.958953,0.0,2.88734,82,0.37403
tb_0016_c03,1.116752,0.0,3.102154,82,0.429769
tb_0016_c04,0.828857,0.0,3.230857,82,0.391408
tb_0016_c05,1.107027,0.0,2.147916,82,0.341223
tb_0016_c06,1.710969,0.912684,3.570098,82,0.615203
tb_0016_c07,1.743071,0.0,5.212185,82,0.828675
tb_0017_c02,1.495231,0.0,2.241272,82,0.451468
tb_0017_c05,1.129395,0.0,3.869708,78,0.540708
tb_0017_c07,0.891491,0.0,1.737288,80,0.263658
tb_0017_c08,0.661406,0.0,2.743651,81,0.302963
