model,predicted_passrate,actual_passrate,theta_oos,abs_error
01-ai/Yi-1.5-6B,0.1332255080597373,0.2009910563210055,-1.1174921298719982,0.06776554826126821
01-ai/Yi-1.5-6B-Chat,0.3736277338089031,0.5573487741776518,0.8458272127652436,0.18372104036874876
01-ai/Yi-6B,0.0703330129056323,0.1104524558432131,-2.0420413097865517,0.040119442937580796
01-ai/Yi-6B-200K,0.099431835906897,0.0657481266618322,-1.5771214915471363,0.033683709245064794
01-ai/Yi-6B-Chat,0.4678954733858198,0.3617792820016922,1.320648495701815,0.10611619138412764
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.0208153556622825,0.0073960724305024,-4.20310509271344,0.0134192832317801
BEE-spoke-data/smol_llama-220M-openhermes,0.0291820683967694,0.0081687393318702,-3.2145915004691243,0.0210133290648992
BSC-LT/salamandra-2b,0.0629446949163375,0.0590099975615703,-1.996143898591908,0.003934697354767203
BSC-LT/salamandra-2b-instruct,0.1927324770797981,0.1398439405023165,-0.286097673859622,0.052888536577481604
BSC-LT/salamandra-7b,0.086563061931851,0.1166445062250695,-1.7972778085135102,0.030081444293218504
BSC-LT/salamandra-7b-instruct,0.2530069697191149,0.3145250708389799,0.1165138913560859,0.061518101119865
HuggingFaceTB/SmolLM2-360M,0.051870775091542,0.0300024195499637,-2.5043886756673337,0.0218683555415783
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.6176110230239917,0.7049222137209895,2.2701113413796072,0.08731119069699778
OpenBMB/MiniCPM4-0.5B,0.1378228453501002,0.17890844172405,-0.7356232204845441,0.04108559637394979
Qwen/Qwen1.5-1.8B,0.040607970960553,0.0382288894265666,-2.8865401834498248,0.002379081533986402
Qwen/Qwen1.5-1.8B-Chat,0.3150486563936348,0.2636605415860735,0.3654670275144996,0.05138811480756128
Qwen/Qwen2-0.5B,0.1008124816378052,0.043611323641928,-1.2389841178978112,0.05720115799587721
Qwen/Qwen2.5-0.5B-Instruct,0.2019129851368604,0.2059423616424381,-0.1001634547177204,0.004029376505577692
ai-forever/mGPT,0.0169079050919405,0.0025380710659898,-5.231717564511478,0.014369834025950701
allenai/OLMo-1B-hf,0.013894261135373,0.002296350012086,-6.063208832504699,0.011597911123287001
allenai/OLMo-2-0425-1B,0.0464590991785239,0.0494678277697145,-2.830884146567502,0.0030087285911905987
allenai/OLMo-2-0425-1B-DPO,0.4355328139579307,0.470220635123071,1.3929935833118607,0.0346878211651403
allenai/OLMo-2-0425-1B-Instruct,0.4578973029444019,0.4622545269064014,1.5031407805289805,0.004357223961999501
arcee-ai/raspberry-3B,0.2925662190807324,0.4188002926115581,0.3633075002168888,0.12623407353082572
google/gemma-2-2b,0.0583113471553131,0.0907970925218676,-2.0926008227942425,0.0324857453665545
google/gemma-2b,0.0569514997647531,0.0590370191144447,-2.36310573505552,0.002085519349691603
h2oai/h2o-danube-1.8b-chat,0.2976071500362221,0.231085327532028,0.2504623643381604,0.06652182250419411
h2oai/h2o-danube2-1.8b-base,0.1903762266839961,0.1129813823004335,-0.2006078521254995,0.07739484438356259
h2oai/h2o-danube2-1.8b-chat,0.1274504227938167,0.1978221415607985,-1.1257309289868,0.07037171876698181
ibm-granite/granite-3.0-2b-base,0.2850181216699157,0.3342367869902673,0.3153460714889031,0.04921866532035163
ibm-granite/granite-3.1-2b-base,0.2691582568223564,0.3158467303275716,0.0596320160245235,0.04668847350521521
ibm-granite/granite-3.1-2b-instruct,0.4923948005540036,0.6492546507330295,1.495860992048895,0.15685985017902587
ibm-granite/granite-7b-instruct,0.3697915748053826,0.2902250181466247,0.8264288113498932,0.07956655665875789
ibm/PowerLM-3b,0.2255424872000317,0.2872470129236771,-0.0580076632336747,0.061704525723645404
meta-llama/Llama-3.2-1B,0.048240815870436,0.0504754937820043,-2.39701278498134,0.0022346779115682974
meta-llama/Llama-3.2-1B-Instruct,0.3307064105783292,0.3347447374788289,0.5654474993233748,0.004038326900499656
meta-llama/Llama-3.2-3B-Instruct,0.5042165162102924,0.5902218970982687,1.624636066323864,0.08600538088797627
microsoft/phi-1_5,0.0911064240939037,0.0677673730901922,-1.41440041594694,0.02333905100371149
nvidia/AceInstruct-1.5B,0.4140367707719483,0.4713853599516031,1.1107999528917556,0.057348589179654796
openbmb/MiniCPM-1B-sft-bf16,0.0427055735179311,0.0233486571497701,-2.805383090760896,0.019356916368160997
openbmb/MiniCPM-2B-sft-bf16,0.2760771491244327,0.1683735674225798,0.2612143591158342,0.1077035817018529
openlm-research/open_llama_3b,0.044740664864371,0.037593984962406,-2.499086389314364,0.007146679901964999
pankajmathur/orca_mini_3b,0.2129961842206458,0.1261887344550109,-0.1419454508120293,0.08680744976563493
pankajmathur/orca_mini_v9_5_3B-Instruct,0.4313033470980886,0.4973221117061974,1.371998943099921,0.0660187646081088
stabilityai/stablelm-2-1_6b-chat,0.3733896404472665,0.3588764321793766,0.8444606414277879,0.014513208267889932
stabilityai/stablelm-2-zephyr-1_6b,0.3325164865413385,0.2982199463545477,0.6103222534811961,0.03429654018679079
stabilityai/stablelm-zephyr-3b,0.3958780364358472,0.4083292262198127,0.9717948516009278,0.012451189783965533
tiiuae/Falcon3-1B-Instruct,0.3622631260047375,0.3568836196467457,0.7768718232583859,0.005379506357991781
tiiuae/Falcon3-3B-Base,0.2255368551392181,0.3033272837265577,-0.1865392812907621,0.07779042858733962
tiiuae/Falcon3-3B-Instruct,0.5217287836475103,0.5974241264983423,1.8157642062087171,0.07569534285083201
utter-project/EuroLLM-1.7B,0.0509154517771218,0.0443513613403966,-2.299841396655268,0.006564090436725199
utter-project/EuroLLM-1.7B-Instruct,0.2391466617388964,0.1867073170731707,0.0300140873593736,0.052439344665725696
