model,n_admin,theta_ability,se_posterior_ability,se_param_ability,se_total_ability,bar_inflation_ability
01-ai/Yi-1.5-6B,16,0.048729025341777026,0.18076065137289768,0.11023553090250703,0.2117221891019263,1.171284720949345
01-ai/Yi-1.5-6B-Chat,16,1.150919801429207,0.11822703392987412,0.08612279829355152,0.14626950446954884,1.2371916947210906
01-ai/Yi-6B,15,-1.164256857233965,0.250201108403677,0.1152861052000399,0.2754840842927649,1.1010506150448227
01-ai/Yi-6B-200K,15,-1.1457345134718715,0.24510428970319817,0.1253417642495788,0.2752937897884845,1.1231700192674858
01-ai/Yi-6B-Chat,16,0.29766802325975805,0.19802750853245585,0.09210740282024439,0.21840024677152411,1.1028783242795244
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,16,-2.325984713642734,0.4814932866631714,0.15208869965132585,0.5049423310273502,1.0487006673066712
BEE-spoke-data/smol_llama-220M-openhermes,15,-2.315930224008695,0.4804157817225825,0.10494308793103727,0.49174421708101607,1.0235804813027047
BSC-LT/salamandra-2b,15,-2.3163695341134,0.4803754626291795,0.17733846319858493,0.5120639761063398,1.0659661367875108
BSC-LT/salamandra-2b-instruct,15,-1.035541800841379,0.24656402207244354,0.1293904848476793,0.2784523559779266,1.1293308473695887
BSC-LT/salamandra-7b,15,-1.095445437470604,0.24361417913049788,0.13558375921544916,0.2788024821202623,1.1444427541753017
BSC-LT/salamandra-7b-instruct,15,0.21423884348253508,0.18285642103738772,0.12264086205468529,0.22017550217978102,1.2040895306310455
HuggingFaceTB/SmolLM2-360M,16,-2.0682873846755276,0.3477179344884119,0.11961608654273537,0.36771697013421434,1.057515111135198
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,16,2.346837169330853,0.3838799500887725,0.27072425989809507,0.46973975877876234,1.22366317561033
OpenBMB/MiniCPM4-0.5B,15,0.022683469281163986,0.2036245469655764,0.1180603906599853,0.23537462048769098,1.1559245876553483
Qwen/Qwen1.5-1.8B,15,-2.0523503013733704,0.34407662337512473,0.15679204316270914,0.37811700246400487,1.0989325539031696
Qwen/Qwen1.5-1.8B-Chat,16,-0.1972373228374284,0.21440635805220698,0.08034206493947924,0.22896491821226822,1.0679017184579773
Qwen/Qwen2-0.5B,16,-1.8724294840123519,0.3300947173609102,0.14611741891715027,0.3609886737012522,1.0935911867579633
Qwen/Qwen2.5-0.5B-Instruct,15,-0.24269487325515116,0.2260339583764768,0.07856757246590157,0.2392994228629136,1.0586879271668648
ai-forever/mGPT,16,-2.4444121541171464,0.4754741366978935,0.13342040674600902,0.4938386979620751,1.0386236807573195
allenai/OLMo-1B-hf,18,-2.3285478741253396,0.4821390921252563,0.19108659675031575,0.5186252901787418,1.075675668389915
allenai/OLMo-2-0425-1B,15,-1.3867982402242784,0.3290425487838015,0.14066739659730357,0.3578495708752541,1.0875480152883825
allenai/OLMo-2-0425-1B-DPO,16,0.0732078685780869,0.18202409338472408,0.10538227788579031,0.21032877849911238,1.1554996626439107
allenai/OLMo-2-0425-1B-Instruct,15,0.18917544502261852,0.18021745959976243,0.11346627983558114,0.21296227225571765,1.1816961171724252
arcee-ai/raspberry-3B,16,1.0829387486034479,0.13436766850161955,0.10017080383807404,0.1675973158500071,1.2473038917690755
google/gemma-2-2b,15,-2.100602921167603,0.4302405328381338,0.0919453903292443,0.4399555328662641,1.0225803923308763
google/gemma-2b,15,-1.232982106318146,0.34055635902142606,0.11856859014223631,0.360606633658129,1.0588750557890523
h2oai/h2o-danube-1.8b-chat,15,-1.1309397350468315,0.24143482413944314,0.12880292531494578,0.27364387052687905,1.133406796232648
h2oai/h2o-danube2-1.8b-base,16,-1.8537373636018992,0.3904987940244991,0.13728986523349668,0.41392972257427935,1.0600025631533967
h2oai/h2o-danube2-1.8b-chat,15,-0.8093075644224977,0.23878781877850536,0.07782297190763222,0.25114943231775866,1.0517681915371055
ibm-granite/granite-3.0-2b-base,16,0.7206693428086319,0.16441884678416974,0.16137026129407506,0.23037777325070738,1.4011640256370426
ibm-granite/granite-3.1-2b-base,15,1.1529598826986525,0.13817653078202383,0.09064899452737372,0.16525735647098863,1.1959871588590203
ibm-granite/granite-3.1-2b-instruct,15,2.3001570417262434,0.38520988088954167,0.2997638129020318,0.48810346839630137,1.2671104574710124
ibm-granite/granite-7b-instruct,17,0.5066795037071372,0.18738079425594223,0.13143372861676544,0.22888072674232163,1.221473778308864
ibm/PowerLM-3b,15,-0.017774932446926076,0.19137664777445285,0.10473847459373406,0.21816317144194908,1.1399675664664453
meta-llama/Llama-3.2-1B,15,-1.0317343284522018,0.3272022204896573,0.1335706344783475,0.3534153469903516,1.080112923627066
meta-llama/Llama-3.2-1B-Instruct,16,-0.24471116819196093,0.20923911419812444,0.07624058045294561,0.2226962797583692,1.0643147702656706
meta-llama/Llama-3.2-3B-Instruct,15,1.2785552513909924,0.1263909176438849,0.08791105140033863,0.15395784170082497,1.218108425595989
microsoft/phi-1_5,15,-0.9240828745700167,0.2670705806553075,0.08799310886493043,0.2811929626773732,1.0528788381985534
nvidia/AceInstruct-1.5B,15,1.2345402183983318,0.1271277448760812,0.0962141656615189,0.15943220876353745,1.254110256725983
openbmb/MiniCPM-1B-sft-bf16,15,-2.036784286197635,0.4365331865669725,0.1371979044293911,0.4575854979718343,1.0482261419124248
openbmb/MiniCPM-2B-sft-bf16,16,-0.6497221074742977,0.24966865161839888,0.10521670993483949,0.2709335557852913,1.0851725037526712
openlm-research/open_llama_3b,15,-2.1621250945663073,0.3013739531780089,0.1537848457465943,0.33834307800728614,1.1226686129953676
pankajmathur/orca_mini_3b,17,-0.8461191719596519,0.23848710427696457,0.18213772216791246,0.3000837362186219,1.2582807658653221
pankajmathur/orca_mini_v9_5_3B-Instruct,16,1.1991986102868935,0.13413263448145468,0.09511765217614586,0.16443518902120005,1.225914854031552
stabilityai/stablelm-2-1_6b-chat,15,0.16442344545739906,0.20157134361910933,0.10627403247114883,0.22787096468416473,1.1304730156224556
stabilityai/stablelm-2-zephyr-1_6b,15,-0.7686548544241696,0.25800210981170946,0.0739396069148076,0.2683880663107241,1.040255316154563
stabilityai/stablelm-zephyr-3b,16,-0.337333925045066,0.2304823850091007,0.06522866281647688,0.23953477462011433,1.0392758414516414
tiiuae/Falcon3-1B-Instruct,16,0.9364518300337694,0.14449891659139533,0.12217650735704817,0.18922747117174574,1.309542490943589
