rank,model_name,theta_correctness_full,theta_correctness_cat,cat_se_correctness,items_administered,cat_items_loading_correctness,theta_scaffolding_full,z_correctness,percentile_correctness,correctness_converged,theta_correctness_full_grid7
1,Qwen/Qwen3-4B,3.4554,2.8948,0.1842,17,17,-1.1544,2.013,100.0,True,3.7504
2,Qwen/Qwen3-1.7B,2.4532,2.4343,0.179,55,52,-1.1544,1.589,98.8,True,2.3668
3,Qwen/Qwen2.5-7B-Instruct,2.4532,1.8565,0.1782,19,19,1.1544,1.589,97.6,True,2.3668
4,tiiuae/Falcon3-7B-Base,2.4531,2.0661,0.1914,17,16,-0.0,1.589,96.3,True,2.3668
5,Qwen/Qwen2.5-3B-Instruct,1.9582,2.1261,0.2171,17,16,0.0,1.38,95.1,True,2.3668
6,Qwen/Qwen2.5-Math-7B,1.9582,1.926,0.201,85,75,-1.1544,1.38,93.9,True,2.3668
7,Qwen/Qwen2.5-7B,1.9582,2.0094,0.2254,17,17,1.1544,1.38,92.7,True,2.3668
8,Qwen/Qwen2.5-Coder-7B,1.9581,1.951,0.1894,46,44,-0.0,1.38,91.5,True,1.1544
9,Qwen/Qwen2-7B,1.4661,1.0748,0.2386,17,16,-0.0,1.172,90.2,True,1.1544
10,Qwen/Qwen2.5-3B,1.4661,1.2268,0.2349,17,16,-1.1544,1.172,89.0,True,1.1544
11,tiiuae/Falcon3-3B-Base,1.4661,1.3554,0.2065,100,82,-1.1544,1.172,87.8,True,1.1544
12,microsoft/Phi-3.5-mini-instruct,1.4661,1.1996,0.2141,62,52,-1.1544,1.172,86.6,True,1.1544
13,ibm-granite/granite-3.1-2b-instruct,1.4661,1.3972,0.2253,58,51,-0.0,1.172,85.4,True,1.1544
14,meta-llama/Llama-3.2-3B-Instruct,0.9762,1.4945,0.2092,17,16,1.1544,0.964,84.1,True,1.1544
15,Qwen/Qwen2.5-1.5B-Instruct,0.9762,0.682,0.2559,100,74,-1.1544,0.964,82.9,True,1.1544
16,allenai/OLMo-2-1124-7B,0.9762,0.8952,0.2208,62,49,-0.0001,0.964,81.7,True,1.1544
17,mistralai/Mistral-7B-Instruct-v0.3,0.9762,1.1306,0.2098,17,15,0.0,0.964,80.5,True,1.1544
18,Qwen/Qwen3-0.6B,0.9762,0.9206,0.2062,71,56,-1.1544,0.964,79.3,True,1.1544
19,HuggingFaceH4/zephyr-7b-beta,0.9762,0.6781,0.2772,42,36,0.0,0.964,78.0,True,1.1544
20,mistralai/Mistral-7B-v0.3,0.9762,1.0449,0.2296,97,78,0.0,0.964,76.8,True,1.1544
21,ibm-granite/granite-3.0-2b-base,0.9739,1.3659,0.2064,17,16,0.0,0.963,75.6,True,1.1544
22,ibm-granite/granite-3.1-2b-base,0.5951,1.0183,0.2393,18,17,-0.0,0.803,74.4,True,1.1544
23,Qwen/Qwen2.5-1.5B,0.4878,1.0441,0.2832,100,78,-1.1544,0.758,73.2,True,1.1544
24,mistralai/Mistral-7B-v0.1,0.4878,-0.0706,0.2723,24,22,0.0,0.758,72.0,True,0.0
