model,theta_stop,n_criteria,pred_passrate,actual_passrate,is_headline_excluded
BSC-LT/salamandra-2b,-3.0421571767658073,2820,0.0251619470046349,0.03652482269503546,False
EleutherAI/pythia-160m,-5.215869928578957,2815,0.009338603806781831,0.0017761989342806395,False
HuggingFaceTB/SmolLM2-1.7B,-0.4514120188529106,2792,0.11622220114229827,0.08345272206303725,False
HuggingFaceTB/SmolLM2-1.7B-Instruct,-0.1762616673038397,2751,0.13636704572126104,0.14394765539803708,False
Qwen/Qwen1.5-1.8B-Chat,-1.7464661000959631,2820,0.053799997785711165,0.05319148936170213,False
Qwen/Qwen2-0.5B,-2.3299881281334245,2802,0.03746622938947918,0.024982155603140613,False
Qwen/Qwen2.5-0.5B-Instruct,-1.4356651505043336,2783,0.06454264223475763,0.07545813869924542,False
ai-forever/mGPT,-5.721039313199934,2820,0.008009779294117064,0.005673758865248227,False
allenai/OLMo-2-1124-7B,0.6513124955678277,2768,0.216502882072047,0.2319364161849711,False
bigscience/bloom-1b7,-4.404237014862686,2819,0.012674199669889362,0.006385242993969493,False
bigscience/bloom-560m,-5.33461471410936,2826,0.008561286027248902,0.0017692852087756545,False
bigscience/bloomz-1b7,-5.779724290200464,2824,0.007640505098040931,0.0035410764872521247,False
bigscience/bloomz-7b1,-5.4393253712913205,2815,0.008706094096989662,0.006394316163410302,False
facebook/opt-6.7b,-2.171670693663302,2804,0.04050816297687349,0.03530670470756063,False
google/gemma-2b,-1.4497801662151326,2820,0.0645475843490682,0.05425531914893617,False
h2oai/h2o-danube2-1.8b-chat,-1.3851577203169927,2820,0.06716306830150211,0.06524822695035461,False
ibm-granite/granite-7b-instruct,-0.7742219025208799,2820,0.09754411533405716,0.0925531914893617,False
meta-llama/Llama-3.2-1B,-2.894122631988393,2764,0.027038341540525444,0.022793053545586108,False
microsoft/phi-2,-0.09365124348554561,2778,0.14353142349411316,0.12922966162706984,False
nvidia/Nemotron-Mini-4B-Instruct,-0.44282532561265336,2779,0.11758349557008099,0.12342569269521411,False
openai-community/gpt2-xl,-3.4367577945015437,2816,0.020082753576539745,0.018110795454545456,False
openbmb/MiniCPM-1B-sft-bf16,-3.383439411936729,2820,0.02098466569161927,0.012056737588652482,False
utter-project/EuroLLM-1.7B-Instruct,-2.0976971870828325,2820,0.04344898849391473,0.03439716312056738,False
