model,params_b,status,error,benchmark_rows
01-ai/Yi-1.5-6B,6.061,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
01-ai/Yi-1.5-6B-Chat,6.061,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
01-ai/Yi-6B,6.061,no_samples,No samples_*.jsonl files found,{}
01-ai/Yi-6B-200K,6.061,no_samples,No samples_*.jsonl files found,{}
01-ai/Yi-6B-Chat,6.061,no_samples,No samples_*.jsonl files found,{}
AGI-0/Art-v0-3B,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
AI-MO/NuminaMath-7B-CoT,6.91,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
AI-MO/NuminaMath-7B-TIR,6.91,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
AI4free/Dhanishtha,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Ahdoot/StructuredThinker-v0.3-MoreStructure,3.397,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Ahdoot/Test_StealthThinker,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
AicoresSecurity/Cybernet-Sec-3B-R1-V0,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
AicoresSecurity/Cybernet-Sec-3B-R1-V1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Alepach/notHumpback-M0,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Alepach/notHumpback-M1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Alepach/notHumpback-M1-v2,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Amaorynho/BBAI2006,1.09,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Amaorynho/BBAI_375,1.09,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Amu/t1-1.5B,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Amu/t1-3B,3.397,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Arthur-LAGACHERIE/Precis-1B-Instruct,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Artples/L-MChat-Small,2.78,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
AtAndDev/Qwen2.5-1.5B-continuous-learnt,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
AuraIndustries/Aura-4B,4.513,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Ayush-Singh/Llama1B-sft-2,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BEE-spoke-data/smol_llama-220M-GQA,0.218,no_samples,No samples_*.jsonl files found,{}
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.218,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BEE-spoke-data/smol_llama-220M-openhermes,0.218,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BEE-spoke-data/tFINE-900m-e16-d32-flan,0.887,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,0.887,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,0.887,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BEE-spoke-data/tFINE-900m-instruct-orpo,0.887,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Ba2han/Llama-Phi-3_DoRA,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BlackBeenie/Neos-Llama-3.1-base,4.65,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,5.199,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BrainWave-ML/llama3.2-3B-maths-orpo,3.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BramVanroy/fietje-2,2.78,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BramVanroy/fietje-2-chat,2.775,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
BramVanroy/fietje-2-instruct,2.775,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,2.506,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Columbia-NLP/LION-Gemma-2b-odpo-v1.0,2.506,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Columbia-NLP/LION-Gemma-2b-sft-v1.0,2.506,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
ContactDoctor/Bio-Medical-3B-CoT-012025,3.085,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
ContactDoctor/Bio-Medical-Llama-3-8B,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
CoolSpring/Qwen2-0.5B-Abyme,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
CoolSpring/Qwen2-0.5B-Abyme-merge2,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
CoolSpring/Qwen2-0.5B-Abyme-merge3,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Corianas/Quokka_2.7b,2.786,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
CortexLM/btlm-7b-base-v0.2,6.885,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Daemontatox/NemoR,6.124,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Daemontatox/ReasonTest,3.808,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Daemontatox/Research_PathfinderAI,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Daemontatox/TinySphinx,0.247,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Daemontatox/TinySphinx2.0,0.247,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Daemontatox/Zirel_1.5,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Daemontatox/mini-Cogito-R1,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Danielbrdz/Barcenas-3b-GRPO,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Danielbrdz/Barcenas-R1-Qwen-1.5b,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Dans-DiscountModels/Mistral-7b-v0.3-Test-E0.7,7.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Dans-DiscountModels/mistral-7b-test-merged,7.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,4.089,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Davidsv/SUONG-1,2.879,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DavieLion/Llama-3.2-1B-SPIN-iter0,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DavieLion/Llama-3.2-1B-SPIN-iter1,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DavieLion/Llama-3.2-1B-SPIN-iter2,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DavieLion/Llama-3.2-1B-SPIN-iter3,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DavieLion/Lllma-3.2-1B,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepAutoAI/Explore_Llama-3.2-1B-Inst,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v0,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1.1,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepMount00/Lexora-Lite-3B,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepMount00/Lexora-Lite-3B_v2,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepMount00/Qwen2-1.5B-Ita,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepMount00/Qwen2-1.5B-Ita_v2,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepMount00/Qwen2-1.5B-Ita_v3,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepMount00/Qwen2-1.5B-Ita_v5,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DeepMount00/Qwen2-1.5B-Ita_v6,1.497,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Delta-Vector/Henbane-7b-attempt2,7.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DreadPoor/Again-8B-Model_Stock,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DreadPoor/Asymmetric_Linearity-8B-Model_Stock,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DreadPoor/Elusive_Dragon_Heart-8B-LINEAR,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DreadPoor/Here_We_Go_Again-8B-SLERP,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DreadPoor/UNTESTED-VENN_1.2-8B-Model_Stock,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
DreadPoor/VENN_1.2-8B-Model_Stock,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
ECE-ILAB-PRYMMAL/ILAB-Merging-3B-V2,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EleutherAI/gpt-j-6b,6.0,no_samples,No samples_*.jsonl files found,{}
EleutherAI/gpt-neo-1.3B,1.366,no_samples,No samples_*.jsonl files found,{}
EleutherAI/gpt-neo-2.7B,2.718,no_samples,No samples_*.jsonl files found,{}
EleutherAI/pythia-1.4b,1.515,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EleutherAI/pythia-160m,0.213,no_samples,No samples_*.jsonl files found,{}
EleutherAI/pythia-1b,1.079,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EleutherAI/pythia-2.8b,2.909,no_samples,No samples_*.jsonl files found,{}
EleutherAI/pythia-410m,0.506,no_samples,No samples_*.jsonl files found,{}
EleutherAI/pythia-6.9b,6.9,no_samples,No samples_*.jsonl files found,{}
EpistemeAI/Athena-gemma-2-2b-it,2.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/Athena-gemma-2-2b-it-Philos,2.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,7.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/DeepPhi-3.5-mini-instruct,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/Llama-3.2-3B-Agent007-Coder,3.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/OpenReasoner-Llama-3.2-3B-rs1.0,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
