model,actual_atlas_bank,pirt_pred,mean_p_pred,theta,se,n_items
01-ai/Yi-6B,0.45076923076923076,0.5379385759871298,0.5397783736410929,-1.7110484596551219,0.18929461902450945,19
01-ai/Yi-6B-Chat,0.39076923076923076,0.5732659739823118,0.5747163739050528,-1.3381902046684784,0.19147672000196272,16
HuggingFaceH4/zephyr-7b-beta,0.5476923076923077,0.5613221977486333,0.5624324481865098,-1.4623972533093073,0.19298505916446526,14
HuggingFaceTB/SmolLM2-1.7B,0.42923076923076925,0.548581539531409,0.5504249060057544,-1.59031251343038,0.19037261346084075,11
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.3892307692307692,0.5419460460627478,0.5424286723016327,-1.6802578088428461,0.19676203048110802,14
HuggingFaceTB/SmolLM2-135M,0.22,0.46253997116220624,0.4675423568492638,-2.7817478955637345,0.19672671409376347,35
HuggingFaceTB/SmolLM2-360M,0.3076923076923077,0.5283872926367189,0.5295055875447985,-1.835416850997635,0.19884827592222912,12
HuggingFaceTB/SmolLM2-360M-Instruct,0.3030769230769231,0.4996552834077628,0.5002463581725775,-2.239179270849493,0.1970676959112524,26
Qwen/Qwen2-0.5B,0.2153846153846154,0.52099624751705,0.5215801065198756,-1.9371526542984694,0.1913528969060019,15
Qwen/Qwen2-1.5B,0.3153846153846154,0.5316648830619058,0.5326152801028395,-1.7969013882428588,0.1858125239042099,17
Qwen/Qwen2-7B,0.48,0.593537873584271,0.5953928555856564,-1.1397701004386063,0.18778829688176568,13
Qwen/Qwen2.5-0.5B,0.24153846153846154,0.45119411759155514,0.4529347274104657,-3.0453607134879093,0.19591332377776155,46
Qwen/Qwen2.5-0.5B-Instruct,0.27692307692307694,0.41729522286559495,0.4213686158489248,-3.6674144349101785,0.1967817999251429,45
Qwen/Qwen2.5-1.5B,0.40923076923076923,0.5268246607461723,0.527571458483215,-1.859764446924487,0.1969429052129807,17
Qwen/Qwen2.5-1.5B-Instruct,0.37846153846153846,0.4787984091889002,0.4797936949561283,-2.569005907550663,0.1986770428617093,51
Qwen/Qwen2.5-3B,0.4230769230769231,0.5956521914852025,0.5973686550663039,-1.1214026483372854,0.1978744450961757,14
Qwen/Qwen2.5-3B-Instruct,0.40307692307692305,0.5956521914852025,0.5973686550663039,-1.1214026483372854,0.1978744450961757,14
Qwen/Qwen2.5-7B,0.5015384615384615,0.59283212029999,0.5939655336632866,-1.153099256750763,0.1944718690359323,12
Qwen/Qwen2.5-7B-Instruct,0.44,0.5623812247832286,0.5606111133506714,-1.4813287553112535,0.18862525340941616,23
Qwen/Qwen2.5-Coder-7B,0.45076923076923076,0.5538467221285543,0.5552066226329877,-1.5384502657358188,0.19866868219064732,15
Qwen/Qwen2.5-Math-7B,0.46615384615384614,0.5626764502539976,0.5632237275226248,-1.454218626848141,0.19650773683722023,19
Qwen/Qwen3-0.6B,0.2784615384615385,0.5293897912951789,0.5307033137020635,-1.8204909303487864,0.19818624435401005,13
Qwen/Qwen3-1.7B,0.3707692307692308,0.5273414573629285,0.5292641393124343,-1.8384397273138813,0.18691704406964224,13
Qwen/Qwen3-4B,0.5015384615384615,0.5860807075894435,0.5868053985274175,-1.2207558047447282,0.19684607985564892,17
allenai/OLMo-2-0425-1B,0.3923076923076923,0.5245885960350165,0.5264055352754994,-1.8745892177613113,0.19688411893843913,11
allenai/OLMo-2-1124-7B,0.56,0.5753786589524201,0.5769983547577354,-1.3156929175515077,0.1982422029933127,10
bigscience/bloom-1b1,0.18923076923076923,0.41077450519556313,0.41704061244447294,-3.7642491849328064,0.1945089654144534,24
bigscience/bloom-1b7,0.20461538461538462,0.4111081159525285,0.4171319164821097,-3.762160162107389,0.19060021310655012,37
bigscience/bloom-3b,0.22615384615384615,0.4126063881655666,0.41861152938165186,-3.7285952035664836,0.19494712418970025,39
bigscience/bloom-560m,0.17076923076923076,0.4119786225638671,0.4164380645837094,-3.778088878415815,0.19011500975747667,28
bigscience/bloom-7b1,0.25384615384615383,0.4182003968248774,0.42064849143009664,-3.683231427856727,0.19721110474366926,63
bigscience/bloomz-1b7,0.26615384615384613,0.452497063008011,0.45676051524291955,-2.97539682794559,0.19766147422504826,45
deepseek-ai/deepseek-coder-6.7b-base,0.25076923076923074,0.41875400291430137,0.42064637507033975,-3.683278076901078,0.1985780367521893,59
deepseek-ai/deepseek-llm-7b-base,0.28615384615384615,0.41566127110977635,0.4191720414418714,-3.7160176590774947,0.1979780475774059,41
google/gemma-2-2b,0.4753846153846154,0.5613344507220056,0.5630259913224668,-1.456259861108612,0.1927457797606995,13
google/gemma-2-2b-it,0.4046153846153846,0.5489947107357506,0.5510120471942704,-1.5838716713691263,0.18901883984024698,16
google/gemma-3-1b-it,0.33076923076923076,0.5439208090805894,0.5438740735035197,-1.6636778531417362,0.194381290098556,19
google/gemma-3-4b-it,0.4276923076923077,0.5552384690684637,0.5570031663120214,-1.5192966388306006,0.1923976513711257,14
h2oai/h2o-danube2-1.8b-base,0.3415384615384615,0.5429389491232424,0.5437821257068992,-1.6647281878778095,0.197769074809391,14
ibm-granite/granite-3.0-2b-base,0.4338461538461538,0.5390882982651456,0.5400471799631403,-1.7079021650904287,0.19181346761344872,20
ibm-granite/granite-3.1-2b-base,0.44769230769230767,0.5460006631812654,0.547993325607885,-1.6172159609116457,0.18780126704715486,17
ibm-granite/granite-3.1-2b-instruct,0.44,0.5286259011438174,0.530643521430426,-1.8212333271887513,0.1970427732562912,11
lmsys/vicuna-7b-v1.5,0.3861538461538462,0.5245885960350165,0.5264055352754994,-1.8745892177613113,0.19688411893843913,11
meta-llama/Llama-3.2-1B,0.27692307692307694,0.4418787564824988,0.4466356493271865,-3.162167792324676,0.19838975699693173,54
meta-llama/Llama-3.2-1B-Instruct,0.3153846153846154,0.5286259011438174,0.530643521430426,-1.8212333271887513,0.1970427732562912,11
meta-llama/Llama-3.2-3B,0.4276923076923077,0.5395447758770223,0.5406887393905602,-1.700414370821195,0.1924997583217266,20
meta-llama/Llama-3.2-3B-Instruct,0.4369230769230769,0.5419460460627478,0.5424286723016327,-1.6802578088428461,0.19676203048110802,14
microsoft/Phi-3.5-mini-instruct,0.4876923076923077,0.5564342881340343,0.5568654795497694,-1.520758526812147,0.19469147054681962,19
mistralai/Mistral-7B-Instruct-v0.3,0.5784615384615385,0.5876772852997764,0.5882937044203843,-1.2065818229662437,0.19354426521946946,15
mistralai/Mistral-7B-v0.1,0.5384615384615384,0.5767369267351845,0.5771613559319544,-1.3140921147543707,0.1949382999306866,17
nvidia/Nemotron-Mini-4B-Instruct,0.42923076923076925,0.5462681387417352,0.5473534537613398,-1.6243586745412046,0.19202707162948102,16
openbmb/MiniCPM-2B-sft-bf16,0.45384615384615384,0.5493124115609841,0.5488837055027826,-1.6073210773467559,0.19831859390213188,15
stabilityai/stablelm-2-1_6b,0.3446153846153846,0.5424170713483655,0.5438789024860097,-1.6636227072244407,0.18889845863927415,9
stabilityai/stablelm-2-zephyr-1_6b,0.32153846153846155,0.5277820165806691,0.5294495193125499,-1.8361183929552252,0.19767084228098983,12
stabilityai/stablelm-3b-4e1t,0.34615384615384615,0.5236273797967474,0.5255922049590419,-1.884997218054243,0.19151619510485887,13
stabilityai/stablelm-zephyr-3b,0.32769230769230767,0.5388569437662232,0.5373006693288349,-1.740302418463911,0.18878138349571202,24
state-spaces/mamba-2.8b-hf,0.31846153846153846,0.5148717552844256,0.51703972402978,-1.9978575198110313,0.1986670127985357,13
tiiuae/Falcon3-1B-Base,0.3676923076923077,0.5276223573111026,0.5294487658093999,-1.836127822731679,0.19766509539533894,10
tiiuae/Falcon3-3B-Base,0.4307692307692308,0.5483788250927228,0.5497803785372988,-1.5974073564461664,0.1996639465946307,10
tiiuae/Falcon3-7B-Base,0.5261538461538462,0.5914879911611572,0.5929363794432994,-1.162742023902969,0.19698618593591796,14
