model,scenarios,criteria,precision_reached,mwle_ok,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_full_correctness,theta_full_scaffolding
01-ai/Yi-6B,24,115,True,True,-0.803458,-0.8935299111937786,-0.9238909620833182,0.285716,86,-0.671453,-0.6278277469300653,-0.7269693545113163,0.299946,45,-1.0696387014845008,0.06318889084289145
01-ai/Yi-6B-Chat,23,116,True,True,-0.089929,-0.1635684918667054,-0.1424992491838149,0.298567,81,-0.960344,-0.9360324585357895,-1.102715312424122,0.297462,57,-0.18015578873280497,-0.7677187069391365
EleutherAI/pythia-1.4b,25,115,True,True,-2.260449,-2.942887890406379,-3.6519511814588905,0.297156,91,1.596342,1.7085319009190174,1.8617802156434415,0.288265,39,-2.4038086685271525,1.2231724170589933
EleutherAI/pythia-160m,26,134,True,True,-2.730535,-3.5476144751199175,-5.700940687309026,0.295863,108,1.684218,1.7359874162662954,1.8933219252478093,0.291211,43,-5.659396172094215,1.8433731736596606
EleutherAI/pythia-1b,32,147,True,True,-2.459344,-2.919701248911338,-3.4227918955143735,0.294923,116,1.002852,1.02627140620605,1.1222578187645436,0.283693,50,-2.6275895771893203,1.1207608538989127
EleutherAI/pythia-2.8b,26,130,True,True,-2.250146,-2.6230033509609707,-2.99490065581054,0.298125,102,1.165191,1.1558410897520346,1.269360192068042,0.283945,48,-2.6274792766233395,0.9893004930231977
EleutherAI/pythia-410m,25,115,True,True,-2.595457,-3.328686950405632,-4.585256866609347,0.298809,90,1.271687,1.2967263036313519,1.4203618116626378,0.299197,44,-3.7524357532417265,1.4649156066764775
EleutherAI/pythia-6.9b,27,120,True,True,-2.123341,-2.497374159729752,-2.8586919896381238,0.296088,94,0.628596,0.6278620037842932,0.6934211227141439,0.298302,45,-2.386349764963674,0.7278865720939125
EleutherAI/pythia-70m,30,140,True,True,-2.514862,-3.4120584696111163,-5.406166514205539,0.294877,107,0.868419,0.8674224174234983,0.9377426042866268,0.273906,53,-5.734366704576898,0.994349944506536
HuggingFaceH4/zephyr-7b-beta,10,41,True,True,1.331257,1.2762733764330425,1.3485953657951988,0.233772,32,0.455149,0.18923923987792488,0.5203812421926705,0.22451,16,1.199709304031712,0.5050663931136576
HuggingFaceTB/SmolLM2-1.7B,25,118,True,True,-0.506658,-0.6074085515694232,-0.5804478561303027,0.279094,82,-0.131056,-0.1376790032103596,-0.14124070565430238,0.297956,54,-0.6282472230203056,-0.18599333839166432
HuggingFaceTB/SmolLM2-1.7B-Instruct,13,62,True,True,0.325884,0.01918826970326044,0.1438920607794691,0.276615,43,-0.299352,-0.8858582298112995,-0.983013096486705,0.294306,27,0.39248219084457325,-0.8495621299378824
HuggingFaceTB/SmolLM2-135M,29,126,True,True,-2.219822,-3.146594931633725,-4.7485301582269726,0.298466,94,0.606873,0.6200060111236909,0.6650634214369349,0.297553,46,-3.958227458186113,0.5379039724534975
HuggingFaceTB/SmolLM2-360M,24,117,True,True,-2.050102,-2.5137262087075323,-2.9258845109721063,0.297896,94,0.691777,0.6618132113656456,0.7785317531298769,0.294709,45,-3.362707980440671,0.7203778073094682
HuggingFaceTB/SmolLM2-360M-Instruct,29,138,True,True,-1.462167,-1.651384699596961,-1.7954486173381952,0.296572,102,-0.725602,-0.7557705513027109,-0.835772577472757,0.298644,58,-1.4496194584712656,-0.7966226903112156
LLM360/Amber,26,132,True,True,-2.501919,-3.249012655548526,-4.4030090831271975,0.299893,106,0.842923,0.8227141767505783,0.9293350172021116,0.299349,46,-4.860939244240282,0.8497937825438906
Qwen/Qwen2-0.5B,25,117,True,True,-1.677199,-1.938330434309865,-2.1609753620318677,0.295576,89,-0.050148,-0.1347424549707032,-0.0971991096375349,0.298076,46,-2.6072248163535336,-0.45050657396868077
Qwen/Qwen2-1.5B,25,121,True,True,-0.588457,-0.6268578759207776,-0.6456129347159939,0.297039,88,-1.261023,-1.2064393585955817,-1.3455996533745136,0.29442,56,-0.5908733126681415,-1.2190934866457441
Qwen/Qwen2-7B,12,51,True,True,1.285222,1.2386593237344012,1.3244257201815994,0.186446,45,0.549968,0.14744884852957185,0.6413074041513065,0.200334,18,1.5989761531133395,0.07014857049984463
Qwen/Qwen2.5-0.5B,28,133,True,True,-0.837828,-0.8993176994311703,-0.9348849201958026,0.285009,99,-0.846614,-0.8572177055930877,-0.974195024509873,0.296553,59,-1.3375661778612606,-1.0203268626345818
Qwen/Qwen2.5-0.5B-Instruct,25,120,True,True,-0.519938,-0.5559100134403735,-0.551534833821667,0.289539,87,-0.833405,-0.8580812809121099,-0.9825523483575389,0.298687,56,-0.6497614091041916,-1.2112638114971706
Qwen/Qwen2.5-1.5B,18,87,True,True,0.934778,0.8453156280524324,0.9113559164737458,0.260428,59,-1.191051,-1.1445980720589413,-1.317731714001406,0.270156,41,0.800315441017891,-1.5478380258280078
Qwen/Qwen2.5-1.5B-Instruct,10,44,True,True,1.508576,1.358567626963791,1.4450115481736276,0.254878,32,-1.470195,-1.4440866879353254,-1.5543540944942054,0.292067,18,1.2715089436303662,-1.4918612656020684
Qwen/Qwen2.5-3B,17,85,True,True,1.830537,1.7917915232028985,1.9502743133562443,0.225373,58,-0.866932,-0.901708003040437,-1.016088305952902,0.298972,43,1.5999402136417205,-0.8133569550045072
Qwen/Qwen2.5-3B-Instruct,5,34,True,True,2.295045,2.259870734405414,2.4078490286633736,0.289287,25,0.276684,0.19114236066134713,0.2764662572174468,0.245528,15,2.2000054525878214,0.2009646900248215
Qwen/Qwen2.5-7B,6,32,True,True,2.262347,2.2841985888007734,2.462376924733114,0.262108,25,0.019555,-0.0732193517203921,-0.08178606031279516,0.292315,16,2.1999666324740277,0.3677229093849661
Qwen/Qwen2.5-7B-Instruct,11,57,True,True,2.459532,2.3755915022688376,2.577372610559069,0.284066,50,0.142047,0.39341271487143775,0.30811324902517173,0.294284,20,2.6000173795958275,0.39293993117906734
Qwen/Qwen2.5-Coder-7B,11,42,True,True,2.590282,2.023551193611756,2.307220757195662,0.267854,32,0.151635,0.18700640172224262,0.21040751963541943,0.243396,17,2.0073448613185443,0.08181507266588127
Qwen/Qwen2.5-Math-7B,10,53,True,True,2.506434,2.4319050993730027,2.6203243471908495,0.195216,45,-0.846209,-1.405529596436404,-1.548030106068331,0.282567,16,2.395229652394424,-1.7461596690546428
Qwen/Qwen3-0.6B,16,76,True,True,1.630724,1.4654571433855734,1.5563317129504752,0.219332,52,-1.598553,-1.688284130891783,-1.7777252042227676,0.299633,39,1.1744407346151704,-1.9097985713943142
Qwen/Qwen3-1.7B,34,192,True,True,2.946197,2.897233740787668,2.994643296264452,0.145994,154,-2.539842,-2.7494926307117646,-3.222626779957175,0.299157,79,2.799999999686343,-2.6767274059285064
Qwen/Qwen3-4B,10,52,True,True,3.367654,3.3465513721542064,3.4336512233802505,0.182364,46,-0.8114,-0.8733065711222663,-0.8852338036476001,0.270128,17,3.7987929560189855,-1.7963945719146628
TinyLlama/TinyLlama-1.1B-Chat-v1.0,26,118,True,True,-1.458705,-1.7337313450812561,-1.9384538478182076,0.299509,89,-0.906493,-0.8532983413782471,-1.0617270342928466,0.296667,50,-2.4659508362909204,-1.0021218295972139
allenai/OLMo-2-0425-1B,29,132,True,True,-1.164401,-1.2289515256444246,-1.2996244460360384,0.289293,98,-0.067481,-0.07852423939490263,-0.06388528072382879,0.297718,51,-0.7023609655767256,-0.3201886137412474
allenai/OLMo-2-1124-7B,19,93,True,True,1.453241,1.4417265640000372,1.6080620858693575,0.279731,64,-0.673205,-0.6955166406367153,-0.7724961452278478,0.296236,45,1.1988057045991827,-0.27713447161401666
bigscience/bloom-1b1,31,140,True,True,-2.573364,-3.2857647298947286,-4.383951285302076,0.298459,109,0.663855,0.7309336106508206,0.7861161350616339,0.290115,47,-4.4376383522812155,0.6980425887180859
bigscience/bloom-1b7,26,131,True,True,-2.447056,-3.2325868216586717,-4.357651440265478,0.291141,102,0.429526,0.40620677324569004,0.4722204621448126,0.299592,48,-4.958498229956986,0.09574003922560136
bigscience/bloom-3b,32,146,True,True,-2.462347,-3.219802386732874,-4.341042144310599,0.298572,109,0.170045,0.167932333275166,0.1884760211738803,0.299949,53,-3.9429288264570608,-0.004709895521585269
bigscience/bloom-560m,25,114,True,True,-2.360582,-3.283036513883069,-5.1353115981707855,0.299861,89,0.944861,0.9661634778863027,1.0665898004725283,0.297435,39,-5.621576535041428,0.7076440012854259
bigscience/bloom-7b1,30,132,True,True,-1.954205,-2.2996359986394155,-2.6113007601295095,0.296545,99,0.024719,-0.05498667561906583,-0.029590890262872635,0.293482,52,-2.9006088175088203,-0.07308975136494142
bigscience/bloomz-1b7,26,126,True,True,-2.63726,-3.559227209912826,-6.209361367175629,0.297461,106,2.202241,2.104244141288021,3.738955371643839,0.179164,40,-5.599795905808607,2.182183780116193
bigscience/bloomz-3b,21,107,True,True,-2.503374,-3.4369265121206567,-5.372201202291569,0.295355,94,2.061802,1.474425379777808,1.7380226371636556,0.203699,29,-5.2636686263988,1.8145346398043962
bigscience/bloomz-7b1,26,134,True,True,-2.619803,-3.523045654665674,-6.053967503102215,0.297686,113,2.234153,2.2801304613419138,3.6998534556058407,0.18754,45,-5.3717023216605675,3.0412253233815076
deepseek-ai/deepseek-coder-6.7b-base,22,103,True,True,-0.64418,-0.758382212491555,-0.757071374859842,0.293568,72,-0.131134,-0.17793286036495815,-0.15988848439096012,0.298867,46,-0.8331017402558356,-0.21311541230150544
deepseek-ai/deepseek-llm-7b-base,24,117,True,True,-1.418404,-1.7129322628464128,-1.892561249792627,0.291312,84,-0.190647,-0.2236899975412224,-0.2001248483395109,0.297542,55,-2.2897742174121456,0.12306568756553736
deepseek-ai/deepseek-math-7b-base,26,133,True,True,-2.426622,-2.8373260910070637,-3.269593009670639,0.296495,111,1.281221,1.3029539231476428,1.4161042338262568,0.297999,46,-4.235959593198029,0.7826711202093363
facebook/opt-1.3b,17,99,True,True,-1.709965,-2.132646051362174,-2.4603823536345666,0.294688,86,1.664326,1.7031699619336254,2.2143691478829037,0.282566,34,-2.0502899180466723,1.2882972129217176
facebook/opt-2.7b,18,108,True,True,-1.980698,-2.2669002753456757,-2.521606281281448,0.294611,87,1.501092,1.605657433126252,1.8391130720843571,0.297498,41,-2.044561002355314,1.307751076297691
facebook/opt-6.7b,14,85,True,True,-1.67973,-1.9831391851467401,-2.1637264460772663,0.297015,73,1.562141,1.3182218560112406,1.7587427707360572,0.279735,28,-2.3389730258174044,1.0379221611913292
google/gemma-2-2b,25,117,True,True,-0.211584,-0.2475291155816933,-0.21696645511882204,0.292351,80,-0.147886,-0.16110457144380397,-0.15381508060208968,0.294051,54,-0.9799924177456192,-0.03976902889156767
h2oai/h2o-danube2-1.8b-base,34,141,True,True,-0.855227,-0.9208950020473761,-0.9620626870567519,0.299641,99,-0.304425,-0.3039252904953907,-0.3316893936956078,0.298235,61,-1.3533250805552315,-0.3770891857951733
h2oai/h2o-danube3-4b-base,13,62,True,True,0.280886,0.21358775200722063,0.2955558690354746,0.264153,48,-1.0608,-0.9011417959155947,-1.2173191695320653,0.283334,22,0.18659526549963087,-0.8144466276886422
ibm-granite/granite-3.0-2b-base,7,34,True,True,1.088228,0.8418001428407149,1.160191779044214,0.28949,25,0.692411,0.4690687929972325,0.5092633507796905,0.280659,16,0.8006995081044583,0.14444706851216496
