model,scenarios,criteria,precision_reached,mwle_ok,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_full_correctness,theta_full_scaffolding
01-ai/Yi-6B,24,116,True,True,-0.886076,-0.9302504096910988,-0.9678486051383491,0.259357,89,0.27922,0.2404467595254055,0.3090407674825439,0.29581,50,-1.0696387014845008,0.06318889084289145
01-ai/Yi-6B-Chat,36,165,True,True,-0.443579,-0.4741742862668067,-0.4686690409849823,0.217347,125,-0.693638,-0.688838902989824,-0.7794466462935778,0.291654,68,-0.18015578873280497,-0.7677187069391365
EleutherAI/pythia-1.4b,32,158,True,True,-2.677637,-3.283195605596348,-4.229410991822276,0.298937,120,1.255599,1.2870836607753573,1.3720977714770493,0.232834,69,-2.4038086685271525,1.2231724170589933
EleutherAI/pythia-160m,37,191,True,True,-2.970099,-3.6477389559454196,-5.487921197649772,0.299791,151,2.018414,2.0501467959972746,2.2078947663107695,0.212024,79,-5.659396172094215,1.8433731736596606
EleutherAI/pythia-1b,33,164,True,True,-2.478404,-2.911139719237676,-3.391836093189396,0.297674,126,0.909199,0.9071224664941109,0.9770121915076683,0.246762,71,-2.6275895771893203,1.1207608538989127
EleutherAI/pythia-2.8b,22,112,True,True,-2.154443,-2.5342766078419636,-2.8969273264495943,0.297482,87,1.222019,1.2050592581676463,1.3061490706263332,0.285395,46,-2.6274792766233395,0.9893004930231977
EleutherAI/pythia-410m,36,182,True,True,-2.788278,-3.38776773383916,-4.477183160851975,0.299641,139,1.363196,1.3218340583148516,1.4001540127470589,0.21935,80,-3.7524357532417265,1.4649156066764775
EleutherAI/pythia-6.9b,25,112,True,True,-1.86048,-2.215507858880778,-2.5048629969695213,0.29384,89,0.469162,0.47951415536821024,0.5455357714726252,0.299602,45,-2.386349764963674,0.7278865720939125
EleutherAI/pythia-70m,46,224,True,True,-2.962635,-3.6847028502848884,-6.042211848887601,0.297668,166,1.039752,1.0073005860380835,1.0661265709705374,0.219968,103,-5.734366704576898,0.994349944506536
HuggingFaceH4/zephyr-7b-beta,9,36,True,True,1.008411,0.8450704723545726,0.9231107899611146,0.281404,30,0.820546,0.6776048610332792,0.9431779455828847,0.227868,15,1.199709304031712,0.5050663931136576
HuggingFaceTB/SmolLM2-1.7B,33,156,True,True,-0.626007,-0.6914023908988475,-0.6957806752991677,0.211129,121,-0.338964,-0.35051061942844114,-0.3624541572112627,0.297731,63,-0.6282472230203056,-0.18599333839166432
HuggingFaceTB/SmolLM2-1.7B-Instruct,33,152,True,True,0.582573,0.5511285457735233,0.5812860957415455,0.158376,117,-0.494277,-0.5093565901258845,-0.5420673221695924,0.297318,66,0.39248219084457325,-0.8495621299378824
HuggingFaceTB/SmolLM2-135M,39,188,True,True,-2.732902,-3.391583308735536,-4.552628336809708,0.299575,140,0.530698,0.5160170435936418,0.5629623393508028,0.240934,88,-3.958227458186113,0.5379039724534975
HuggingFaceTB/SmolLM2-360M,33,164,True,True,-2.349809,-2.75467534193254,-3.2281455897046163,0.299118,119,1.055937,1.0652705175830837,1.1433913276588645,0.253405,78,-3.362707980440671,0.7203778073094682
HuggingFaceTB/SmolLM2-360M-Instruct,39,171,True,True,-1.294161,-1.3647953030754283,-1.4350762153392131,0.251614,136,-0.403001,-0.4161823479216614,-0.4408952004307416,0.298012,62,-1.4496194584712656,-0.7966226903112156
LLM360/Amber,33,151,True,True,-2.451926,-3.085460708996317,-3.8503353149770936,0.296364,111,0.885652,0.8653113914342507,0.9367141859293001,0.261721,66,-4.860939244240282,0.8497937825438906
Qwen/Qwen2-0.5B,31,135,True,True,-1.987515,-2.1891941252996943,-2.4338911893824657,0.295261,104,-0.24099,-0.24330197934410608,-0.24434222436310724,0.295987,54,-2.6072248163535336,-0.45050657396868077
Qwen/Qwen2-1.5B,15,66,True,True,-0.607141,-0.6842839850872178,-0.6838286307921655,0.293084,55,-1.412433,-1.4548056066589772,-1.5625028135042363,0.279555,19,-0.5908733126681415,-1.2190934866457441
Qwen/Qwen2-7B,10,39,True,True,0.991099,0.8971725050954246,1.0871391082440574,0.252743,32,0.667492,0.11566722493811651,0.5962392027088316,0.178045,17,1.5989761531133395,0.07014857049984463
Qwen/Qwen2.5-0.5B,24,120,True,True,-0.934864,-0.9661689265204162,-1.00343254336696,0.270872,94,-0.907577,-0.9175144811999881,-1.1054767973899382,0.298796,47,-1.3375661778612606,-1.0203268626345818
Qwen/Qwen2.5-0.5B-Instruct,31,140,True,True,-0.994182,-1.0406519560113054,-1.0800893648570007,0.257092,110,-0.978482,-0.9913396958728822,-1.1671399774520224,0.297765,56,-0.6497614091041916,-1.2112638114971706
Qwen/Qwen2.5-1.5B,36,177,True,True,1.245635,1.1978198773051842,1.2275175324676184,0.126125,142,-1.361301,-1.2728798503523164,-1.3979657938463288,0.297063,76,0.800315441017891,-1.5478380258280078
Qwen/Qwen2.5-1.5B-Instruct,31,147,True,True,1.344259,1.3101215869291278,1.3373011386442584,0.118626,117,-1.225279,-1.3637263659998429,-1.4692981108388539,0.294587,58,1.2715089436303662,-1.4918612656020684
Qwen/Qwen2.5-3B,19,98,True,True,1.570608,1.5465348504973653,1.570726491750448,0.134689,73,-0.794412,-0.9193395305993969,-1.0876240124525955,0.298974,43,1.5999402136417205,-0.8133569550045072
Qwen/Qwen2.5-3B-Instruct,13,60,True,True,2.054485,2.120038839511072,2.190842488233191,0.170805,47,0.107544,-0.0382406680754818,0.017417876941634738,0.255797,32,2.2000054525878214,0.2009646900248215
Qwen/Qwen2.5-7B,10,38,True,True,1.791793,1.7577413433102378,1.763404613754399,0.213969,33,0.964573,0.5763273180197522,0.6231480133442928,0.29376,16,2.1999666324740277,0.3677229093849661
Qwen/Qwen2.5-7B-Instruct,11,46,True,True,2.249509,2.2810265099053533,2.3221625527042136,0.153657,40,0.284967,0.22902491691431304,0.2581500246202192,0.164589,18,2.6000173795958275,0.39293993117906734
Qwen/Qwen2.5-Coder-7B,12,43,True,True,2.272283,2.2381756578562255,2.3036360889284224,0.157297,37,0.164956,0.061267382689813576,0.16289982956001334,0.175137,19,2.0073448613185443,0.08181507266588127
Qwen/Qwen2.5-Math-7B,22,87,True,True,2.445219,2.3992235104008026,2.4455218004520174,0.092519,69,-0.999126,-1.2102476414744574,-1.2775978722660097,0.296681,33,2.395229652394424,-1.7461596690546428
Qwen/Qwen3-0.6B,18,83,True,True,1.432338,1.3844302494360683,1.4191356570505147,0.133878,62,-1.810005,-1.7190628361300289,-1.7450581262030618,0.284071,39,1.1744407346151704,-1.9097985713943142
Qwen/Qwen3-1.7B,19,71,True,True,2.688659,2.64225484191154,2.700029259169639,0.100351,62,-0.974554,-1.5888914786394692,-1.7293956103057322,0.287407,19,2.799999999686343,-2.6767274059285064
Qwen/Qwen3-4B,15,77,True,True,4.153808,4.257816416620216,4.43788100051018,0.173977,54,-1.429768,-1.4826562681592534,-1.6502679913294218,0.284654,47,3.7987929560189855,-1.7963945719146628
TinyLlama/TinyLlama-1.1B-Chat-v1.0,32,144,True,True,-2.134779,-2.4089593505793623,-2.69184116373732,0.293765,114,-0.882643,-0.8675848786215755,-1.046533254657059,0.299802,56,-2.4659508362909204,-1.0021218295972139
allenai/OLMo-2-0425-1B,36,156,True,True,-0.983306,-1.0356896620379785,-1.075561880887107,0.247999,120,-0.022104,-0.0363228878680247,-0.01919689670256467,0.296632,58,-0.7023609655767256,-0.3201886137412474
allenai/OLMo-2-1124-7B,29,146,True,True,1.266612,1.2003603200649866,1.235168386800447,0.132367,114,-0.571795,-0.5916838460542644,-0.6183941113461178,0.29801,71,1.1988057045991827,-0.27713447161401666
bigscience/bloom-1b1,37,188,True,True,-2.763756,-3.4522640257993484,-4.657204601172026,0.294945,140,0.844932,0.8198100514397819,0.8808275127133635,0.231377,85,-4.4376383522812155,0.6980425887180859
bigscience/bloom-1b7,47,230,True,True,-3.012298,-3.5954240427791047,-4.928581091118249,0.299766,170,0.350971,0.325426360337928,0.36771306406900217,0.233965,105,-4.958498229956986,0.09574003922560136
bigscience/bloom-3b,31,143,True,True,-2.478611,-3.2310425461543137,-4.319937914914235,0.299515,106,0.202473,0.14442549404116678,0.2019858534105803,0.280578,55,-3.9429288264570608,-0.004709895521585269
bigscience/bloom-560m,50,241,False,True,-3.3397,-3.815395321727159,-6.569338299719055,0.329759,182,0.839621,0.8358912392046687,0.8851151519795191,0.228467,105,-5.621576535041428,0.7076440012854259
bigscience/bloom-7b1,31,142,True,True,-2.083461,-2.293438998137702,-2.5445481161838193,0.291977,110,-0.166303,-0.18779411473253507,-0.17486927152219808,0.297566,56,-2.9006088175088203,-0.07308975136494142
bigscience/bloomz-1b7,30,156,True,True,-2.761103,-3.5959685490715567,-6.069971215034205,0.297912,124,2.044092,2.1668150057608897,2.4672342682583874,0.22464,69,-5.599795905808607,2.182183780116193
bigscience/bloomz-3b,27,141,True,True,-2.568352,-3.465544770363035,-5.47760504688919,0.29158,108,1.546809,1.595531885124058,1.6895705184677892,0.247778,59,-5.2636686263988,1.8145346398043962
bigscience/bloomz-7b1,25,144,True,True,-2.78876,-3.6927626733165524,-6.015270219041751,0.29801,116,2.226094,2.4507230989602755,3.648242917486946,0.197953,67,-5.3717023216605675,3.0412253233815076
deepseek-ai/deepseek-coder-6.7b-base,26,120,True,True,-0.827719,-1.0199846203406706,-1.0510459991400585,0.235039,94,-0.22126,-0.2678127996348622,-0.2666032550443569,0.298058,45,-0.8331017402558356,-0.21311541230150544
deepseek-ai/deepseek-llm-7b-base,28,131,True,True,-1.753318,-2.0510918592507794,-2.2706321716513744,0.270014,103,-0.205514,-0.23894394122868076,-0.24125072149877036,0.294948,53,-2.2897742174121456,0.12306568756553736
deepseek-ai/deepseek-math-7b-base,25,133,True,True,-2.532124,-3.4200298109909126,-5.360767399693538,0.292905,103,0.925883,0.935994844040255,1.0213077046936887,0.264691,57,-4.235959593198029,0.7826711202093363
facebook/opt-1.3b,17,86,True,True,-1.560092,-2.1629280203992143,-2.564486758933133,0.299671,69,1.434037,1.4659291673521895,1.6812683326377504,0.266701,37,-2.0502899180466723,1.2882972129217176
facebook/opt-2.7b,23,114,True,True,-2.040316,-2.2448872878966544,-2.498521214369924,0.299606,93,1.511166,1.5000636009133592,1.6300356979997304,0.261127,47,-2.044561002355314,1.307751076297691
facebook/opt-6.7b,16,83,True,True,-1.351195,-1.7627674823438875,-1.9233455513974376,0.294489,68,1.496919,1.1813764508568205,1.4957955319818268,0.21369,34,-2.3389730258174044,1.0379221611913292
google/gemma-2-2b,18,96,True,True,-0.221417,-0.34225205752368326,-0.31442756604992234,0.218964,78,0.017097,-0.3705292457533592,-0.3423714762883827,0.299318,38,-0.9799924177456192,-0.03976902889156767
h2oai/h2o-danube2-1.8b-base,38,169,True,True,-1.101213,-1.1739192024507414,-1.221597132910889,0.237935,133,-0.500757,-0.490843392649683,-0.5421123118917214,0.298447,69,-1.3533250805552315,-0.3770891857951733
h2oai/h2o-danube3-4b-base,28,132,True,True,0.125816,0.1073869809093804,0.14326086660820417,0.187492,102,-0.740016,-0.7375887341778234,-0.8841250626057263,0.299483,52,0.18659526549963087,-0.8144466276886422
ibm-granite/granite-3.0-2b-base,14,65,True,True,1.212223,1.1640417678271242,1.2652756671675585,0.176862,50,0.371559,0.22136876777596776,0.33773638670651435,0.266956,28,0.8006995081044583,0.14444706851216496
ibm-granite/granite-3.1-2b-base,14,67,True,True,0.923415,0.8523757204446568,0.9295672679334539,0.202531,53,0.618238,0.5551197917914844,0.6560961892641413,0.257247,30,0.7994644080388718,-0.08377028874479565
ibm-granite/granite-3.1-2b-instruct,13,64,True,True,1.347677,1.3207328736274806,1.371033589694039,0.146623,49,-0.724744,-0.3561055836951223,-0.4876229894408815,0.299817,29,1.4001114838653363,-0.001840028064274142
lmsys/vicuna-7b-v1.5,28,134,True,True,-0.21547,-0.23885092655978404,-0.22281255922226237,0.216613,105,0.032266,0.012585168767830151,0.05540047354346187,0.298255,52,0.0005229814847924736,0.3672388266676668
meta-llama/Llama-3.2-1B,29,143,True,True,-2.234693,-2.577615430284342,-2.937096695179089,0.299795,108,0.504059,0.48107013424041895,0.5400872085385614,0.266291,62,-2.8426749249653422,0.28449305421295523
meta-llama/Llama-3.2-1B-Instruct,30,140,True,True,-0.701596,-0.7386388092832485,-0.749140425277538,0.237917,113,-0.862848,-0.8389723095247622,-1.012939852146089,0.298139,52,-0.38017876270239875,-1.3570987908605114
meta-llama/Llama-3.2-3B,11,49,True,True,0.589449,0.40086101191879153,0.5471696295929247,0.222372,38,0.353341,0.13609101852778852,0.25480072245493884,0.291183,18,-0.34967955640149306,-0.10174664307984774
meta-llama/Llama-3.2-3B-Instruct,13,51,True,True,1.159114,1.1060337116321264,1.1823965177168256,0.173212,45,1.260396,1.5274744385052865,1.3177456579352456,0.167337,17,1.1999087564118256,1.2752029483635052
microsoft/Phi-3-mini-4k-instruct,26,139,True,True,0.634227,0.57847020336282,0.61061857481659,0.157674,109,0.379186,0.3716662693576966,0.44092990413281163,0.276538,61,0.4027064021230283,0.6899464779172212
microsoft/Phi-3.5-mini-instruct,16,76,True,True,1.404634,1.4140280423234113,1.4500375914082817,0.142442,57,-1.172342,-1.1844997529303676,-1.3770874913495077,0.294438,35,1.42693382215755,-1.1836483186409374
microsoft/phi-1_5,37,163,True,True,-1.312918,-1.4135906496953161,-1.4898736794829832,0.252866,127,-0.411154,-0.43337016799528216,-0.442704179317116,0.296061,65,-2.327605612685562,0.13421806571692863
microsoft/phi-2,11,56,True,True,0.156518,0.10776786452207998,0.16732290690004276,0.269541,47,0.793371,0.6269712206231323,0.9514801492366384,0.280216,17,0.19615813889988415,0.43933118286614314
mistralai/Mistral-7B-Instruct-v0.3,14,56,True,True,0.94056,0.8862152064632058,0.9622416702688145,0.219855,50,0.644577,0.4455328644589746,0.7694412974855793,0.221423,18,1.1937906403244807,0.6264601300781947
mistralai/Mistral-7B-v0.1,24,132,True,True,0.64662,0.5913847436290351,0.6230386648273276,0.174783,100,0.161422,0.15139888368646837,0.19942658962697238,0.277772,61,0.6990570187484786,0.32899868696267265
mistralai/Mistral-7B-v0.3,21,114,True,True,0.660554,0.6093850326682217,0.6541621403334722,0.174791,91,0.312136,0.24452848624853477,0.34493789547165365,0.298461,50,0.804105656299805,0.45995266722820044
nvidia/Nemotron-Mini-4B-Instruct,36,168,True,True,-0.076467,-0.10443572827240004,-0.07615855813385985,0.184668,128,-0.540382,-0.5301243328706723,-0.5779659673868611,0.297059,70,-0.0007988225326746366,-0.19595189611483516
openai-community/gpt2,31,156,True,True,-2.730852,-3.4205770290844777,-4.72717332827776,0.298943,122,1.906308,1.9360264357708743,2.1069876865596626,0.229359,68,-5.356511843185709,1.6665914414936533
openai-community/gpt2-large,23,120,True,True,-2.361286,-3.302297447944115,-4.610246859773371,0.292519,98,1.560634,1.2036535930677097,1.3064047565848371,0.212393,48,-3.7445815781738263,1.419641117667568
openai-community/gpt2-medium,39,202,True,True,-2.920257,-3.54842736607638,-4.892192475163488,0.299186,158,1.618537,1.557213109435102,1.6571404794687787,0.226433,85,-5.66636142768099,1.4149812046661663
openai-community/gpt2-xl,19,106,True,True,-2.142491,-2.6407302122331533,-3.119970819187477,0.294348,85,1.271359,1.1960137507202684,1.3145173234867242,0.254959,47,-3.532574682775511,1.3877141277761418
openbmb/MiniCPM-2B-sft-bf16,25,108,True,True,-1.816035,-2.061026459983463,-2.2986848735058665,0.294288,86,0.660921,0.6268046250641335,0.7228555446669772,0.293657,45,-2.4934910784296154,0.5912532018518619
