model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_full_presentation,theta_cat_presentation,theta_batch_presentation,theta_mwle_presentation,final_se_presentation,scorable_evals_presentation
01-ai/Yi-6B,37,197,precision_reached,True,197,0,0.10181424316274032,-1.0504837496428152,-0.848617,-0.9883521007271724,-1.007310312023131,0.264785,142,-0.1680918237716715,-0.089925,-0.19707154505354332,-0.16544419494293033,0.296095,41,-0.6828508135756794,-0.474527,-0.5362659594337904,-0.5624582815649449,0.299744,31
01-ai/Yi-6B-Chat,32,179,precision_reached,True,179,0,0.15893494372769695,-0.24395355418729536,-0.464969,-0.5111590586292653,-0.4840249299265325,0.290623,130,-0.8270119408224584,-0.273907,-0.2990085891735489,-0.2828335879162706,0.294023,37,0.5241066234543424,0.973182,0.9138804911252147,1.0249832136665311,0.294009,26
EleutherAI/pythia-1.4b,43,253,precision_reached,True,253,0,0.07678002125398513,-2.31040826100785,-1.722593,-1.899670416863646,-2.030724587075111,0.277452,193,0.901548503984101,0.873915,0.7691054871729058,0.8927321997057743,0.290151,34,-1.7702112487427233,-1.328695,-1.3720127070155854,-1.4837499705245212,0.299751,41
EleutherAI/pythia-160m,50,285,max_scenarios_reached,False,285,0,0.04080551139374669,-5.590141088377579,-2.395494,-3.3749089469246494,-6.145906785825258,0.278384,214,1.4581393582669901,1.302422,1.3558976605375814,1.5481137731411339,0.28847,43,-4.809834524039641,-2.862451,-3.5243141720751483,-5.891132072646765,0.33818,48
EleutherAI/pythia-1b,50,269,max_scenarios_reached,False,269,0,0.07047872340425532,-2.484870177587317,-2.286193,-2.9256532964131954,-3.796284120361578,0.30164,199,0.9794514311327948,1.028001,1.0108025139440755,1.1474279955366145,0.289387,38,-2.0675069519353673,-1.737592,-1.8542039211462287,-2.0326340833522285,0.308812,46
EleutherAI/pythia-2.8b,50,277,max_scenarios_reached,False,277,0,0.061436170212765956,-2.528027076057536,-2.121097,-2.98008884452211,-4.099773322636645,0.272957,206,0.7389683624943152,0.611174,0.32629466368911,0.40563139586692165,0.287337,41,-2.4565238980454502,-2.243569,-2.4371811733158233,-2.7724042789302743,0.31638,48
EleutherAI/pythia-410m,50,278,max_scenarios_reached,False,278,0,0.053760593220338986,-3.539510342234612,-2.183428,-2.842463899039887,-3.5349921074152975,0.286062,205,1.22525350416293,1.312867,1.3310682484640872,1.4468906967137423,0.28982,41,-3.592233163796952,-2.558264,-2.9465656216203002,-3.6359230443930386,0.328815,48
EleutherAI/pythia-6.9b,47,249,precision_reached,True,249,0,0.07249466950959488,-2.293376479991756,-1.611851,-1.7706973990114425,-1.9279091570608136,0.286255,183,0.37124746744113996,-0.079432,-0.10163413861603687,-0.09301536789148634,0.292903,40,-1.4506128283582704,-1.261242,-1.3275318305461754,-1.4388888132975266,0.298908,40
EleutherAI/pythia-70m,50,268,max_scenarios_reached,False,268,0,0.030952380952380953,-5.783732114975643,-2.407624,-3.3115075166243235,-5.937414233474321,0.30188,193,0.7431994861741782,0.761135,0.7384008207366695,0.8067640389851342,0.300279,47,-4.81621870005179,-2.864525,-3.5211743936381614,-5.893760764589249,0.337843,48
HuggingFaceH4/zephyr-7b-beta,30,171,precision_reached,True,171,0,0.27240533914464726,1.0666666616106684,0.960424,0.946712740567171,0.9944965997145477,0.157985,125,0.4146279458893208,-0.186322,-0.20331835247134045,-0.20997005651318182,0.285354,39,0.5073146208338817,0.532275,0.4968465215141507,0.5802894210022205,0.296158,25
HuggingFaceTB/SmolLM2-1.7B,30,141,precision_reached,True,141,0,0.136019469983775,-0.5349563195006236,-0.395437,-0.5040395799092567,-0.4218343131177737,0.293797,93,-0.19851685821052747,-0.337225,-0.35329689839608575,-0.3519673135950167,0.2964,39,0.2549737589439236,0.312737,0.2010790175168342,0.3129424684352969,0.29594,22
HuggingFaceTB/SmolLM2-1.7B-Instruct,19,112,precision_reached,True,112,0,0.20087815587266739,0.2666263621803546,0.612299,0.5666930118726731,0.6553484014184446,0.227618,79,-0.737958757732671,-0.594087,-0.7836084231822525,-0.7900989473966036,0.272266,31,1.047026972799294,1.032705,0.9690421210165319,1.1305592328736542,0.293248,16
HuggingFaceTB/SmolLM2-135M,50,275,max_scenarios_reached,False,275,0,0.0501239328008813,-3.730607613398731,-2.004714,-2.6541561069045105,-3.1888955656502183,0.273853,208,0.24392487463483356,0.136701,0.12923786802887471,0.15593406803490684,0.284295,35,-1.9102935126276457,-1.784018,-1.854644166231338,-2.0379280719912987,0.311128,44
HuggingFaceTB/SmolLM2-360M,45,240,precision_reached,True,240,0,0.050615961435457955,-3.131347159887026,-1.702001,-1.8920647419584908,-2.0517412263187964,0.284048,177,0.3694462573107036,0.064151,0.03298183300573877,0.06157193031757333,0.295904,39,-2.0002710532380448,-1.006727,-1.0430282981762906,-1.1218242143289539,0.297857,39
HuggingFaceTB/SmolLM2-360M-Instruct,37,205,precision_reached,True,205,0,0.08909287257019438,-1.3335218876617698,-0.650079,-0.8784212986503276,-0.8942801976014808,0.254482,149,-0.9175016655455958,-0.728735,-1.2456204108487676,-1.3358826155126384,0.298578,39,-0.36217539088307027,-0.178732,-0.19158280150889187,-0.18180048388777176,0.299446,32
LLM360/Amber,50,268,max_scenarios_reached,False,268,0,0.03325352487363661,-4.636508116961386,-2.547026,-3.3971096068083457,-7.341418486066524,0.32773,195,0.656871530927441,0.560223,0.5183886136564471,0.5847185562477599,0.30168,41,-4.519414757412295,-2.871181,-3.5299217167890635,-5.948610841695982,0.343785,48
Qwen/Qwen2-0.5B,49,264,precision_reached,True,264,0,0.05193756727664155,-2.425569820464346,-1.677207,-1.8374565065299346,-1.987466918065277,0.290599,194,-0.4477814298392715,0.220101,0.22518589545644796,0.24448757399271423,0.286155,41,-1.4788358235493613,-1.449819,-1.517006006899696,-1.6477189195206428,0.298801,44
Qwen/Qwen2-1.5B,39,208,precision_reached,True,208,0,0.13333333333333333,-0.5222321511618158,-0.221459,-0.26439272619746135,-0.23199647385074054,0.227742,147,-1.2070470684070111,-1.322809,-1.4025973543474786,-1.499263771105587,0.256053,40,0.18876230912545158,-0.55402,-0.5823059524906186,-0.6072912126199406,0.298379,34
Qwen/Qwen2-7B,18,101,precision_reached,True,101,0,0.32933151432469304,1.3333333334286934,1.079249,1.0410776944256033,1.1198197310883895,0.187775,77,0.08344737011779758,0.193567,0.042809315021208945,0.04999646287592746,0.273578,21,1.1404300802664318,0.975763,0.9243150127112799,1.0875344440522208,0.287184,15
Qwen/Qwen2.5-0.5B,30,155,precision_reached,True,155,0,0.11837837837837838,-1.317598239399706,-1.267991,-1.5034151025688134,-1.622688234708133,0.286249,114,-0.9396245757276881,-0.92228,-0.9800699330252398,-1.0410654133241979,0.296212,28,0.801259706871262,1.294482,1.2063856307189316,1.3238872402910011,0.288877,21
Qwen/Qwen2.5-0.5B-Instruct,24,116,precision_reached,True,116,0,0.16770018873011594,-0.6292359971430913,-0.63913,-0.893901567728704,-0.9159838933406547,0.277522,81,-1.0924388984797482,-0.996205,-1.1157462942353713,-1.2504688957508792,0.286454,30,1.5981370774278207,1.661627,1.631514206501176,1.7396158391213223,0.293076,15
Qwen/Qwen2.5-1.5B,20,96,precision_reached,True,96,0,0.262867112532713,0.798261102615589,0.997926,0.9440378715480865,1.0903735301963253,0.235301,63,-1.4950833793552947,-1.192537,-1.2627817434443096,-1.390510796796934,0.25604,27,1.8698308912010253,2.212374,2.2208107934740564,2.386383401214825,0.271932,15
Qwen/Qwen2.5-1.5B-Instruct,21,118,precision_reached,True,118,0,0.3280437756497948,1.0667154624782054,1.678746,1.6360326408001789,1.7445014736825981,0.2048,85,-1.198148343815533,-1.401677,-1.3716371934756235,-1.463840296260664,0.25177,29,2.400561502288825,2.327295,2.395359449566127,2.522038121432927,0.246278,15
Qwen/Qwen2.5-3B,23,124,precision_reached,True,124,0,0.3706122448979592,1.3333334122242098,1.295361,1.2701112508106838,1.3377457184693111,0.206231,87,-0.4365985077913148,-0.442004,-0.4487113738780793,-0.4994557609086151,0.250711,35,2.4126297749700325,2.610669,2.6056748558613156,2.691970132271874,0.235803,15
Qwen/Qwen2.5-3B-Instruct,17,88,precision_reached,True,88,0,0.47371288477254153,2.133333332643021,2.320485,2.328886327437384,2.4441574375508073,0.215453,62,0.4430215588736924,0.272494,0.25312741059012084,0.26622124225680366,0.221257,26,2.6857116472678744,2.434579,2.6082492425041197,2.7420136908701784,0.242486,15
Qwen/Qwen2.5-7B,16,105,precision_reached,True,105,0,0.44498910675381265,1.8666661219741225,1.928342,1.9697423879429465,2.03211992597568,0.171445,79,0.843100894752896,0.149943,0.420906400113365,0.3479755421798184,0.245323,25,2.1416791051549633,2.458822,2.4828587073260366,2.6045078367019348,0.250374,15
