criterion_id,content,diagnosis,scaffolding,diagnosis_class
tb_0001_c04,1,1,0,specific
tb_0001_c10,0,1,0,specific
tb_0002_c02,1,1,0,specific
tb_0002_c04,1,1,0,unclassified
tb_0002_c05,1,1,0,specific
tb_0002_c06,1,1,0,specific
tb_0002_c08,1,1,0,specific
tb_0003_c03,1,1,0,specific
tb_0003_c04,1,1,0,specific
tb_0003_c05,1,1,0,specific
tb_0003_c06,1,1,0,specific
tb_0003_c07,1,1,0,specific
tb_0003_c08,1,1,0,specific
tb_0003_c09,1,1,0,specific
tb_0004_c03,1,1,0,specific
tb_0004_c05,1,1,0,specific
tb_0004_c06,1,1,0,specific
tb_0005_c01,0,1,0,specific
tb_0005_c02,1,1,0,specific
tb_0006_c02,1,1,0,specific
tb_0006_c03,1,1,0,specific
tb_0006_c06,0,1,1,specific
tb_0008_c01,1,1,0,specific
tb_0008_c03,1,1,0,specific
tb_0009_c03,1,1,0,specific
tb_0010_c01,1,1,0,specific
tb_0010_c02,1,1,0,specific
tb_0010_c04,0,1,0,specific
tb_0011_c01,1,1,0,specific
tb_0011_c05,0,1,0,specific
tb_0011_c06,1,1,0,specific
tb_0012_c04,1,1,0,specific
tb_0013_c01,1,1,0,specific
tb_0013_c04,1,1,0,specific
tb_0015_c02,1,1,0,specific
tb_0016_c07,1,1,0,specific
tb_0017_c02,1,1,0,specific
tb_0017_c03,0,1,0,specific
tb_0017_c04,1,1,0,specific
tb_0017_c06,1,1,0,specific
tb_0017_c08,0,1,0,specific
tb_0017_c10,0,1,0,specific
tb_0017_c11,1,1,0,specific
tb_0017_c12,1,1,0,specific
tb_0017_c13,0,1,0,specific
tb_0017_c14,1,1,0,specific
tb_0017_c15,1,1,0,specific
tb_0017_c16,1,1,0,specific
tb_0017_c17,1,1,0,specific
tb_0017_c18,1,1,0,specific
tb_0018_c02,1,1,0,specific
tb_0020_c01,1,1,0,specific
tb_0020_c02,1,1,0,specific
tb_0020_c03,1,1,0,specific
tb_0020_c12,0,1,1,ack_affect
tb_0021_c01,1,1,0,specific
tb_0021_c04,1,1,0,specific
tb_0021_c05,1,1,0,specific
tb_0021_c06,1,1,0,specific
tb_0022_c01,1,1,0,specific
tb_0022_c03,1,1,0,specific
tb_0022_c04,1,1,0,specific
tb_0022_c05,1,1,0,specific
tb_0022_c06,1,1,0,specific
tb_0022_c07,1,1,0,specific
tb_0024_c05,0,1,1,specific
tb_0025_c11,1,1,0,specific
tb_0026_c15,1,1,0,unclassified
tb_0027_c01,0,1,0,specific
tb_0028_c02,1,1,0,specific
tb_0028_c03,0,1,0,specific
tb_0028_c05,1,1,0,specific
tb_0028_c06,1,1,0,specific
tb_0028_c07,1,1,0,specific
tb_0028_c09,1,1,0,specific
tb_0030_c01,0,1,0,ack_affect
tb_0030_c02,1,1,0,specific
tb_0030_c03,1,1,0,specific
tb_0030_c04,1,1,0,specific
tb_0030_c07,1,1,0,specific
tb_0031_c01,0,1,0,ack_affect
tb_0031_c02,1,1,0,specific
tb_0031_c07,1,1,0,specific
tb_0031_c13,1,1,0,specific
tb_0032_c02,1,1,0,specific
tb_0032_c03,1,1,0,specific
tb_0032_c04,1,1,0,specific
tb_0032_c06,0,1,0,specific
tb_0033_c01,0,1,0,specific
tb_0033_c02,0,1,0,specific
tb_0033_c10,1,1,0,specific
tb_0033_c11,1,1,0,specific
tb_0034_c01,1,1,0,specific
tb_0034_c02,1,1,0,specific
tb_0034_c03,1,1,0,specific
tb_0034_c04,1,1,0,specific
tb_0034_c08,1,1,0,specific
tb_0034_c09,1,1,0,specific
tb_0035_c01,1,1,0,specific
tb_0035_c02,0,1,0,specific
tb_0035_c03,1,1,0,specific
tb_0037_c01,1,1,0,specific
tb_0038_c04,1,1,0,specific
tb_0039_c09,0,1,1,specific
tb_0040_c02,0,1,1,specific
tb_0040_c04,1,1,0,specific
tb_0041_c02,1,1,0,specific
tb_0041_c03,1,1,0,specific
tb_0041_c04,1,1,0,specific
tb_0043_c01,1,1,0,specific
tb_0043_c04,1,1,0,specific
tb_0043_c05,1,1,0,specific
tb_0043_c06,0,1,0,specific
tb_0043_c09,1,1,1,unclassified
tb_0044_c04,1,1,0,specific
tb_0045_c07,0,1,1,specific
tb_0045_c12,0,1,0,specific
tb_0046_c05,0,1,0,specific
tb_0047_c03,1,1,0,specific
tb_0047_c05,1,1,0,specific
tb_0047_c06,1,1,0,specific
tb_0047_c07,1,1,0,specific
tb_0047_c08,1,1,0,specific
tb_0048_c02,1,1,0,specific
tb_0048_c06,1,1,0,specific
tb_0048_c08,1,1,0,specific
tb_0048_c09,1,1,1,specific
tb_0048_c10,1,1,0,specific
tb_0049_c01,1,1,0,specific
tb_0050_c02,1,1,0,specific
tb_0050_c04,1,1,0,specific
tb_0050_c06,1,1,0,specific
tb_0050_c07,1,1,0,specific
tb_0050_c08,1,1,0,specific
tb_0051_c06,0,1,0,specific
tb_0051_c07,1,1,0,specific
tb_0052_c03,1,1,0,unclassified
tb_0052_c05,1,1,0,specific
tb_0052_c07,1,1,0,specific
tb_0052_c09,1,1,0,specific
tb_0053_c01,1,1,0,specific
tb_0054_c02,0,1,0,specific
tb_0054_c03,1,1,0,specific
tb_0054_c06,1,1,0,specific
tb_0054_c08,1,1,0,specific
tb_0055_c01,1,1,1,specific
tb_0055_c02,1,1,0,specific
tb_0056_c01,1,1,0,specific
tb_0056_c02,1,1,0,specific
tb_0056_c05,1,1,0,specific
tb_0057_c06,0,1,0,specific
tb_0057_c08,1,1,0,specific
tb_0057_c12,1,1,0,specific
tb_0058_c01,1,1,0,specific
tb_0058_c02,0,1,0,specific
tb_0058_c04,1,1,0,specific
tb_0059_c01,1,1,0,specific
tb_0059_c02,1,1,0,specific
tb_0059_c03,1,1,0,specific
tb_0060_c02,1,1,0,specific
tb_0061_c02,1,1,0,specific
tb_0061_c03,1,1,0,specific
tb_0061_c05,1,1,0,specific
tb_0061_c06,1,1,0,specific
tb_0062_c01,0,1,0,specific
tb_0063_c01,0,1,0,ack_affect
tb_0063_c02,1,1,0,specific
tb_0064_c02,1,1,0,specific
tb_0064_c05,1,1,0,unclassified
tb_0064_c09,1,1,0,specific
tb_0066_c02,1,1,0,specific
tb_0066_c03,1,1,0,specific
tb_0066_c06,1,1,0,specific
tb_0067_c01,1,1,0,specific
tb_0067_c02,1,1,0,specific
tb_0067_c03,1,1,0,specific
tb_0067_c04,1,1,0,specific
tb_0067_c05,1,1,0,specific
tb_0067_c07,1,1,1,specific
tb_0068_c01,1,1,0,specific
tb_0069_c02,1,1,0,specific
tb_0069_c03,1,1,0,specific
tb_0069_c04,1,1,0,unclassified
tb_0069_c05,1,1,0,unclassified
tb_0069_c10,1,1,0,specific
tb_0069_c17,1,1,0,specific
tb_0070_c01,1,1,0,specific
tb_0070_c02,1,1,0,specific
tb_0070_c04,1,1,0,specific
tb_0070_c05,1,1,0,specific
tb_0070_c06,1,1,0,specific
tb_0071_c04,0,1,0,specific
tb_0072_c01,0,1,0,specific
tb_0072_c04,1,1,0,specific
tb_0072_c09,1,1,1,specific
tb_0073_c01,1,1,0,specific
tb_0074_c02,1,1,0,ack_affect
tb_0074_c03,1,1,0,specific
tb_0074_c04,1,1,0,specific
tb_0075_c03,1,1,1,specific
tb_0076_c01,0,1,0,specific
tb_0076_c02,1,1,0,specific
tb_0076_c03,1,1,0,specific
tb_0078_c02,1,1,0,specific
tb_0078_c03,1,1,0,specific
tb_0078_c04,1,1,0,specific
tb_0078_c07,1,1,0,specific
tb_0078_c08,1,1,0,specific
tb_0078_c15,1,1,0,specific
