criterion_id,a,b,method,n_models_used,flags
tb_0001_c01,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0001_c02,1.0,1.649692402838282,girth_rasch_mml,20,
tb_0001_c04,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0001_c06,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0001_c07,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0001_c08,1.0,1.3148911452098575,girth_rasch_mml,20,
tb_0001_c10,1.0,1.649692402838282,girth_rasch_mml,20,
tb_0002_c01,1.0,0.24268941753104278,girth_rasch_mml,20,
tb_0002_c04,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0002_c06,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0002_c07,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0002_c08,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0002_c09,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0002_c10,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0002_c11,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0002_c13,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0002_c16,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0002_c18,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0003_c01,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0003_c10,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0004_c01,1.0,1.649692402838282,girth_rasch_mml,20,
tb_0004_c02,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0004_c04,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0005_c01,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0005_c06,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0005_c07,1.0,1.3148911452098575,girth_rasch_mml,20,
tb_0006_c07,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0006_c09,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0007_c03,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0007_c04,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0007_c06,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0007_c07,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0007_c08,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0008_c05,1.0,1.3148911452098575,girth_rasch_mml,20,
tb_0008_c06,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0008_c07,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0009_c01,1.0,1.649692402838282,girth_rasch_mml,20,
tb_0009_c02,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0009_c03,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0009_c04,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0009_c05,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0009_c06,1.0,1.649692402838282,girth_rasch_mml,20,
tb_0009_c08,1.0,-8.29894493036975e-06,girth_rasch_mml,20,
tb_0010_c03,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0010_c06,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0012_c01,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0012_c06,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0012_c07,1.0,-8.29894493036975e-06,girth_rasch_mml,20,
tb_0013_c02,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0014_c08,1.0,1.3148911452098575,girth_rasch_mml,20,
tb_0015_c02,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0015_c08,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0015_c09,1.0,-8.29894493036975e-06,girth_rasch_mml,20,
tb_0016_c01,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0016_c05,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0017_c01,1.0,1.0183911730215711,girth_rasch_mml,20,
tb_0017_c02,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0017_c05,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0017_c07,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0017_c09,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0017_c10,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0017_c11,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0017_c13,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0017_c20,1.0,1.3148911452098575,girth_rasch_mml,20,
tb_0017_c21,1.0,1.0183911730215711,girth_rasch_mml,20,
tb_0018_c04,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0019_c05,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0019_c06,1.0,0.7462778196202989,girth_rasch_mml,20,
tb_0020_c06,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0020_c09,1.0,2.047779847144435,girth_rasch_mml,20,
tb_0020_c12,1.0,-0.7463135734985766,girth_rasch_mml,20,
tb_0021_c02,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0021_c04,1.0,2.564179423603848,girth_rasch_mml,20,
tb_0021_c05,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0021_c06,1.0,3.3714901801122474,girth_rasch_mml,20,
tb_0022_c08,1.0,2.047779847144435,girth_rasch_mml,20,
