model,theta_sd,theta_range
01-ai/Yi-1.5-6B,0.05699641073003825,0.17577077029152594
01-ai/Yi-1.5-6B-Chat,0.05061190831173257,0.16566943333911643
01-ai/Yi-6B,0.05642042078774579,0.17041555891205662
01-ai/Yi-6B-200K,0.09593473760295758,0.2853800090410794
01-ai/Yi-6B-Chat,0.020619924498511848,0.06023096783765336
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.3483432268649662,0.9732232573176107
BEE-spoke-data/smol_llama-220M-openhermes,0.06721159872809367,0.2016869843427873
BSC-LT/salamandra-2b,0.04033781521597117,0.1096205234799057
BSC-LT/salamandra-2b-instruct,0.03400937119866394,0.09608203381200417
BSC-LT/salamandra-7b,0.13985203256251405,0.4005745587686689
BSC-LT/salamandra-7b-instruct,0.08875463179530993,0.26809999185689615
HuggingFaceTB/SmolLM2-360M,0.02978950857357833,0.10480243206560802
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.047751094370855104,0.1228028355246602
OpenBMB/MiniCPM4-0.5B,0.09808273300923195,0.2958378432467693
Qwen/Qwen1.5-1.8B,0.2916601184355205,0.8890390452875714
Qwen/Qwen1.5-1.8B-Chat,0.15120474573191167,0.39254476413245154
Qwen/Qwen2-0.5B,0.05755764311325972,0.1460045478303219
Qwen/Qwen2.5-0.5B-Instruct,0.05532332344054081,0.1545909648008775
ai-forever/mGPT,0.07097117306311981,0.20628426005820533
allenai/OLMo-1B-hf,0.6628010802216924,1.7777452984644366
allenai/OLMo-2-0425-1B,0.0726290230590939,0.23272341256641826
allenai/OLMo-2-0425-1B-DPO,0.04636401516555829,0.1265965366028593
allenai/OLMo-2-0425-1B-Instruct,0.036270845678595245,0.09526764698156964
arcee-ai/raspberry-3B,0.030788472179971462,0.08997570478081285
google/gemma-2-2b,0.09757428282889065,0.304818336713071
google/gemma-2b,0.030737874340141597,0.08504649464734615
h2oai/h2o-danube-1.8b-chat,0.04870891562956896,0.16095618757908353
h2oai/h2o-danube2-1.8b-base,0.09295297639430729,0.25427976745728575
h2oai/h2o-danube2-1.8b-chat,0.1509484959811277,0.4544645906657871
ibm-granite/granite-3.0-2b-base,0.0805464296519829,0.25768929908887683
ibm-granite/granite-3.1-2b-base,0.2623254822954146,0.6372099247803134
ibm-granite/granite-3.1-2b-instruct,0.03581733803484861,0.09330309662161529
ibm-granite/granite-7b-instruct,0.03269146528811955,0.09821844754827169
ibm/PowerLM-3b,0.034476403261242496,0.08950228530218723
meta-llama/Llama-3.2-1B,0.049063193709633725,0.176262710069097
meta-llama/Llama-3.2-1B-Instruct,0.060912107224199305,0.17271325723914244
meta-llama/Llama-3.2-3B-Instruct,0.04579772723274653,0.1226662710843538
microsoft/phi-1_5,0.06743242565873,0.18610106321508346
nvidia/AceInstruct-1.5B,0.04967148583299641,0.15256964498952907
openbmb/MiniCPM-1B-sft-bf16,0.07369279339030041,0.25888160094933577
openbmb/MiniCPM-2B-sft-bf16,0.15879263956532688,0.49368083393190865
openlm-research/open_llama_3b,0.05388641797794016,0.12931525599485072
pankajmathur/orca_mini_3b,0.03653150185734703,0.08976435026958668
pankajmathur/orca_mini_v9_5_3B-Instruct,0.05060478030090329,0.1247793499618397
stabilityai/stablelm-2-1_6b-chat,0.02459361845572715,0.08307843613841293
stabilityai/stablelm-2-zephyr-1_6b,0.03884509837025983,0.11650985482481979
stabilityai/stablelm-zephyr-3b,0.035295622693769624,0.1044516777166693
tiiuae/Falcon3-1B-Instruct,0.01382130191852964,0.04058857954285666
tiiuae/Falcon3-3B-Base,0.062206866211004866,0.1819310387825697
tiiuae/Falcon3-3B-Instruct,0.06397186171744683,0.20617927260252733
utter-project/EuroLLM-1.7B,0.06169171392602787,0.2097018778890931
utter-project/EuroLLM-1.7B-Instruct,0.043641540130912114,0.12278873665100326
