criterion_id,a_content,a_diagnosis,a_scaffolding,b,n_persons,flags
tb_0001_c01,0.348842,0.0,0.0,1.534936,81,low_n
tb_0001_c03,0.450746,0.0,0.0,1.646432,81,low_n
tb_0001_c04,2.246731,0.0,0.0,3.051129,82,low_n
tb_0001_c05,0.49553,0.524901,0.0,2.800945,82,low_n
tb_0001_c06,0.557743,0.0,0.0,1.549977,80,low_n
tb_0001_c09,0.260516,0.0,0.0,4.250623,82,low_n
tb_0001_c10,1.122015,0.0,0.0,-0.3884,79,low_n
tb_0002_c03,0.355992,0.0,0.0,2.821444,82,low_n
tb_0002_c04,1.493892,0.0,0.0,3.35688,82,low_n
tb_0002_c06,1.32851,0.0,0.0,5.709015,82,low_n
tb_0002_c07,0.867281,0.0,0.0,1.391039,80,low_n
tb_0002_c08,1.767425,0.0,0.0,3.279142,82,low_n
tb_0002_c10,0.541919,0.0,0.0,1.669248,81,low_n
tb_0002_c11,0.672537,0.0,0.0,1.413846,82,low_n
tb_0002_c13,0.946925,0.0,0.0,4.185141,82,low_n
tb_0002_c16,0.608022,0.0,0.0,2.14505,82,low_n
tb_0002_c18,0.382755,0.0,0.0,2.050833,82,low_n
tb_0002_c19,0.613431,0.0,0.0,4.460202,82,low_n
tb_0002_c21,0.946925,0.0,0.0,4.185141,82,low_n
tb_0003_c01,0.715005,0.0,0.0,1.786978,79,low_n
tb_0003_c02,0.575951,0.0,0.0,1.714082,82,low_n
tb_0003_c03,0.648507,0.0,0.0,3.325442,80,low_n
tb_0003_c04,0.836249,0.0,0.0,2.515439,82,low_n
tb_0003_c05,2.421543,0.0,0.0,5.62818,78,low_n
tb_0003_c06,0.946925,0.0,0.0,4.185141,82,low_n
tb_0003_c07,0.657191,0.0,0.0,3.700415,80,low_n
tb_0003_c08,2.219002,0.0,0.0,4.713295,80,low_n
tb_0003_c09,0.654653,0.0,0.0,3.33589,82,low_n
tb_0003_c10,0.946925,0.0,0.0,4.185141,82,low_n
tb_0004_c01,0.65983,0.0,0.0,0.745534,82,low_n
tb_0004_c02,0.380406,0.0,0.0,1.359652,82,low_n
tb_0004_c03,0.359536,0.0,0.0,1.184979,82,low_n
tb_0004_c04,0.429014,0.0,0.0,2.600001,82,low_n
tb_0004_c05,0.469253,0.0,0.0,1.351678,81,low_n
tb_0005_c01,1.181744,0.0,0.0,0.754375,81,low_n
tb_0005_c02,1.258408,0.0,0.0,4.22338,82,low_n
tb_0005_c03,1.046056,0.0,0.0,3.219141,82,low_n
tb_0005_c04,1.340077,0.0,0.0,3.652985,82,low_n
tb_0005_c05,1.519871,0.0,0.0,4.144307,81,low_n
tb_0006_c02,8.51603,0.0,0.0,26.854374,82,extreme_a|low_n
tb_0006_c03,5.89288,0.0,0.0,15.336313,82,low_n
tb_0006_c04,0.613431,0.0,0.0,4.460202,82,low_n
tb_0006_c05,1.614145,0.0,0.0,5.452344,82,low_n
tb_0006_c06,1.755568,-0.408965,0.0,3.078679,80,low_n
tb_0007_c01,1.614145,0.0,0.0,5.452344,82,low_n
tb_0007_c02,1.78905,0.0,0.0,2.199615,82,low_n
tb_0007_c03,0.596402,0.0,0.0,1.092745,82,low_n
tb_0007_c04,1.000389,0.408719,0.0,1.312682,80,low_n
tb_0007_c05,1.05763,0.0,0.0,3.526662,82,low_n
tb_0007_c06,1.033469,0.0,0.0,0.715529,82,low_n
tb_0007_c07,1.688326,0.0,0.0,1.174789,82,low_n
tb_0007_c08,0.737924,0.0,0.0,2.61275,82,low_n
tb_0009_c01,0.578303,0.0,0.0,1.148753,78,low_n
tb_0009_c03,0.509748,0.0,0.0,0.960883,79,low_n
tb_0009_c04,0.727261,0.0,0.0,1.225991,82,low_n
tb_0009_c07,1.332758,0.897909,0.0,4.179385,81,low_n
tb_0010_c03,8.378309,0.0,0.0,26.321405,81,extreme_a|low_n
