model,model_family,theta_reference_online,theta_mwle_online,honest_target_rate_online,scenarios_mean_online,final_eap_se_mean_online,eval_pass_rate_mae_online,theta_reference_eap,theta_mwle_eap,honest_target_rate_eap,scenarios_mean_eap,final_eap_se_mean_eap,eval_pass_rate_mae_eap,target_rate_difference,scenario_difference,theta_absolute_error_online,theta_absolute_error_eap
01-ai/Yi-1.5-6B,yi,-0.9186728971724787,-1.889785116668819,0.0,24.4,0.21946643081953474,0.2626857914260108,-0.9186728971724787,-1.810797380270604,1.0,30.4,0.19758148052762634,0.25523577020290894,1.0,6.0,0.9711122194963404,0.8921244830981254
01-ai/Yi-1.5-6B-Chat,yi,2.5706364539652955,3.5268152121452303,0.0,28.8,0.21679197706779313,0.05784686201893883,2.5706364539652955,3.462183840300001,1.0,34.4,0.1974096589337988,0.05250492689160426,1.0,5.599999999999998,0.9561787581799348,0.8915473863347056
01-ai/Yi-6B,yi,-1.6684224111879673,-1.5583834010236166,0.0,25.0,0.2055027642168505,0.029796157232969328,-1.6684224111879673,-1.5876698938043432,1.0,27.6,0.19859528972200483,0.03301565779193925,1.0,2.6000000000000014,0.11003901016435069,0.0807525173836241
01-ai/Yi-6B-200K,yi,-2.7759393840832596,-3.2618581471034154,0.0,39.0,0.22338794195900452,0.039284649154572304,-2.7759393840832596,-3.209289863791482,0.4,49.4,0.20151799728704844,0.03712876949367617,0.4,10.399999999999999,0.4859187630201558,0.4333504797082224
01-ai/Yi-6B-Chat,yi,2.0238335149796716,1.7133263800677412,0.0,19.0,0.21078680032121172,0.031522363847685496,2.0238335149796716,1.682033765251577,1.0,21.6,0.1953491787628089,0.03592233215632727,1.0,2.6000000000000014,0.3105071349119304,0.34179974972809446
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,-5.242647005800174,-5.862962360091547,0.0,50.0,0.34687705093267984,0.0077570495428601685,-5.242647005800174,-5.862962360091547,0.0,50.0,0.34687705093267984,0.0077570495428601685,0.0,0.0,0.6203153542913729,0.6203153542913729
BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,-3.2102725838300885,-3.967803933347092,0.0,38.0,0.2585165823017269,0.007791867978052422,-3.2102725838300885,-4.059142294093077,0.0,50.0,0.24175047687702275,0.005520406119306494,0.0,12.0,0.7575313495170035,0.8488697102629881
BSC-LT/salamandra-2b,salamandra,-2.259444991571338,-1.6657369096497328,0.0,25.0,0.20959374215799617,0.06955095577184943,-2.259444991571338,-1.671607156499824,1.0,29.2,0.19473768727095722,0.06907616736097436,1.0,4.199999999999999,0.5937080819216054,0.5878378350715141
BSC-LT/salamandra-2b-instruct,salamandra,0.5661025688478047,0.8166500692414541,0.6,17.2,0.19702839440227377,0.0849934360995888,0.5661025688478047,0.7277925405182908,1.0,17.4,0.19461766655405371,0.07065685855350304,0.4,0.1999999999999993,0.25054750039364937,0.16168997167048604
BSC-LT/salamandra-7b,salamandra,-0.8983482431759263,-1.0118257231604846,0.0,20.8,0.20427688659473672,0.011017093631234686,-0.8983482431759263,-0.9831696817713613,1.0,22.8,0.19671397297949805,0.020742403715603243,1.0,2.0,0.11347747998455826,0.084821438595435
BSC-LT/salamandra-7b-instruct,salamandra,1.1980525377460396,1.3968516337224788,0.6,19.4,0.20113383069354457,0.018205235449726388,1.1980525377460396,1.3685636064868933,1.0,20.2,0.1965361083854355,0.01852075813231231,0.4,0.8000000000000007,0.1987990959764392,0.17051106874085376
HuggingFaceTB/SmolLM2-360M,smollm,-3.7362486651780884,-3.7772862764061808,0.0,40.8,0.24390544206899728,0.028451157474821742,-3.7362486651780884,-3.8248727405526424,0.0,50.0,0.23051300928517474,0.02954412679104495,0.0,9.200000000000003,0.04103761122809235,0.08862407537455397
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,3.749585016057626,3.745547697491704,0.0,30.0,0.22423064836700876,0.041338508302709374,3.749585016057626,3.685071304644571,1.0,38.2,0.19832979191821562,0.03708108213681314,1.0,8.200000000000003,0.004037318565921932,0.06451371141305495
OpenBMB/MiniCPM4-0.5B,minicpm,0.8769739693043135,1.181828280664715,0.2,20.0,0.20617689932409994,0.04648455136449139,0.8769739693043135,1.2232627410997279,1.0,21.8,0.19877508793274873,0.05308173688799715,0.8,1.8000000000000007,0.3048543113604014,0.3462887717954144
Qwen/Qwen1.5-1.8B,qwen,-1.920407693680059,-3.278517068080766,0.0,35.8,0.23290466613994526,0.04602423893692292,-1.920407693680059,-3.2047953649579894,0.2,49.0,0.20523421099153313,0.04305067400282953,0.2,13.200000000000003,1.358109374400707,1.2843876712779305
Qwen/Qwen1.5-1.8B-Chat,qwen,1.2855197261707512,1.8689116477157353,0.0,19.2,0.20801832304905296,0.07381093350156143,1.2855197261707512,1.8864385651681244,1.0,21.8,0.19761152700332316,0.07613586614696868,1.0,2.6000000000000014,0.5833919215449841,0.6009188389973732
Qwen/Qwen2-0.5B,qwen,-0.899904309574827,-1.4391327379625216,0.0,24.6,0.20677134215119866,0.06258496396916258,-0.899904309574827,-1.458708970198693,1.0,27.0,0.19645447664495305,0.06488991362940515,1.0,2.3999999999999986,0.5392284283876946,0.558804660623866
Qwen/Qwen2.5-0.5B-Instruct,qwen,0.9925394108264161,1.339894472806184,0.2,17.4,0.20114807972362025,0.08967075019120001,0.9925394108264161,1.3638839118041381,1.0,18.2,0.19731033385888458,0.0934221340753569,0.8,0.8000000000000007,0.34735506197976784,0.3713445009777221
ai-forever/mGPT,mgpt,-5.2665439524899345,-5.995490010533996,0.0,49.0,0.3562981768462189,0.0031905160326284347,-5.2665439524899345,-5.955164853768942,0.0,50.0,0.3534256162952495,0.0033738347456569507,0.0,1.0,0.7289460580440617,0.6886209012790072
allenai/OLMo-1B-hf,olmo,-4.815510767854862,-5.410721182027506,0.0,50.0,0.3215766270422371,0.00595647560218915,-4.815510767854862,-5.410721182027506,0.0,50.0,0.3215766270422371,0.00595647560218915,0.0,0.0,0.5952104141726435,0.5952104141726435
allenai/OLMo-2-0425-1B,olmo,-2.2988741072219634,-3.013799502551008,0.0,30.6,0.2393982766604949,0.034188464348385954,-2.2988741072219634,-2.775109520752035,1.0,44.0,0.19586300175639076,0.022206407622118247,1.0,13.399999999999999,0.7149253953290446,0.4762354135300715
allenai/OLMo-2-0425-1B-DPO,olmo,1.9075893642829662,2.193467275534064,0.0,23.4,0.2091400838030472,0.08462130926142593,1.9075893642829662,2.143529876242181,1.0,26.2,0.19554725716267743,0.07881386148171263,1.0,2.8000000000000007,0.28587791125109785,0.23594051195921484
