repeat,outer_fold,model,scenario_order_exact,scenario_count_exact,criterion_count_exact,stop_reason_exact,precision_flag_exact,mwle_theta_close,reference_theta_close,all_exact
0,0,01-ai/Yi-1.5-6B,True,True,True,True,True,True,True,True
0,0,01-ai/Yi-1.5-6B-Chat,True,True,True,True,True,True,True,True
0,0,01-ai/Yi-6B,True,True,True,True,True,True,True,True
0,0,01-ai/Yi-6B-200K,True,True,True,True,True,True,True,True
0,0,01-ai/Yi-6B-Chat,True,True,True,True,True,True,True,True
0,0,BSC-LT/salamandra-2b,True,True,True,True,True,True,True,True
0,0,BSC-LT/salamandra-2b-instruct,True,True,True,True,True,True,True,True
0,0,BSC-LT/salamandra-7b,True,True,True,True,True,True,True,True
0,0,BSC-LT/salamandra-7b-instruct,True,True,True,True,True,True,True,True
0,0,arcee-ai/raspberry-3B,True,True,True,True,True,True,True,True
0,0,ibm/PowerLM-3b,True,True,True,True,True,True,True,True
0,1,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,True,True,True,True,True,True,True,True
0,1,OpenBMB/MiniCPM4-0.5B,True,True,True,True,True,True,True,True
0,1,allenai/OLMo-1B-hf,True,True,True,True,True,True,True,True
0,1,allenai/OLMo-2-0425-1B,True,True,True,True,True,True,True,True
0,1,allenai/OLMo-2-0425-1B-DPO,True,True,True,True,True,True,True,True
0,1,allenai/OLMo-2-0425-1B-Instruct,True,True,True,True,True,True,True,True
0,1,nvidia/AceInstruct-1.5B,True,True,True,True,True,True,True,True
0,1,openbmb/MiniCPM-1B-sft-bf16,True,True,True,True,True,True,True,True
0,1,openbmb/MiniCPM-2B-sft-bf16,True,True,True,True,True,True,True,True
0,1,openlm-research/open_llama_3b,True,True,True,True,True,True,True,True
0,2,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,True,True,True,True,True,True,True,True
0,2,BEE-spoke-data/smol_llama-220M-openhermes,True,True,True,True,True,True,True,True
0,2,HuggingFaceTB/SmolLM2-360M,True,True,True,True,True,True,True,True
0,2,ibm-granite/granite-3.0-2b-base,True,True,True,True,True,True,True,True
0,2,ibm-granite/granite-3.1-2b-base,True,True,True,True,True,True,True,True
0,2,ibm-granite/granite-3.1-2b-instruct,True,True,True,True,True,True,True,True
0,2,ibm-granite/granite-7b-instruct,True,True,True,True,True,True,True,True
0,2,meta-llama/Llama-3.2-1B,True,True,True,True,True,True,True,True
0,2,meta-llama/Llama-3.2-1B-Instruct,True,True,True,True,True,True,True,True
