regime,model,theta,SE_posterior,SE_total,n_admin_criteria
deployed_cat_8_0.12,01-ai/Yi-1.5-6B,0.041841510935986814,0.11393384617776373,0.135086035842813,32
deployed_cat_8_0.12,01-ai/Yi-1.5-6B-Chat,2.664585285978915,0.11706382134929047,0.14367179423229542,107
deployed_cat_8_0.12,01-ai/Yi-6B,-1.102124170075252,0.10324707746142602,0.12245309250325316,41
deployed_cat_8_0.12,01-ai/Yi-6B-200K,-2.3256662259828724,0.12005933869078811,0.1307419099197316,161
deployed_cat_8_0.12,01-ai/Yi-6B-Chat,1.2775779182360036,0.1188013951186928,0.12651018130394823,72
deployed_cat_8_0.12,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-4.376214209817734,0.35665656968251924,0.39773640978354896,146
deployed_cat_8_0.12,BEE-spoke-data/smol_llama-220M-openhermes,-2.609705993713,0.1357885110807268,0.1494249848283187,151
deployed_cat_8_0.12,BSC-LT/salamandra-2b,-1.1892020168841029,0.11665358996186397,0.14031784045128917,31
deployed_cat_8_0.12,BSC-LT/salamandra-2b-instruct,-0.01639775931286422,0.10602120930192903,0.12184524773272212,32
deployed_cat_8_0.12,BSC-LT/salamandra-7b,-0.3862935251552273,0.1172957836195208,0.14711337124420368,33
deployed_cat_8_0.12,BSC-LT/salamandra-7b-instruct,0.7020664443402731,0.11737824995369038,0.12634741900394936,69
deployed_cat_8_0.12,HuggingFaceTB/SmolLM2-360M,-2.3165798063133582,0.12455162373273118,0.1390422606895783,158
deployed_cat_8_0.12,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.338045422553245,0.11934422669337674,0.13788098199256865,70
deployed_cat_8_0.12,OpenBMB/MiniCPM4-0.5B,-0.10131676322943761,0.11114242082788452,0.13130840567938387,35
deployed_cat_8_0.12,Qwen/Qwen1.5-1.8B,-1.834569006571618,0.11663331401357946,0.1408543994841181,107
deployed_cat_8_0.12,Qwen/Qwen1.5-1.8B-Chat,0.15297124631233266,0.1182490395043472,0.14108730087057222,35
deployed_cat_8_0.12,Qwen/Qwen2-0.5B,-0.5536574153598559,0.11465648285839615,0.12707878923989274,44
deployed_cat_8_0.12,Qwen/Qwen2.5-0.5B-Instruct,-0.029122550022880306,0.10924601331918674,0.12711856692670687,33
deployed_cat_8_0.12,ai-forever/mGPT,-4.116838056982447,0.32571910001347815,0.3692426274942592,156
deployed_cat_8_0.12,allenai/OLMo-1B-hf,-4.666929856354385,0.41041644146693396,0.4411693268134404,149
deployed_cat_8_0.12,allenai/OLMo-2-0425-1B,-0.9880673220594055,0.10199477782968282,0.1180192169867449,42
deployed_cat_8_0.12,allenai/OLMo-2-0425-1B-DPO,1.1171684057739566,0.11840201311208665,0.13183478797657427,68
deployed_cat_8_0.12,allenai/OLMo-2-0425-1B-Instruct,1.0257199086699769,0.11823896770734844,0.13407511807010886,63
deployed_cat_8_0.12,arcee-ai/raspberry-3B,1.0264475979469168,0.11878829369909026,0.13381125021056267,60
deployed_cat_8_0.12,google/gemma-2-2b,-1.6103774205149561,0.11852888436124037,0.13620927064639843,78
deployed_cat_8_0.12,google/gemma-2b,-1.3810293485846472,0.11543434585699705,0.13765084142610184,61
deployed_cat_8_0.12,h2oai/h2o-danube-1.8b-chat,0.40891738099312236,0.11958726613359479,0.13747056179261033,59
deployed_cat_8_0.12,h2oai/h2o-danube2-1.8b-base,-0.9482809163334504,0.10122958577548179,0.11721097304162478,43
deployed_cat_8_0.12,h2oai/h2o-danube2-1.8b-chat,-0.0819553053525944,0.11120942616222497,0.13622984092106072,37
deployed_cat_8_0.12,ibm-granite/granite-3.0-2b-base,0.6605176209380972,0.11988654748069952,0.12844324925564116,68
deployed_cat_8_0.12,ibm-granite/granite-3.1-2b-base,0.5341329821243372,0.11728450776593202,0.1261122386730904,72
deployed_cat_8_0.12,ibm-granite/granite-3.1-2b-instruct,2.4391538851806516,0.11740793558964066,0.13788768155004022,96
deployed_cat_8_0.12,ibm-granite/granite-7b-instruct,1.2983936455438854,0.11901820610715011,0.1325359690931994,72
deployed_cat_8_0.12,ibm/PowerLM-3b,0.24802836289672764,0.1099313093037545,0.12281933805808232,54
deployed_cat_8_0.12,meta-llama/Llama-3.2-1B,-1.8599556250926204,0.11752940896246433,0.12776992056407577,116
deployed_cat_8_0.12,meta-llama/Llama-3.2-1B-Instruct,0.8662146327439576,0.11876122830877706,0.13281373432897553,69
deployed_cat_8_0.12,meta-llama/Llama-3.2-3B-Instruct,2.2835357066062794,0.1158680982180201,0.13977397809585784,104
deployed_cat_8_0.12,microsoft/phi-1_5,-1.1256570202202159,0.11349472435254336,0.12829737546319125,34
deployed_cat_8_0.12,nvidia/AceInstruct-1.5B,1.7659638340573502,0.11888440907294957,0.1403037543806772,122
deployed_cat_8_0.12,openbmb/MiniCPM-1B-sft-bf16,-1.572996043494462,0.11588545155401232,0.12522773634219472,76
deployed_cat_8_0.12,openbmb/MiniCPM-2B-sft-bf16,-0.20054279746070203,0.1058259620482901,0.125757140504198,34
deployed_cat_8_0.12,openlm-research/open_llama_3b,-2.332581935585563,0.11873987633060645,0.12988136583880022,158
deployed_cat_8_0.12,pankajmathur/orca_mini_3b,-0.26051544080072514,0.11365912250273358,0.1311619502693669,36
deployed_cat_8_0.12,pankajmathur/orca_mini_v9_5_3B-Instruct,1.5145553131224756,0.11458653816774259,0.12728930491263876,109
