model,fold,criteria_administered,scenarios_administered,theta_ref_correctness,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,theta_ref_scaffolding,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding
01-ai/Yi-1.5-6B,2,82,19,0.999966880712416,0.949032,0.7256769611849363,0.78503937176413,-0.8035845921263068,-0.334532,-0.5778987610997931,-0.5877252255318246
01-ai/Yi-1.5-6B-Chat,4,73,12,1.7238080875643744,2.075036,1.6169940118345474,1.709342020368368,-0.7107789110907143,-0.315435,-1.8871002323349417,-2.6679089829059204
01-ai/Yi-6B,4,82,21,-0.5876648567533252,-0.062797,-0.12470887119394136,-0.06780405784477166,0.029836676863946726,-0.165092,-0.19157979017705365,-0.20652259442899207
01-ai/Yi-6B-200K,1,91,20,-1.4942820080531556,-2.125071,-2.5693028261824127,-3.0077059341281824,1.0075117354949223,0.717244,0.7674950707223175,0.8240273369975735
01-ai/Yi-6B-Chat,1,110,27,-0.1828362269392101,-0.848492,-0.9145825575602967,-0.9490153604305694,-0.6291952310224297,-0.231648,-0.3016391698194664,-0.30910604936647035
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,2,117,22,-3.624099785214205,-2.596111,-3.2613197325409824,-4.327580015409573,2.832684394097978,2.144432,2.402582041256414,2.686344598774755
BEE-spoke-data/smol_llama-220M-openhermes,2,76,14,-3.5860194664469116,-1.526584,-1.8234095998003341,-2.026787681180883,1.0639839487145664,1.511634,1.498665183946273,1.6650445814578012
BSC-LT/salamandra-2b,0,68,13,-2.648305178632908,-1.756965,-2.3579521437021227,-2.9593390241399917,1.1393961116585638,1.358326,1.3213463833126091,1.3546662484665963
BSC-LT/salamandra-2b-instruct,2,79,14,-1.847796482227887,-1.451622,-1.7252965921403183,-1.851640639119464,0.31178710989352787,0.208979,0.17655490645234057,0.27124830596692534
BSC-LT/salamandra-7b,4,101,25,-0.6009315660697151,-1.012509,-1.1921082184619403,-1.2424699662823917,0.7121549656304704,0.12551,0.1309148941606728,0.11910264058858394
BSC-LT/salamandra-7b-instruct,1,82,20,-0.410574670658902,-0.82212,-0.9247558868648802,-0.9612571368285826,-0.05739500301597474,-0.479695,-0.504845312952076,-0.5219552141314805
EleutherAI/pythia-1.4b,3,99,19,-1.7407350707536722,-1.595164,-2.1804899449483552,-2.6225619428934257,0.8986497776798118,0.963091,0.9617887043393297,1.0539012169395785
EleutherAI/pythia-160m,0,66,15,-5.127409067914171,-1.729899,-2.524690245678813,-3.568433096801652,1.6530309529084315,1.312879,1.3272042058280242,1.3301235155324085
