bank,N,r,mae,n_eval_models
1PL,8,0.5834,0.1019,12
1PL,9,0.531,0.0981,12
1PL,10,0.4672,0.0948,12
1PL,11,0.5262,0.0942,12
1PL,12,0.4203,0.0969,12
1PL,13,0.4865,0.0996,12
1PL,14,0.4279,0.0973,12
1PL,15,0.4117,0.1018,12
1PL,16,0.4464,0.1007,12
1PL,17,0.4348,0.1,12
1PL,18,0.4597,0.104,12
1PL,19,0.5372,0.102,12
1PL,20,0.4913,0.102,12
1PL,21,0.5311,0.1005,12
1PL,22,0.5838,0.1003,12
1PL,23,0.5561,0.1005,12
1PL,24,0.5819,0.0988,12
1PL,25,0.6293,0.0973,12
1PL,26,0.6335,0.0973,12
1PL,27,0.6497,0.0973,12
1PL,28,0.6303,0.1001,12
1PL,29,0.6114,0.0973,12
1PL,30,0.6242,0.0997,12
1PL,31,0.6557,0.0997,12
1PL,32,0.6782,0.0986,12
1PL,33,0.6988,0.0974,12
1PL,34,0.7597,0.0975,12
1PL,35,0.7256,0.0989,12
1PL,36,0.7023,0.1003,12
1PL,37,0.7316,0.1006,12
1PL,38,0.7307,0.0975,12
1PL,39,0.7257,0.0934,12
1PL,40,0.7095,0.0916,12
1PL,41,0.7248,0.091,12
1PL,42,0.7068,0.0917,12
1PL,43,0.7361,0.0916,12
1PL,44,0.7376,0.0912,12
1PL,45,0.6982,0.0912,12
1PL,46,0.7169,0.0913,12
1PL,47,0.7235,0.0902,12
1PL,48,0.7445,0.0876,12
1PL,49,0.7209,0.0888,12
1PL,50,0.7169,0.0853,12
1PL,51,0.7358,0.0869,12
1PL,52,0.748,0.0882,12
1PL,53,0.7472,0.0882,12
1PL,54,0.7465,0.0881,12
1PL,55,0.7342,0.0883,12
1PL,56,0.7348,0.088,12
1PL,57,0.7222,0.088,12
1PL,58,0.7498,0.0867,12
1PL,59,0.7651,0.0857,12
1PL,60,0.7939,0.0862,12
1PL,61,0.7978,0.083,12
1PL,62,0.7962,0.0842,12
1PL,63,0.8121,0.0836,12
1PL,64,0.8129,0.0833,12
1PL,65,0.8172,0.0838,12
1PL,66,0.8318,0.0839,12
1PL,67,0.8362,0.0845,12
1PL,68,0.8338,0.0848,12
1PL,69,0.8485,0.0845,12
1PL,70,0.8513,0.0839,12
1PL,71,0.863,0.084,12
1PL,72,0.8626,0.0845,12
1PL,73,0.8726,0.0857,12
1PL,74,0.875,0.0857,12
1PL,75,0.8758,0.0863,12
1PL,76,0.8852,0.0871,12
1PL,77,0.8784,0.0881,12
1PL,78,0.8856,0.0884,12
1PL,79,0.896,0.0891,12
1PL,80,0.8949,0.0896,12
1PL,81,0.9011,0.0879,12
1PL,82,0.9047,0.0888,12
1PL,83,0.9086,0.0891,12
1PL,84,0.9073,0.0903,12
1PL,85,0.9087,0.0897,12
1PL,86,0.9078,0.0898,12
1PL,87,0.9087,0.0907,12
1PL,88,0.899,0.0902,12
1PL,89,0.8887,0.0901,12
1PL,90,0.8889,0.0895,12
1PL,91,0.888,0.0876,12
1PL,92,0.8761,0.0877,12
1PL,93,0.8628,0.0881,12
1PL,94,0.8671,0.0878,12
1PL,95,0.8596,0.0867,12
1PL,96,0.86,0.0865,12
1PL,97,0.8699,0.0869,12
1PL,98,0.8733,0.086,12
1PL,99,0.8732,0.0876,12
1PL,100,0.8845,0.0872,12
1PL,101,0.8875,0.087,12
1PL,102,0.8975,0.0881,12
1PL,103,0.8958,0.0881,12
1PL,104,0.891,0.0882,12
1PL,105,0.8962,0.0885,12
1PL,106,0.8943,0.0889,12
1PL,107,0.895,0.0889,12
