criterion_id,scenario_id,subject,primary_skill,criticality,non_atomic,irrelevant_misscoped,rigid_verbatim,identify_correct,reference_leak,absolute_failure,numeric_no_tolerance,prescribed_wording,reasons,char_len,criterion
tb_0001_c01,tb_0001,,content,not_critical,0,1,0,0,0,0,1,0,restatement_of_formula_or_answer|numeric_no_tolerance,93,"The response must provide the answer for the ionization constant. (e.g., Ka = 1.847 x 10 ^-5)"
tb_0001_c02,tb_0001,,content,not_critical,0,0,0,0,0,0,0,0,,121,"If the response re-derives the ionization from scratch, it must include the pH→[H⁺] conversion formula ([H⁺] = 10^(−pH))."
tb_0001_c03,tb_0001,,content,critical,0,0,0,0,0,0,0,0,,155,"The Response must explain the Le-Chatelier principle (e.g., the  equilibrium system shifts either to the left or to the right to reduce the change applied)"
tb_0001_c04,tb_0001,,diagnosis,critical,1,0,0,0,0,0,0,0,multi_requirement_verb,167,"The response must address why we need to calculate HA again even if it is already given (e.g., because ionization is calculated for equilibrium equation HA = H⁺ + A⁻)."
tb_0001_c05,tb_0001,,scaffolding,not_critical,1,0,0,0,0,0,0,0,multi_requirement_verb|conjoined_actions,246,"The response should present a step-by-step solution, beginning with the calculation of $[H^+]$, followed by $[A^-]$, then computing the $K_a$ value and percent ionization. It should conclude with an explanation grounded in equilibrium principles."
tb_0001_c06,tb_0001,,content,not_critical,0,1,0,0,0,0,1,0,restatement_of_formula_or_answer|numeric_no_tolerance,93,The response must provide the answer for the percentage ionization. (e.g. %ionization = 1.35)
tb_0001_c07,tb_0001,,content,not_critical,0,0,0,0,0,0,0,0,,144,"If the response re-derives the percent ionization, it must include the percent-ionization formula (e.g., % ionization = [H⁺]/[HA]ᵢₙᵢₜᵢₐₗ × 100)."
tb_0001_c08,tb_0001,,content,not_critical,0,0,0,0,0,0,0,0,,86,"If the response re-derives Ka, it must include the Ka expression (Ka = [H⁺][A⁻]/[HA])."
tb_0001_c09,tb_0001,,content,not_critical,0,1,0,0,0,0,1,0,restatement_of_formula_or_answer|numeric_no_tolerance,108,The response must provide the answer for the percentage ionization after dilution. (e.g. %ionization = 1.9%)
tb_0001_c10,tb_0001,,diagnosis,critical,0,0,0,0,0,0,0,0,,102,The model should acknowledge the student's confusion regarding the re-calculation of HA concentration.
tb_0002_c01,tb_0002,,,not_critical,0,0,0,0,0,0,0,0,,104,The response should begin with a complement/acknowledgement to the student for their follow-up question.
tb_0002_c02,tb_0002,,content,critical,0,0,1,0,0,0,0,0,demands_specific_wording,160,"The response must state that electronegativity is a property of individual atoms, not of compounds. Electronegativity is always defined with respect to an atom."
tb_0002_c03,tb_0002,,content,critical,1,0,1,0,0,0,0,0,conjoined_actions|demands_specific_wording,88,The response must state that F is the most electronegative element followed by Cl and I.
tb_0002_c04,tb_0002,,content,not_critical,0,0,0,0,0,0,0,0,,205,"The response must explain that in addition to electronegativity, bond strength and the stability of the conjugate base are also important and dominant factors in determining the acidic strength of an acid."
tb_0002_c05,tb_0002,,diagnosis,critical,0,0,0,0,0,0,0,0,,102,The response must explain that HCl does not have more atoms. HCl has two atoms just like HF and HI.  .
tb_0002_c06,tb_0002,,content,critical,0,0,0,0,0,0,0,0,,124,"The response must explain that electronegativity is how strongly an atom attracts electrons, not how many atoms it attracts."
tb_0002_c07,tb_0002,,content,not_critical,0,1,0,0,0,0,0,0,restatement_of_formula_or_answer,85,The response must give the correct answer as the order of acid strength is HF<HCl<HI.
tb_0002_c08,tb_0002,,diagnosis,critical,0,0,1,0,0,0,0,0,demands_specific_wording,123,The response must answer the student's question and state that the order proposed by the student as HCl>HF>HI is incorrect.
tb_0002_c09,tb_0002,,,critical,0,0,0,0,0,0,0,0,,89,The response must acknowledge the student's feelings of being overwhelmed with confusion.
tb_0002_c10,tb_0002,,content,not_critical,0,0,0,0,0,0,0,0,,202,"The response must explain that acids that dissociate more easily/have an easier bond to break are stronger acids, and acids that do not dissociate easily/ have a harder bond to break are weaker acids."
