benchmark,n_train,se_target,mean_items,median_items,pct_items,corr,mae,n_bank_items,n_test,calib_s
ifeval,100,0.3,22.94,8.0,4.65,0.9081,0.0538,493,110,3.8
ifeval,100,0.2,39.16,10.0,7.94,0.9126,0.0523,493,110,3.8
ifeval,200,0.3,24.47,8.0,4.86,0.9393,0.045,504,110,4.0
ifeval,200,0.2,53.69,12.0,10.65,0.9414,0.0431,504,110,4.0
ifeval,300,0.3,20.85,8.0,4.11,0.9028,0.0515,507,110,4.4
ifeval,300,0.2,50.45,13.0,9.95,0.9076,0.0488,507,110,4.4
ifeval,400,0.3,20.34,8.0,4.0,0.9195,0.0469,509,110,4.6
ifeval,400,0.2,56.72,14.5,11.14,0.9237,0.043,509,110,4.6
ifeval,500,0.3,19.63,8.0,3.91,0.9188,0.0472,502,110,4.1
ifeval,500,0.2,48.91,13.0,9.74,0.9206,0.0456,502,110,4.1
ifeval,600,0.3,20.02,8.0,3.96,0.9261,0.05,506,110,4.4
ifeval,600,0.2,49.65,13.5,9.81,0.9306,0.045,506,110,4.4
ifeval,700,0.3,23.91,8.0,4.7,0.9118,0.05,509,110,4.2
ifeval,700,0.2,51.65,14.0,10.15,0.9159,0.0454,509,110,4.2
ifeval,800,0.3,20.7,8.0,4.06,0.929,0.0458,510,110,4.2
ifeval,800,0.2,51.13,12.5,10.02,0.9353,0.0415,510,110,4.2
ifeval,900,0.3,20.76,8.0,4.06,0.9462,0.0434,511,110,4.4
ifeval,900,0.2,51.26,13.0,10.03,0.9521,0.0384,511,110,4.4
ifeval,992,0.3,20.22,8.0,3.96,0.9225,0.0489,511,110,4.3
ifeval,992,0.2,51.92,14.5,10.16,0.9279,0.0438,511,110,4.3
