benchmark,n_train,se_target,mean_items,median_items,pct_items,corr,mae,n_bank_items,n_test,calib_s
math,100,0.3,131.99,8.0,15.07,0.8893,0.0307,876,90,15.1
math,100,0.2,187.76,8.5,21.43,0.8913,0.0293,876,90,15.1
math,200,0.3,152.09,8.0,15.42,0.9157,0.0224,986,90,19.7
math,200,0.2,211.02,8.5,21.4,0.9203,0.0214,986,90,19.7
math,300,0.3,155.49,8.0,15.18,0.8676,0.0254,1024,90,20.9
math,300,0.2,218.92,10.0,21.38,0.8643,0.0247,1024,90,20.9
math,400,0.3,156.94,8.0,14.81,0.9205,0.0218,1060,90,27.2
math,400,0.2,239.86,10.0,22.63,0.9273,0.0196,1060,90,27.2
math,500,0.3,169.1,8.0,15.64,0.8605,0.0234,1081,90,23.3
math,500,0.2,235.11,11.0,21.75,0.8671,0.0223,1081,90,23.3
math,600,0.3,170.46,8.0,15.7,0.9252,0.0197,1086,90,23.9
math,600,0.2,245.0,13.5,22.56,0.9278,0.0188,1086,90,23.9
math,700,0.3,173.52,8.0,15.95,0.9071,0.0212,1088,90,24.6
math,700,0.2,255.12,14.0,23.45,0.9127,0.0195,1088,90,24.6
math,800,0.3,178.62,8.0,16.48,0.8747,0.0255,1084,90,24.1
math,800,0.2,245.29,14.0,22.63,0.8905,0.0231,1084,90,24.1
math,811,0.3,179.34,8.0,16.5,0.8802,0.0252,1087,90,24.5
math,811,0.2,245.87,13.5,22.62,0.8947,0.023,1087,90,24.5
