model,pirt,actual,items,fold
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.30461183534469255,0.3333333333333333,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.30461183534469255,0.35751295336787564,8,0
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.15131759142558612,0.229706390328152,16,0
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,0.2591297857569923,0.26252158894645944,8,0
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.5851516994203084,0.34024179620034545,8,0
jaspionjader/test-11,0.15884176289984653,0.31088082901554404,16,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.30461183534469255,0.3454231433506045,8,0
Sakalti/Sailor-japanese,0.1841905684366898,0.26424870466321243,8,0
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.3351916200708195,0.39378238341968913,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.30461183534469255,0.3281519861830743,8,0
Daemontatox/Zirel_1.5,0.13451067081154378,0.23661485319516407,42,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.30461183534469255,0.34024179620034545,8,0
zelk12/Test01012025155054,0.24894384833331218,0.24179620034542315,8,0
godlikehhd/alpaca_data_ifd_min_2600,0.24528510205881163,0.32469775474956825,8,0
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.3351916200708195,0.38169257340241797,8,0
J-LAB/Thynk_orpo,0.21874138729010195,0.29533678756476683,8,0
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.2764358934221862,0.35060449050086356,8,0
iFaz/llama31_8B_en_emo_v4,0.30461183534469255,0.3903281519861831,8,0
bamec66557/VICIOUS_MESH-12B,0.1841905684366898,0.3229706390328152,8,0
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.18113064336738244,0.2918825561312608,9,0
DeepMount00/Lexora-Lite-3B,0.2591297857569923,0.24006908462867013,8,0
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,0.3077157581983511,0.34196891191709844,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.30461183534469255,0.33678756476683935,8,0
JayHyeon/Qwen-0.5B-DPO-5epoch,0.19454286897870343,0.25215889464594127,10,0
BlackBeenie/Neos-Llama-3.1-base,0.1248835272367512,0.19516407599309155,68,0
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,0.18707203365694433,0.30397236614853196,8,0
pankajmathur/orca_mini_v9_6_3B-Instruct,0.20469675688604966,0.2987910189982729,8,0
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.3351916200708195,0.37823834196891193,8,0
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,0.28360262107638945,0.3229706390328152,8,0
nvidia/Hymba-1.5B-Base,0.31067045455694475,0.30397236614853196,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.30461183534469255,0.33678756476683935,8,0
NotASI/FineTome-v1.5-Llama3.2-1B-1007,0.15327113375912638,0.24870466321243523,17,0
hotmailuser/QwenSlerp2-3B,0.19297738267328424,0.27806563039723664,9,0
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,0.3351916200708195,0.35233160621761656,8,0
Sakalti/Saka-1.5B,0.2446339732294342,0.32642487046632124,8,0
LEESM/llama-2-7b-hf-lora-oki10p,0.18061624857556507,0.25734024179620035,11,0
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.2591297857569923,0.22797927461139897,8,0
microsoft/Phi-4-mini-instruct,0.3351916200708195,0.3609671848013817,8,0
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,0.1718764409365939,0.23834196891191708,10,0
dwikitheduck/gemma-2-2b-id-inst,0.16444130533424497,0.31088082901554404,14,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.30461183534469255,0.32469775474956825,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.30461183534469255,0.32469775474956825,8,0
mrdayl/OpenThink,0.15888388586377394,0.2694300518134715,13,0
