model,pirt,actual,items,fold
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.20011257615508637,0.2193939393939394,23,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.20011257615508637,0.1684848484848485,23,0
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.256263998304841,0.30787878787878786,38,0
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,0.33670937638200366,0.15757575757575756,8,0
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.5755001661746536,0.24242424242424243,8,0
jaspionjader/test-11,0.6297565728927853,0.3624242424242424,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.20011257615508637,0.2,23,0
Sakalti/Sailor-japanese,0.323946307462565,0.24848484848484848,8,0
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.20128229308722137,0.03878787878787879,29,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.20180899123390358,0.23393939393939395,27,0
Daemontatox/Zirel_1.5,0.6543424053045216,0.33454545454545453,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.3442293711993807,0.23636363636363636,8,0
zelk12/Test01012025155054,0.30682867574196837,0.1987878787878788,8,0
godlikehhd/alpaca_data_ifd_min_2600,0.598849449079275,0.25212121212121213,8,0
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.20011257615508637,0.06181818181818182,23,0
J-LAB/Thynk_orpo,0.5045119467605207,0.27515151515151515,9,0
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.20011257615508637,0.1696969696969697,23,0
iFaz/llama31_8B_en_emo_v4,0.20090625277621005,0.13575757575757577,26,0
bamec66557/VICIOUS_MESH-12B,0.6309571477100357,0.36484848484848487,8,0
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.20263098783008132,0.2787878787878788,32,0
DeepMount00/Lexora-Lite-3B,0.3204891639454867,0.24484848484848484,8,0
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,0.20210980117814864,0.07636363636363637,27,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.3442293711993807,0.2412121212121212,8,0
JayHyeon/Qwen-0.5B-DPO-5epoch,0.2135236628943051,0.2593939393939394,43,0
BlackBeenie/Neos-Llama-3.1-base,0.23530460027515454,0.3054545454545455,46,0
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,0.3219832573037257,0.2703030303030303,8,0
pankajmathur/orca_mini_v9_6_3B-Instruct,0.588307267718527,0.2921212121212121,8,0
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.20011257615508637,0.01818181818181818,23,0
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,0.20011257615508637,0.18787878787878787,23,0
nvidia/Hymba-1.5B-Base,0.20219856905529815,0.13696969696969696,31,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.20073829977757346,0.21575757575757576,26,0
NotASI/FineTome-v1.5-Llama3.2-1B-1007,0.3225071599523419,0.26666666666666666,9,0
hotmailuser/QwenSlerp2-3B,0.5868688479553322,0.33454545454545453,8,0
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,0.20151445125574166,0.06909090909090909,33,0
Sakalti/Saka-1.5B,0.2039345011312859,0.19757575757575757,31,0
LEESM/llama-2-7b-hf-lora-oki10p,0.6267889530307346,0.24363636363636362,8,0
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.3714208014362153,0.11636363636363636,8,0
microsoft/Phi-4-mini-instruct,0.2039085694400819,0.21696969696969698,31,0
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,0.20844309737811403,0.30787878787878786,39,0
dwikitheduck/gemma-2-2b-id-inst,0.5726783953008144,0.28484848484848485,9,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.3442293711993807,0.24727272727272728,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.4317683565291715,0.23515151515151514,8,0
mrdayl/OpenThink,0.4884472282956898,0.3212121212121212,8,0
Sakalti/tara-3.8B,0.595240511281229,0.35878787878787877,10,0
shastraai/Shastra-LLAMA2-Math-Commonsense-SFT,0.6172825709564285,0.26666666666666666,8,0
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,0.21877713590163383,0.29818181818181816,45,0
macadeliccc/magistrate-3.2-3b-base,0.3048219779842592,0.25333333333333335,8,0
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,0.23573359523394097,0.3321212121212121,47,0
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.20011257615508637,0.2957575757575758,23,0
godlikehhd/alpaca_data_score_max_0.3_2600,0.598849449079275,0.28606060606060607,8,0
zake7749/gemma-2-2b-it-chinese-kyara-dpo,0.2514346130182956,0.2884848484848485,37,0
SultanR/SmolTulu-1.7b-Reinforced,0.5825088667660495,0.31757575757575757,8,0
openbmb/MiniCPM-S-1B-sft-llama-format,0.2012654366796822,0.11393939393939394,26,0
allenai/OLMo-7B-Instruct-hf,0.46197159712142055,0.296969696969697,8,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0.3219623268599097,0.17696969696969697,11,0
arcee-ai/raspberry-3B,0.5899556923257813,0.24727272727272728,8,0
cjvt/GaMS-1B,0.20011257615508637,0.01696969696969697,23,0
qingy2019/LLaMa_3.2_3B_Catalysts,0.2848381744578814,0.32727272727272727,22,0
awnr/Mistral-7B-v0.1-signtensors-1-over-4,0.3146654320871323,0.30666666666666664,12,0
