model,regime,n_admin_criteria,theta,SE_posterior,SE_post_ci_lo,SE_post_ci_hi,SE_param,SE_total,SE_total_ci_lo,SE_total_ci_hi
01-ai/Yi-1.5-6B,full_bank,8345,-0.3770184116256566,0.00803,0.00635,0.0097,0.01721,0.01899,0.01413,0.02385
01-ai/Yi-1.5-6B-Chat,full_bank,8345,2.0955135343204754,0.00118,0.00061,0.00174,0.00175,0.00211,0.0006,0.00362
01-ai/Yi-6B,full_bank,8345,-1.339212544141711,0.02758,0.02559,0.02958,0.04187,0.05014,0.047,0.05328
01-ai/Yi-6B-200K,full_bank,8345,-2.1667106211211324,0.03715,0.03589,0.0384,0.06061,0.07109,0.06594,0.07624
01-ai/Yi-6B-Chat,full_bank,8344,0.8474371662549505,0.02487,0.02273,0.02702,0.04043,0.04747,0.04697,0.04796
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,full_bank,8345,-5.322923288621569,0.04973,0.04927,0.0502,0.09788,0.10979,0.10077,0.1188
BEE-spoke-data/smol_llama-220M-openhermes,full_bank,8345,-4.643318777198033,0.04948,0.04904,0.04992,0.08651,0.09966,0.09212,0.10719
BSC-LT/salamandra-2b,full_bank,8345,-2.1907692694210983,0.03685,0.03563,0.03807,0.05582,0.06688,0.06254,0.07123
BSC-LT/salamandra-2b-instruct,full_bank,8345,-0.8234981964506087,0.0256,0.02326,0.02794,0.03879,0.04648,0.04538,0.04757
BSC-LT/salamandra-7b,full_bank,8344,-1.2247051998194851,0.02875,0.02677,0.03072,0.03931,0.0487,0.04811,0.04929
BSC-LT/salamandra-7b-instruct,full_bank,8345,0.3433358880778636,0.02016,0.01784,0.02248,0.03631,0.04153,0.03892,0.04414
HuggingFaceTB/SmolLM2-360M,full_bank,8345,-2.840028764630483,0.04376,0.04304,0.04449,0.07388,0.08587,0.07987,0.09187
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,full_bank,8345,2.699102908228435,6e-05,0.0,0.00015,7e-05,9e-05,0.0,0.00022
OpenBMB/MiniCPM4-0.5B,full_bank,8345,-0.3475602547860545,0.02094,0.01866,0.02322,0.03569,0.04138,0.03875,0.044
Qwen/Qwen1.5-1.8B,full_bank,8345,-2.31901997633977,0.03968,0.03851,0.04085,0.06294,0.0744,0.0694,0.0794
Qwen/Qwen1.5-1.8B-Chat,full_bank,8343,0.2702534726036077,0.0056,0.00429,0.00691,0.01018,0.01162,0.00717,0.01608
Qwen/Qwen2-0.5B,full_bank,8345,-2.308928293133601,0.03923,0.03814,0.04031,0.0623,0.07362,0.06808,0.07916
Qwen/Qwen2.5-0.5B-Instruct,full_bank,8345,-0.1122656765899096,0.01198,0.01,0.01396,0.02322,0.02613,0.02159,0.03066
ai-forever/mGPT,full_bank,8345,-6.2223011432363045,0.05031,0.04988,0.05075,0.09478,0.10731,0.0993,0.11531
allenai/OLMo-1B-hf,full_bank,8345,-6.751778593273681,0.05054,0.0501,0.05099,0.09834,0.11057,0.10122,0.11992
allenai/OLMo-2-0425-1B,full_bank,8339,-2.4068937699077093,0.03986,0.03885,0.04088,0.06354,0.07501,0.06971,0.08031
allenai/OLMo-2-0425-1B-DPO,full_bank,8343,1.3935076799838957,0.0202,0.01797,0.02243,0.03562,0.04095,0.03818,0.04371
allenai/OLMo-2-0425-1B-Instruct,full_bank,8345,1.320488939492724,0.00969,0.00785,0.01153,0.01668,0.01929,0.01445,0.02413
arcee-ai/raspberry-3B,full_bank,8345,1.1711867245601306,0.02208,0.01981,0.02435,0.03835,0.04425,0.04218,0.04633
google/gemma-2-2b,full_bank,8345,-1.589168818710511,0.02934,0.0276,0.03108,0.04161,0.05092,0.04652,0.05532
google/gemma-2b,full_bank,8345,-2.190391050520444,0.03757,0.03638,0.03877,0.05505,0.06665,0.06248,0.07083
h2oai/h2o-danube-1.8b-chat,full_bank,8345,0.0527687145810085,0.00923,0.00744,0.01103,0.01544,0.01799,0.01349,0.02249
h2oai/h2o-danube2-1.8b-base,full_bank,8345,-1.2469577010932211,0.02708,0.02513,0.02903,0.03895,0.04744,0.04522,0.04966
h2oai/h2o-danube2-1.8b-chat,full_bank,8344,-0.253747600382373,0.00391,0.00283,0.00499,0.01179,0.01243,0.00693,0.01792
ibm-granite/granite-3.0-2b-base,full_bank,8345,0.3148750597046377,0.02122,0.01889,0.02356,0.03965,0.04498,0.04326,0.04669
ibm-granite/granite-3.1-2b-base,full_bank,8344,0.2790624903827156,0.00622,0.00473,0.00772,0.01436,0.01565,0.00993,0.02136
ibm-granite/granite-3.1-2b-instruct,full_bank,8345,2.399632503035693,0.00031,0.0,0.00066,0.00094,0.00099,0.0,0.00213
ibm-granite/granite-7b-instruct,full_bank,8345,0.2523250723166519,0.01381,0.01152,0.01609,0.02484,0.02842,0.02427,0.03258
ibm/PowerLM-3b,full_bank,8345,0.1000491379585188,0.01141,0.00924,0.01358,0.0236,0.02621,0.02172,0.03071
