model,theta,SE_posterior,SE_total,n_admin_criteria,weakly_identified,precision_reached
Qwen/Qwen2.5-0.5B-Instruct,-0.1122656765899096,0.06342,0.0738,92,False,True
BSC-LT/salamandra-7b-instruct,0.3433358880778636,0.06479,0.07604,83,False,True
OpenBMB/MiniCPM4-0.5B,-0.3475602547860545,0.0652,0.08105,85,False,True
ibm-granite/granite-3.0-2b-base,0.3148750597046377,0.06616,0.081,86,False,True
utter-project/EuroLLM-1.7B-Instruct,-0.1996095988293836,0.0678,0.08152,87,False,True
Qwen/Qwen1.5-1.8B-Chat,0.2702534726036077,0.06832,0.08554,86,False,True
ibm/PowerLM-3b,0.1000491379585188,0.06874,0.08094,84,False,True
ibm-granite/granite-3.1-2b-base,0.2790624903827156,0.06899,0.08305,81,False,True
openbmb/MiniCPM-2B-sft-bf16,-0.2673993258604797,0.06909,0.08516,86,False,True
tiiuae/Falcon3-3B-Base,0.2382914773004529,0.07059,0.08441,86,False,True
h2oai/h2o-danube-1.8b-chat,0.0527687145810085,0.07119,0.08281,83,False,True
allenai/OLMo-2-0425-1B-Instruct,1.320488939492724,0.07709,0.09608,77,False,True
arcee-ai/raspberry-3B,1.1711867245601306,0.07959,0.10016,80,False,True
pankajmathur/orca_mini_v9_5_3B-Instruct,1.408198313044954,0.08158,0.1028,80,False,True
meta-llama/Llama-3.2-1B-Instruct,0.8090713250543944,0.08276,0.09871,75,False,True
01-ai/Yi-1.5-6B-Chat,2.0955135343204754,0.08673,0.11832,61,False,True
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.699102908228435,0.0871,0.11737,50,False,True
nvidia/AceInstruct-1.5B,1.4727980500548203,0.08807,0.11088,65,False,True
stabilityai/stablelm-zephyr-3b,1.1038450541428355,0.08955,0.10783,73,False,True
h2oai/h2o-danube2-1.8b-chat,-0.253747600382373,0.09022,0.10699,78,False,True
ibm-granite/granite-7b-instruct,0.2523250723166519,0.09489,0.12143,82,False,True
01-ai/Yi-6B-Chat,0.8474371662549505,0.09821,0.11016,85,False,True
tiiuae/Falcon3-1B-Instruct,0.8694407830372572,0.10463,0.11993,72,False,True
allenai/OLMo-2-0425-1B-DPO,1.3935076799838957,0.10541,0.14513,74,False,True
stabilityai/stablelm-2-1_6b-chat,0.851326904146011,0.10613,0.12312,78,False,True
tiiuae/Falcon3-3B-Instruct,2.199625150167277,0.11043,0.14736,79,False,True
stabilityai/stablelm-2-zephyr-1_6b,0.4434159332027339,0.11195,0.12523,73,False,True
BSC-LT/salamandra-2b-instruct,-0.8234981964506087,0.11213,0.1201,81,False,True
pankajmathur/orca_mini_3b,-0.9062267355330296,0.11314,0.12495,82,False,True
microsoft/phi-1_5,-1.6975323520432024,0.11316,0.12298,133,False,True
meta-llama/Llama-3.2-1B,-2.485510113453514,0.1146,0.13271,163,False,True
01-ai/Yi-6B,-1.339212544141711,0.11857,0.14371,116,False,True
01-ai/Yi-1.5-6B,-0.3770184116256566,0.11936,0.15606,84,False,True
ibm-granite/granite-3.1-2b-instruct,2.399632503035693,0.11947,0.16341,60,False,True
Qwen/Qwen1.5-1.8B,-2.31901997633977,0.1209,0.14548,135,False,False
meta-llama/Llama-3.2-3B-Instruct,2.2931224821381613,0.12318,0.1517,81,False,False
openbmb/MiniCPM-1B-sft-bf16,-2.888631980504001,0.126,0.15088,108,False,False
BSC-LT/salamandra-2b,-2.1907692694210983,0.12801,0.14427,119,False,False
allenai/OLMo-2-0425-1B,-2.4068937699077093,0.13053,0.1704,125,False,False
google/gemma-2-2b,-1.589168818710511,0.13499,0.14857,127,False,False
Qwen/Qwen2-0.5B,-2.308928293133601,0.14373,0.15703,85,False,False
google/gemma-2b,-2.190391050520444,0.14617,0.18059,112,False,False
openlm-research/open_llama_3b,-2.8028841805451883,0.14646,0.18252,104,False,False
BSC-LT/salamandra-7b,-1.2247051998194851,0.14851,0.18843,87,False,False
h2oai/h2o-danube2-1.8b-base,-1.2469577010932211,0.16243,0.17863,87,False,False
01-ai/Yi-6B-200K,-2.1667106211211324,0.27482,0.32934,86,False,False
utter-project/EuroLLM-1.7B,-2.40246492657918,0.31257,0.36221,80,False,False
BEE-spoke-data/smol_llama-220M-openhermes,-4.643318777198033,0.35149,0.41443,82,True,False
allenai/OLMo-1B-hf,-6.751778593273681,0.39278,0.47163,78,True,False
HuggingFaceTB/SmolLM2-360M,-2.840028764630483,0.40059,0.48908,85,False,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-5.322923288621569,0.40245,0.50099,81,True,False
ai-forever/mGPT,-6.2223011432363045,0.4072,0.47155,83,True,False
