value,precision_rate,mean_scenarios,mwle_convergence_rate,mwle_recovery_r,mwle_recovery_slope,kind,selected
0,1.0,4.846153846153846,1.0,0.965625409010563,1.0164576433602208,min_scenarios,True
12,1.0,12.0,1.0,0.9662796039404065,1.1501803367669274,min_scenarios,False
15,1.0,15.0,1.0,0.9683157372595622,1.1048023573198997,min_scenarios,False
20,1.0,20.0,1.0,0.9673416909228963,1.0940852743226699,min_scenarios,False
0.2,1.0,7.673076923076923,1.0,0.9660026643317559,1.1532497456625723,se_target,False
0.25,1.0,5.288461538461538,1.0,0.9687837259792256,1.0487454191989187,se_target,True
0.3,1.0,4.846153846153846,1.0,0.965625409010563,1.0164576433602208,se_target,False
0.35,1.0,4.8076923076923075,1.0,0.9648153576202952,1.0178715188595344,se_target,False
trace,1.0,5.288461538461538,1.0,0.9687837259792256,1.0487454191989187,selection,True
dopt,1.0,6.230769230769231,1.0,0.9737117943102442,1.0489590008865028,selection,False
