group,run,estimator,skill,metric,estimate,ci_lower,ci_upper,n_models,bootstrap_B,bootstrap_seed
diagnostic_sweeps,floor_0,online,instruction_following,r,0.9478268798461004,0.9229295709532414,0.9687309557305605,52,2000,0
diagnostic_sweeps,floor_0,online,instruction_following,slope,0.6101827895436764,0.5599543208108471,0.6727136562295244,52,2000,0
diagnostic_sweeps,floor_0,online,instruction_following,mae,0.666234247366639,0.5231746781451191,0.813157014486629,52,2000,0
diagnostic_sweeps,floor_0,online,__macro__,r,0.9478268798461004,0.9229295709532414,0.9687309557305605,52,2000,0
diagnostic_sweeps,floor_0,online,__macro__,slope,0.6101827895436764,0.5599543208108471,0.6727136562295244,52,2000,0
diagnostic_sweeps,floor_0,online,__macro__,mae,0.666234247366639,0.5231746781451191,0.813157014486629,52,2000,0
diagnostic_sweeps,floor_0,eap,instruction_following,r,0.9660866829132067,0.9466403733617224,0.9825118070209778,52,2000,0
diagnostic_sweeps,floor_0,eap,instruction_following,slope,0.8851952221676166,0.8176313992009107,0.9590983219516405,52,2000,0
diagnostic_sweeps,floor_0,eap,instruction_following,mae,0.27440271065221783,0.16131640932157906,0.40571481525420405,52,2000,0
diagnostic_sweeps,floor_0,eap,__macro__,r,0.9660866829132067,0.9466403733617224,0.9825118070209778,52,2000,0
diagnostic_sweeps,floor_0,eap,__macro__,slope,0.8851952221676166,0.8176313992009107,0.9590983219516405,52,2000,0
diagnostic_sweeps,floor_0,eap,__macro__,mae,0.27440271065221783,0.16131640932157906,0.40571481525420405,52,2000,0
diagnostic_sweeps,floor_0,mwle,instruction_following,r,0.9656254090105632,0.9516348531419344,0.9786886242702789,52,2000,0
diagnostic_sweeps,floor_0,mwle,instruction_following,slope,1.016457643360221,0.9320779634958379,1.109108912823244,52,2000,0
diagnostic_sweeps,floor_0,mwle,instruction_following,mae,0.41704837311474535,0.3287778927881882,0.514096217838738,52,2000,0
diagnostic_sweeps,floor_0,mwle,__macro__,r,0.9656254090105632,0.9516348531419344,0.9786886242702789,52,2000,0
