study,estimator,skill,metric,estimate,ci_lower,ci_upper,n_models,bootstrap_B,bootstrap_seed
estimator_oos_kfold,mwle,instruction_following,r,0.9244019519131822,0.8761435972009771,0.9584244066292373,52,2000,0
estimator_oos_kfold,mwle,instruction_following,slope,0.84528046953426,0.7630718612554831,0.9360604283670083,52,2000,0
estimator_oos_kfold,mwle,instruction_following,mae,0.5619672136353769,0.4463081985227133,0.6872458247288193,52,2000,0
estimator_oos_kfold,mwle,__macro__,r,0.9244019519131822,0.8761435972009771,0.9584244066292373,52,2000,0
estimator_oos_kfold,mwle,__macro__,slope,0.84528046953426,0.7630718612554831,0.9360604283670083,52,2000,0
estimator_oos_kfold,mwle,__macro__,mae,0.5619672136353769,0.4463081985227133,0.6872458247288193,52,2000,0
estimator_oos_kfold,eap,instruction_following,r,0.9020231576911608,0.8340033484473327,0.9504428469602217,52,2000,0
estimator_oos_kfold,eap,instruction_following,slope,0.776668726126222,0.696765611299511,0.8685981486513805,52,2000,0
estimator_oos_kfold,eap,instruction_following,mae,0.49822155416136876,0.32890094215128224,0.6699376357481398,52,2000,0
estimator_oos_kfold,eap,__macro__,r,0.9020231576911608,0.8340033484473327,0.9504428469602217,52,2000,0
estimator_oos_kfold,eap,__macro__,slope,0.776668726126222,0.696765611299511,0.8685981486513805,52,2000,0
estimator_oos_kfold,eap,__macro__,mae,0.49822155416136876,0.32890094215128224,0.6699376357481398,52,2000,0
estimator_oos_kfold,online,instruction_following,r,0.9100755649338793,0.8539679465861547,0.9504216855240143,52,2000,0
estimator_oos_kfold,online,instruction_following,slope,0.5947434937147318,0.5393355167246293,0.6644106804547887,52,2000,0
estimator_oos_kfold,online,instruction_following,mae,0.7239179164302778,0.5723200557752067,0.8791653486435753,52,2000,0
estimator_oos_kfold,online,__macro__,r,0.9100755649338793,0.8539679465861547,0.9504216855240143,52,2000,0
estimator_oos_kfold,online,__macro__,slope,0.5947434937147318,0.5393355167246293,0.6644106804547887,52,2000,0
estimator_oos_kfold,online,__macro__,mae,0.7239179164302778,0.5723200557752067,0.8791653486435753,52,2000,0
estimator_oos_kfold,online,__pass_rate__,pass_rate_mae,0.09180898665455493,0.07534281819904051,0.1098713043666075,52,2000,0
estimator_oos_kfold,online,__pass_rate__,pass_rate_bias,0.003374006090560593,-0.02699691972684877,0.033409507137935085,52,2000,0
estimator_oos_kfold,online,__pass_rate__,pass_rate_r,0.9367709610271092,0.890086661129963,0.971389684979517,52,2000,0
estimator_oos_kfold,eap,__pass_rate__,pass_rate_mae,0.07702807181829027,0.05928242041406799,0.09772130080639653,52,2000,0
estimator_oos_kfold,eap,__pass_rate__,pass_rate_bias,-0.003205202888638415,-0.03192595779075007,0.024744793620175853,52,2000,0
estimator_oos_kfold,eap,__pass_rate__,pass_rate_r,0.9294451176141213,0.8738858439995602,0.9680260024568015,52,2000,0
estimator_oos_kfold,mwle,__pass_rate__,pass_rate_mae,0.06900606824532145,0.05298825543675369,0.08657528646720203,52,2000,0
estimator_oos_kfold,mwle,__pass_rate__,pass_rate_bias,-0.00064245628944575,-0.026995021474188082,0.024065932034735334,52,2000,0
estimator_oos_kfold,mwle,__pass_rate__,pass_rate_r,0.9443958060330598,0.9034098712397973,0.9745325394065755,52,2000,0
estimator_oos_kfold,full_eap,__pass_rate__,pass_rate_mae,0.043733175417508305,0.0361008646819066,0.05174206715811854,52,2000,0
estimator_oos_kfold,full_eap,__pass_rate__,pass_rate_bias,-0.0038152504398440206,-0.016986202390979168,0.00972043390475708,52,2000,0
estimator_oos_kfold,full_eap,__pass_rate__,pass_rate_r,0.9829040198947468,0.9742829545387717,0.9890754508247045,52,2000,0
