group,run,baseline,estimator,skill,metric,run_minus_baseline,ci_lower,ci_upper,n_models,bootstrap_B,bootstrap_seed
final_cat_vs_random,selected_configuration,random_baseline,online,instruction_following,r,-0.011977197284883112,-0.03813291982742541,0.01361923417961901,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,online,instruction_following,slope,-0.23027061377148217,-0.3201411670517949,-0.12735536959816185,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,online,instruction_following,mae,0.19090436520328252,0.03901910609573487,0.3446909114608733,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,online,__macro__,r,-0.011977197284883112,-0.03813291982742541,0.01361923417961901,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,online,__macro__,slope,-0.23027061377148217,-0.3201411670517949,-0.12735536959816185,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,online,__macro__,mae,0.19090436520328252,0.03901910609573487,0.3446909114608733,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,eap,instruction_following,r,0.0008608721385702234,-0.028104197245665524,0.03153006644808601,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,eap,instruction_following,slope,-0.004309004837496411,-0.09031698964574886,0.09156014403722934,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,eap,instruction_following,mae,0.03473642160224391,-0.13421703181139608,0.19614500280823868,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,eap,__macro__,r,0.0008608721385702234,-0.028104197245665524,0.03153006644808601,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,eap,__macro__,slope,-0.004309004837496411,-0.09031698964574886,0.09156014403722934,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,eap,__macro__,mae,0.03473642160224391,-0.13421703181139608,0.19614500280823868,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,mwle,instruction_following,r,0.04134916785575138,0.0032426120667582103,0.07906452238314034,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,mwle,instruction_following,slope,-0.013297792195313685,-0.1676555532616888,0.13668507419630524,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,mwle,instruction_following,mae,-0.15292051225381365,-0.3493997599411573,0.018663612694535328,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,mwle,__macro__,r,0.04134916785575138,0.0032426120667582103,0.07906452238314034,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,mwle,__macro__,slope,-0.013297792195313685,-0.1676555532616888,0.13668507419630524,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,mwle,__macro__,mae,-0.15292051225381365,-0.3493997599411573,0.018663612694535328,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,__run__,__all__,mean_scenarios_administered,-18.403846153846153,-21.46153846153846,-15.57644230769231,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,__run__,__all__,mean_criteria_administered,-79.15384615384615,-90.9235576923077,-68.1533653846154,52,2000,1
final_cat_vs_random,selected_configuration,random_baseline,__run__,__all__,precision_reached_rate,0.0,0.0,0.0,52,2000,1
