atlas_idx,question_id
1,algebra_hard|0
2,algebra_hard|1
3,algebra_hard|10
4,algebra_hard|100
5,algebra_hard|101
6,algebra_hard|102
7,algebra_hard|103
8,algebra_hard|104
9,algebra_hard|105
10,algebra_hard|106
11,algebra_hard|107
12,algebra_hard|108
13,algebra_hard|109
14,algebra_hard|11
15,algebra_hard|110
16,algebra_hard|111
17,algebra_hard|112
18,algebra_hard|113
19,algebra_hard|114
20,algebra_hard|115
21,algebra_hard|116
22,algebra_hard|117
23,algebra_hard|118
24,algebra_hard|119
25,algebra_hard|12
26,algebra_hard|120
27,algebra_hard|121
28,algebra_hard|122
29,algebra_hard|123
30,algebra_hard|124
31,algebra_hard|125
32,algebra_hard|126
33,algebra_hard|127
34,algebra_hard|128
35,algebra_hard|129
36,algebra_hard|13
37,algebra_hard|130
38,algebra_hard|131
39,algebra_hard|132
40,algebra_hard|133
41,algebra_hard|134
42,algebra_hard|135
43,algebra_hard|136
44,algebra_hard|137
45,algebra_hard|138
46,algebra_hard|139
47,algebra_hard|14
48,algebra_hard|140
49,algebra_hard|141
50,algebra_hard|142
51,algebra_hard|143
52,algebra_hard|144
53,algebra_hard|145
54,algebra_hard|146
55,algebra_hard|147
56,algebra_hard|148
57,algebra_hard|149
58,algebra_hard|15
59,algebra_hard|150
60,algebra_hard|152
61,algebra_hard|153
62,algebra_hard|154
63,algebra_hard|155
64,algebra_hard|156
65,algebra_hard|157
66,algebra_hard|158
67,algebra_hard|159
68,algebra_hard|16
69,algebra_hard|160
70,algebra_hard|161
71,algebra_hard|162
72,algebra_hard|163
73,algebra_hard|164
74,algebra_hard|165
75,algebra_hard|166
76,algebra_hard|167
77,algebra_hard|168
78,algebra_hard|169
79,algebra_hard|17
80,algebra_hard|170
81,algebra_hard|171
82,algebra_hard|172
83,algebra_hard|173
84,algebra_hard|174
85,algebra_hard|175
86,algebra_hard|177
87,algebra_hard|178
88,algebra_hard|179
89,algebra_hard|18
90,algebra_hard|180
91,algebra_hard|181
92,algebra_hard|182
93,algebra_hard|183
94,algebra_hard|184
95,algebra_hard|185
96,algebra_hard|186
97,algebra_hard|187
98,algebra_hard|188
99,algebra_hard|189
100,algebra_hard|19
101,algebra_hard|190
102,algebra_hard|191
103,algebra_hard|192
104,algebra_hard|193
105,algebra_hard|194
106,algebra_hard|195
107,algebra_hard|196
108,algebra_hard|197
109,algebra_hard|198
110,algebra_hard|199
111,algebra_hard|2
112,algebra_hard|20
113,algebra_hard|200
114,algebra_hard|201
115,algebra_hard|202
116,algebra_hard|203
117,algebra_hard|204
118,algebra_hard|205
119,algebra_hard|206
120,algebra_hard|207
121,algebra_hard|208
122,algebra_hard|209
123,algebra_hard|21
124,algebra_hard|210
125,algebra_hard|211
126,algebra_hard|212
127,algebra_hard|213
128,algebra_hard|214
129,algebra_hard|215
130,algebra_hard|216
131,algebra_hard|217
132,algebra_hard|218
133,algebra_hard|219
134,algebra_hard|22
135,algebra_hard|220
136,algebra_hard|221
137,algebra_hard|222
138,algebra_hard|223
139,algebra_hard|224
140,algebra_hard|225
141,algebra_hard|226
142,algebra_hard|227
143,algebra_hard|228
144,algebra_hard|229
145,algebra_hard|23
146,algebra_hard|230
147,algebra_hard|231
148,algebra_hard|232
149,algebra_hard|233
150,algebra_hard|234
151,algebra_hard|235
152,algebra_hard|236
153,algebra_hard|237
154,algebra_hard|238
155,algebra_hard|239
156,algebra_hard|24
157,algebra_hard|240
158,algebra_hard|241
159,algebra_hard|242
160,algebra_hard|243
161,algebra_hard|244
162,algebra_hard|245
163,algebra_hard|246
164,algebra_hard|247
165,algebra_hard|248
166,algebra_hard|249
167,algebra_hard|25
168,algebra_hard|250
169,algebra_hard|251
170,algebra_hard|252
171,algebra_hard|253
172,algebra_hard|254
173,algebra_hard|255
174,algebra_hard|256
175,algebra_hard|257
176,algebra_hard|258
177,algebra_hard|259
178,algebra_hard|26
179,algebra_hard|260
