model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.27065217391304347,0.39133756297561084,0.1672402187512093,0.29712625192981734,43
01-ai/Yi-6B-Chat,0.27717391304347827,0.42307835313397013,0.4230248234391619,0.29966162307036015,45
BEE-spoke-data/smol_llama-220M-openhermes,0.225,0.1867382862259816,-1.7910190784682858,0.29920296232156,49
BSC-LT/salamandra-7b-instruct,0.3032608695652174,0.4514057299614822,0.6472326886483942,0.2983199049776998,43
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.3119565217391304,0.46982024061887256,0.7915599053056883,0.29724125076466323,44
Qwen/Qwen2-0.5B,0.2597826086956522,0.28742611928933515,-0.7323969870103834,0.2984592798781212,43
allenai/OLMo-1B-hf,0.2510869565217391,0.3669760291975041,-0.033598988386322234,0.2969700093715043,43
google/gemma-2-2b,0.2847826086956522,0.40975657073200655,0.3163617302400387,0.2994456017995816,43
h2oai/h2o-danube-1.8b-chat,0.25217391304347825,0.24652755033542112,-1.1306831026053432,0.2992008459820945,44
meta-llama/Llama-3.2-3B-Instruct,0.3010869565217391,0.4491857443883491,0.629767928260598,0.29833256354859994,43
stabilityai/stablelm-zephyr-3b,0.2717391304347826,0.2997910193914195,-0.6181690157147846,0.29815024628172987,43
tiiuae/Falcon3-3B-Instruct,0.28043478260869564,0.43303393353473657,0.5021841315765188,0.29841648356284645,43
