n_scenarios,adaptive_median_se,random_median_se,adaptive_recovery_r,random_recovery_r
1,0.6726229160237008,0.9095784794629982,0.6260997747204049,0.3213370254599111
2,0.5920060650495022,0.8444063723218251,0.7655137526843914,0.6692742840588742
3,0.454460750445326,0.752938315177291,0.8041983225879331,0.7221328816638378
4,0.3613480997455044,0.7260614541173833,0.8412876459305129,0.71770522089936
5,0.2931701010967941,0.6730706944058745,0.8654589046845594,0.7335836639952524
6,0.26668281659815274,0.6136917199564804,0.889434247140875,0.7445394315552044
7,0.2588589854482139,0.5922905553985718,0.9013412209189661,0.8093982124355144
8,0.23930628271256893,0.5677667444403904,0.9238446787285886,0.8020458471150878
9,0.2266826692692974,0.5516329584995192,0.9275450254471815,0.8076719330484854
10,0.21816334195245507,0.5423476939641472,0.9307845676699256,0.8241282702168456
11,0.2044186603987056,0.5182574420347266,0.9376090933670108,0.8254866199766301
12,0.1934243695734481,0.5141178967180187,0.9422578018700016,0.8305748759020111
13,0.18660381083306607,0.49268602382488635,0.9476945981656778,0.854371564512048
14,0.18386330936925607,0.47647117996330035,0.9526496253752235,0.8724612716518834
15,0.18011962665300496,0.4619345600522534,0.9564569180576675,0.8736777808880506
16,0.17429246137682178,0.45734542808785333,0.9579413150475199,0.8780404839601732
17,0.16922430928786408,0.4532439186162951,0.9638951957024384,0.880366846848264
18,0.16812866113094238,0.44474219552898286,0.9635673098950018,0.8930590187916018
19,0.16471113931093628,0.4280675479731436,0.9644209488512258,0.8937911679503387
20,0.1611548431419627,0.42037554820077055,0.9667689109213771,0.8819537937073827
21,0.15839660992631582,0.40657926113178877,0.9684787630037031,0.8855711944144832
22,0.1556145179447159,0.4064366004818075,0.9695657376824313,0.8875172185875674
23,0.15375205396729252,0.40292459474099535,0.9722308905566537,0.8889107903423279
24,0.15140642755412392,0.3916675761145161,0.9732746845026377,0.8918762634789076
25,0.14953959139045164,0.38919872102011854,0.9745288050503488,0.8924628601020625
26,0.14781550883853736,0.38029154418855776,0.9769669710908631,0.8942663391423473
27,0.14586369562237206,0.3747026229719838,0.9776915635992914,0.9019618158185546
28,0.144473130848627,0.37295727401718054,0.978104739506886,0.9032289925838513
29,0.1426836776550576,0.36961352087701915,0.978808616328849,0.9061688270323237
30,0.14127339421608853,0.36457793082377693,0.9793961845481853,0.9115134645465316
31,0.14054137726470728,0.3519015842935339,0.9806510526921632,0.9166217997293599
32,0.13857759195478325,0.346536905184222,0.9813454799778079,0.9138353935675052
33,0.13677644955561055,0.3412646068260691,0.9814467952198666,0.913794550312235
34,0.13581114481029338,0.32335097611126296,0.9822045417304912,0.9116156141103112
35,0.13316443163573155,0.322136015401427,0.9827238071334939,0.9128168767980802
36,0.13271979203381734,0.32147088570179605,0.9834165848610126,0.9168964233450418
37,0.13114222683704968,0.31304122639910825,0.9836021597968171,0.9161468439748696
38,0.12937846192588792,0.3114350530561179,0.983693782427679,0.9172402454660002
39,0.12875841877835142,0.310723624018321,0.984114885646452,0.9268901558881993
40,0.12827222723554066,0.2976056859063114,0.9839396215446453,0.925270101498953
41,0.12759591155928693,0.29596551803088167,0.9846403487236791,0.9290982911173077
42,0.12717488770591112,0.2939713369062089,0.9852507326940223,0.9281633264718886
43,0.1261124030403009,0.2911412830165654,0.9865412611095384,0.9286615775511562
44,0.12544601567648467,0.2860453085914745,0.9869235243708543,0.9287450988089015
45,0.1247347981878806,0.281022191754176,0.9872874218671467,0.9289751651941336
46,0.12429026779263372,0.2797676591602558,0.9877406945420407,0.9315486447367654
47,0.12366694563582907,0.2771030197762506,0.9878292372906015,0.9353150169543605
48,0.1227230650649539,0.27645327150321575,0.988043388372327,0.9343339355118814
49,0.12217646813594482,0.2730401251093344,0.9887523828278724,0.9362055693929326
50,0.12089310354131877,0.26895563283041146,0.9893809021706318,0.9358486259042752
51,0.12048261304538468,0.2654299585585893,0.989222201070981,0.9356284653331852
52,0.12002942708004612,0.2639086728456437,0.9895486923978776,0.9354211585418566
53,0.11969186763211875,0.2635840321797969,0.9894766524599357,0.9386617254826845
54,0.11911685785634388,0.26327932552366096,0.9898267346409751,0.937975434873455
55,0.11891835464009819,0.25767864720675127,0.9897333054008596,0.9388348089583106
56,0.11832028879220734,0.2578452843673167,0.9898596961025827,0.9405374857386772
57,0.11765440821342038,0.2551115686548352,0.9900735614623211,0.9417186245035332
58,0.11722574255871415,0.2549061523910443,0.9905148214349183,0.9450218938958799
59,0.11661221621448195,0.2534575273370994,0.9908848016225532,0.9453016639520677
60,0.11620820388051813,0.25065470114618715,0.9911791835773167,0.9507204051847936
61,0.11600307564979592,0.25025247297368614,0.9913349737725814,0.9506790340398065
62,0.11574200015678868,0.2487658053149676,0.9917626514340075,0.9504560303807749
63,0.1153351013051688,0.24706704415219852,0.9917091172506816,0.9502525852872337
64,0.11501919386354942,0.2466307843075345,0.9920706166364055,0.9503312968301935
65,0.11472670156591924,0.2451443549083911,0.9921846974720753,0.9498085900302354
66,0.11374885261688193,0.24435019502333727,0.9924462972792223,0.9540308313344358
67,0.11340562327808727,0.24126597033054664,0.9924808788803128,0.9554111260475386
68,0.11252165853884194,0.23844004317803352,0.992760359392825,0.9557172685919937
69,0.1120420574960857,0.2371473482759394,0.9929096522044635,0.9559210054122329
70,0.11186548529660735,0.2347966517816718,0.9930144895288117,0.9568500107906223
71,,0.2325324665271878,,0.9581375023890096
72,,0.23227906447509306,,0.9591341386930954
73,,0.23180469827370545,,0.9594793572690049
74,,0.22826521700401375,,0.9603549192694705
75,,0.22708824600679767,,0.9607913507173301
76,,0.22679298427957478,,0.9609845065042666
77,,0.22161885864027042,,0.9602654418055537
78,,0.22085821968551678,,0.9605754383220028
79,,0.21959531993737447,,0.9618181703271066
80,,0.21960250661320135,,0.9618033851685839
81,,0.21690974152922074,,0.9645815271936974
82,,0.2164421107504042,,0.9650771670548659
83,,0.2163080682337461,,0.9662210766673515
84,,0.2162720499699018,,0.9657512629225994
85,,0.2156249242188749,,0.9659505848621366
86,,0.21557093979157632,,0.964775846121108
87,,0.21303711853453278,,0.9651109566091576
88,,0.21242263407015272,,0.965671625994954
89,,0.21094323647187563,,0.9659131902316234
90,,0.20578021184205045,,0.9670082099192644
91,,0.20424671482690582,,0.9683096693720252
92,,0.20415387018570824,,0.9688367275303488
93,,0.2033624459569891,,0.9688644059023064
94,,0.20300934958364003,,0.9698640328384466
95,,0.20242097560726352,,0.9704488711436444
96,,0.19920553429520602,,0.971413984624157
97,,0.19874557298269635,,0.9718679857471341
98,,0.19516039808108207,,0.9724477468416257
99,,0.19448699930759644,,0.9722022470262388
100,,0.19457400891935903,,0.9727684049953619
101,,0.1927748133814326,,0.9732484804862884
102,,0.19199806044994167,,0.9735249523860124
103,,0.18965708933435727,,0.9732118142558601
104,,0.18944422057310556,,0.9745002604447666
105,,0.18857464858246903,,0.9748636515434534
106,,0.18718062455705098,,0.9748651845222933
107,,0.1870551386020402,,0.975152594217046
108,,0.18566185192910883,,0.9765459110416902
109,,0.18380407020788547,,0.9767501311356709
110,,0.18316205717178857,,0.9768571575749033
111,,0.1832886775153797,,0.9764514021199744
112,,0.18236230105098178,,0.9766267786540411
113,,0.18218625406487132,,0.9766837297864633
114,,0.18148370045719942,,0.9768050594761262
115,,0.18156877581398767,,0.9768626617709038
116,,0.1804980184212647,,0.9772023513565082
117,,0.18037400139303583,,0.9768507966532846
118,,0.1802081257746946,,0.9761816567628127
119,,0.17981055330237128,,0.9782985781094944
120,,0.1798706592447834,,0.9784968460478856
