model,full_correctness,baseline_correctness,batch_correctness,trial1_correctness,trial2_correctness,trial3_correctness,trial4_correctness,trial5_correctness,trial6_correctness,trial7_correctness,trial8_correctness,trial9_correctness,trial10_correctness,sd_correctness,range_correctness,full_scaffolding,baseline_scaffolding,batch_scaffolding,trial1_scaffolding,trial2_scaffolding,trial3_scaffolding,trial4_scaffolding,trial5_scaffolding,trial6_scaffolding,trial7_scaffolding,trial8_scaffolding,trial9_scaffolding,trial10_scaffolding,sd_scaffolding,range_scaffolding
01-ai/Yi-6B,-1.0829047976248323,-0.5111240670529223,-0.6813819636394924,-0.5835192846446335,-0.6117859857406489,-0.5428678236728557,-0.6238289893366455,-0.6094573910207288,-0.6135422232721209,-0.6189576612537853,-0.543724735382892,-0.6043502865467705,-0.6128281645353325,0.02846328311008402,0.08096116566378986,-0.1801771267663315,-0.41494551711001737,-0.4811377600867485,-0.45960580905838605,-0.46310813703909604,-0.40426263177096344,-0.4963655367631782,-0.4490341028497122,-0.5560544771072535,-0.45486945111459404,-0.436646394519389,-0.4542793889031469,-0.43834145218063086,0.038527098845707416,0.1517918453362901
01-ai/Yi-6B-Chat,-0.20028919372652687,-0.022909813559428158,-0.20691670741642315,-0.12210891504469457,-0.07335011336049663,-0.0018222370857455539,-0.07639147707666766,-0.08722584449208426,0.05183536891690688,-0.09094993711649794,-0.09427010574268183,-0.28014967418121284,-0.088772791263752,0.08089242096340243,0.3319850430981197,-0.8690093369035821,-0.9561074339089762,-1.0038242601270284,-1.0910738475875186,-1.1179367101036253,-1.2540353567315785,-1.0828754709950925,-1.189563662160307,-1.1891369263889726,-1.0821008599334554,-1.0736861794481516,-1.149915797891649,-1.1079409427498041,0.05702074481691303,0.18034917728342692
EleutherAI/pythia-1.4b,-2.4265953938410196,-2.4991322924176345,-2.829283478289792,-2.7701855864941978,-2.651607437195461,-2.417324643540612,-2.764039940998027,-3.1888996162327983,-2.777096222071908,-2.583227356246045,-2.8804049862641024,-2.510044633712623,-3.2008499468224816,0.24780041579691203,0.7835253032818694,0.8651646518227752,0.9457590375832052,0.9480126021354863,0.9446995955142883,0.9832879419554901,1.0690444962095667,0.941247489281683,0.9754167185331166,0.9617374510227109,0.9854912395459772,0.9484424258945097,0.9697189201503651,0.9589546166051349,0.03497554225882228,0.12779700692788365
EleutherAI/pythia-160m,-5.736379354491013,-2.645073247821178,-3.103234455322635,-2.851722989984651,-2.9628745649447907,-3.379206862469529,-2.8891799530057902,-3.0413906334478997,-3.2887902880013047,-2.945923451925025,-3.3848021935709958,-2.8848649967514692,-3.0962057596119594,0.19634357249911055,0.533079203586345,1.3604054756759385,1.2820491136802064,1.338161210879591,1.3301961859991562,1.332392284584055,1.360611343501078,1.3894172667806328,1.350307380068192,1.3660776818955211,1.3466336979904372,1.3400088409889213,1.3548217793265065,1.2992800189130829,0.022896559344421464,0.09013724786754995
EleutherAI/pythia-1b,-2.6196150203166173,-2.6111642158527633,-3.0789687010740194,-3.502302980930738,-2.8292098780017416,-3.5605558984643704,-2.8464607380682803,-3.125693180911154,-2.745285139071211,-3.072023022923783,-2.5125580642476746,-3.2464987371978884,-2.6196501424024747,0.3387927015037886,1.0479978342166958,0.9049905279481553,1.072618434946475,1.0811422683355925,1.0831404479027924,1.104496787228587,1.1551641790396812,1.0965653789088434,1.0547328200516115,1.135349723402157,1.0760915062589362,1.1456798672391009,1.0804210323925494,1.137203388678989,0.03257268583738191,0.10043135898806965
EleutherAI/pythia-2.8b,-2.6497834770752857,-2.0602090388921304,-2.274758727132571,-2.125742138874499,-2.261160855888876,-2.3241959278242774,-2.2195398951567973,-2.3168745639411865,-2.1964938736289574,-2.3239202230555374,-2.179186074163244,-2.2836906739651703,-2.3337111417667185,0.06894762669798538,0.20796900289221965,0.6899733921247262,0.813850938856758,0.8076667666292044,0.905934472190197,0.8116528521045836,0.8590242079766168,0.8358125014558498,0.8478087408401025,0.8030253475030427,0.8387498890446904,0.8338133079531457,0.828556246889148,0.8422842684179802,0.026702152928938478,0.1029091246871543
EleutherAI/pythia-410m,-3.6618695021362035,-2.5478869775803528,-2.984731722490295,-2.6050670017420594,-3.0119758280593176,-2.77734670672522,-2.961669331748292,-2.6677275987536766,-3.123073458201675,-2.8978786752340215,-3.1337031166633964,-2.5818714267025453,-2.8865646966613703,0.19121235572594134,0.5518316899608511,1.1565530862389297,1.0835518298581714,1.1047831336083802,1.1624944173283482,1.1061984590950336,1.159774821944897,1.1576048136016197,1.104852112791525,1.0803853226947375,1.1167125499477013,1.1257839170990447,1.1400702178157067,1.0998783355520743,0.027118617291762504,0.08210909463361071
EleutherAI/pythia-6.9b,-2.4116908506638546,-1.4451206348645063,-1.8373167984153838,-1.8875592763151625,-1.8948162457549236,-1.9720379544303013,-1.8852012610629791,-1.8969547636801352,-1.6316383643699517,-1.9283380612813905,-2.0260740683380285,-1.878868370002519,-2.107326554250023,0.11685967955053994,0.4756881898800711,0.29532243671056807,0.33488914967241723,0.29607379588005106,0.3073315742334545,0.3212570923477205,0.3008986585798968,0.2897513102790174,0.31552281189197035,0.29510314142469307,0.3127292676381473,0.3215260256334196,0.3021153374592053,0.3001131431880777,0.01032510078473154,0.03177471535440218
EleutherAI/pythia-70m,-5.923025833605236,-2.5361510167612433,-3.0570175555850514,-3.2789563948942777,-3.1100461841967753,-2.6879583012281363,-3.015581798996015,-2.9830185199854196,-2.735870222947882,-2.8026695145363307,-2.9822855175052703,-3.2901951898680717,-3.271764591968052,0.21269874680734008,0.6022368886399354,0.6440458672484698,0.7805071601990589,0.7548723865258881,0.7093302911812499,0.7552746754276815,0.7860392032415611,0.7600971257676202,0.7515672037333786,0.7714775299600686,0.7415341264265859,0.7456913300773768,0.7592652831878322,0.7787815091034634,0.020498859298612077,0.07670891206031116
HuggingFaceH4/zephyr-7b-beta,1.0676932450618064,0.9635699599798889,0.9325739836771625,1.0656086686276625,1.1435164261094521,1.0517143770105377,0.41283461862216697,0.7639966263081941,1.0379834602739326,0.5712137141891815,0.9227966640247299,0.704688356515074,1.0017834909861139,0.23048819029561182,0.7306818074872852,0.42113001791215116,-0.2969177001579749,-0.4002784667830548,-0.38411372020271833,-0.36432775555041175,-0.38403704887127116,0.714086727647878,-0.12710226342884193,-0.4356804828975411,-0.20654764142421947,-0.3142266795475553,-0.06022575015116133,-0.40347168962606794,0.3263579602112736,1.149767210545419
