trial,mean_items,slope_correctness,r_correctness,gap_worst12_correctness,slope_scaffolding,r_scaffolding,gap_worst12_scaffolding
baseline (max-info order),39.26829268292683,0.5908296622640185,0.9529294200602162,2.6875050503350253,0.778568511119219,0.8978212179672922,0.05663161994707613
random order 1,39.18292682926829,0.85793517212531,0.8652163829706828,2.1899240996795775,1.068965188886536,0.7431137581246916,0.04964712575342611
random order 2,39.24390243902439,0.8098381022699339,0.917049275001315,2.1381335213232453,1.1668476129260958,0.7575217884785598,0.06876437073174095
random order 3,38.609756097560975,0.8149559525444363,0.9039214513322273,2.2473756029368928,1.1548284916376728,0.7609424710391539,0.06630884116547194
random order 4,39.15853658536585,0.7810978354015362,0.863589007442874,2.2478387206312522,1.2011344257018712,0.7050584134690773,0.06512700271448058
random order 5,39.207317073170735,0.7411794760173457,0.9115198383974065,2.2947618150933544,1.156326328269371,0.7934240106014091,0.07941949865756308
random order 6,38.65853658536585,0.7505251827631716,0.9427316417554803,2.2222672890504986,1.2655662875560687,0.752824537863683,0.06228153681273063
random order 7,39.08536585365854,0.8199012156441133,0.8539838104682896,2.2587911918978247,1.16499854560966,0.7131686157152533,0.051002979492099
random order 8,39.073170731707314,0.7199723579437682,0.9328666490655332,2.1670461214224432,1.188369452820852,0.7104379310521347,0.07137402295088417
random order 9,39.073170731707314,0.7055108533110653,0.8756320730811149,2.277459773161856,1.1531861154701724,0.7978967842012035,0.07559875464795697
random order 10,39.03658536585366,0.7534912920533327,0.9174170616405157,2.230485027241139,1.048490851427684,0.6311195000114952,0.06126840466293013
batch EAP (order-free),39.26829268292683,0.6944895628590907,0.956148731811452,2.1945437148751714,0.873535442109452,0.9211390503281731,0.05172007452794505
