op_point,min_scenarios,se_target,recovery_r,recovery_slope,theta_mae,recovery_source,scenarios_mean_deployed,scenarios_median_deployed,convergence_rate_deployed,ability_se_median_deployed,se_param_median_deployed,se_total_median_deployed
f6_se0.10,6,0.1,0.9847,0.8685,nan,reused_exp06,19.83,19,0.962,0.1078,0.0622,0.1225
f6_se0.11,6,0.11,0.975,0.8459,nan,reused_exp06,14.94,14,1.0,0.1227,0.0705,0.138
f6_se0.12,6,0.12,0.9635,0.7982,nan,reused_exp06,11.58,11,1.0,0.1332,0.0737,0.1524
f6_se0.13,6,0.13,0.9569,0.7624,nan,reused_exp06,9.48,9,1.0,0.144,0.0819,0.1657
f6_se0.14,6,0.14,0.955,0.7385,nan,reused_exp06,8.19,8,1.0,0.1601,0.0878,0.1744
f6_se0.15,6,0.15,0.9519,0.7252,nan,reused_exp06,7.38,7,1.0,0.1633,0.0928,0.1919
f8_se0.10,8,0.1,0.9846,0.8696,nan,reused_exp06,19.83,19,0.962,0.1078,0.0607,0.1226
f8_se0.11,8,0.11,0.9742,0.845,nan,reused_exp06,15.0,14,1.0,0.1227,0.069,0.1379
f8_se0.12,8,0.12,0.9703,0.812,nan,reused_exp06,11.83,11,1.0,0.1323,0.0731,0.152
f8_se0.13,8,0.13,0.9677,0.8022,nan,reused_exp06,10.04,9,1.0,0.1431,0.0796,0.1631
f8_se0.14,8,0.14,0.9649,0.7915,nan,reused_exp06,8.98,8,1.0,0.1502,0.0882,0.1773
f8_se0.15,8,0.15,0.961,0.779,nan,reused_exp06,8.37,8,1.0,0.16,0.0854,0.1821
f10_se0.10,10,0.1,0.9847,0.872,nan,reused_exp06,19.88,19,0.962,0.1078,0.0598,0.123
f10_se0.11,10,0.11,0.9808,0.8391,0.28,rerun_kfold,15.4,14,1.0,0.1199,0.067,0.1374
f10_se0.12,10,0.12,0.9812,0.8113,0.3003,rerun_kfold,12.56,11,1.0,0.1307,0.0727,0.1479
f10_se0.13,10,0.13,0.9788,0.8025,0.3128,rerun_kfold,10.98,10,1.0,0.1344,0.0762,0.1546
f10_se0.14,10,0.14,0.9773,0.7978,0.3164,rerun_kfold,10.27,10,1.0,0.1433,0.0775,0.1661
f10_se0.15,10,0.15,0.9774,0.7974,nan,reused_exp06,10.1,10,1.0,0.1433,0.0799,0.1628
f12_se0.10,12,0.1,0.9838,0.8794,nan,reused_exp06,20.19,19,0.962,0.1073,0.0596,0.1219
f12_se0.11,12,0.11,0.9837,0.8613,0.271,rerun_kfold,16.12,14,1.0,0.119,0.0654,0.1366
f12_se0.12,12,0.12,0.9831,0.8417,0.2813,rerun_kfold,13.56,12,1.0,0.127,0.0679,0.1439
f12_se0.13,12,0.13,0.981,0.8328,0.2907,rerun_kfold,12.4,12,1.0,0.129,0.0701,0.1478
f12_se0.14,12,0.14,0.9811,0.8325,0.29,rerun_kfold,12.15,12,1.0,0.129,0.0711,0.1483
f12_se0.15,12,0.15,0.9811,0.8325,nan,reused_exp06,12.06,12,1.0,0.129,0.0677,0.1485
f15_se0.10,15,0.1,0.9854,0.9051,nan,reused_exp06,21.19,19,0.962,0.1073,0.0581,0.1204
f15_se0.11,15,0.11,0.9852,0.8884,0.2496,rerun_kfold,17.48,15,1.0,0.1182,0.0627,0.1343
f15_se0.12,15,0.12,0.9837,0.8764,0.2569,rerun_kfold,15.73,15,1.0,0.1194,0.0651,0.1344
f15_se0.13,15,0.13,0.9837,0.8762,0.2565,rerun_kfold,15.19,15,1.0,0.1194,0.0625,0.1359
f15_se0.14,15,0.14,0.9837,0.876,0.2558,rerun_kfold,15.1,15,1.0,0.1194,0.0625,0.137
f15_se0.15,15,0.15,0.9837,0.876,nan,reused_exp06,15.0,15,1.0,0.1194,0.064,0.1356
