op_point,min_scenarios,se_target,scenarios_mean,scenarios_median,criteria_mean,criteria_median,convergence_rate,capped_frac,recovery_r,recovery_r_lo,recovery_r_hi,recovery_slope,theta_mae,pass_r,pass_mae,ability_se_median,se_param_median,se_total_median
f0_se0.10,0,0.1,16.37,10,162.0,94,0.865,0.135,0.9767,0.9595,0.9873,0.9221,0.3347,0.948,0.0465,0.0978,0.0645,0.1153
f0_se0.12,0,0.12,12.27,8,121.2,71,0.923,0.077,0.9673,0.943,0.9817,0.9051,0.4058,0.9302,0.0529,0.1158,0.0735,0.1368
f0_se0.15,0,0.15,9.69,6,96.4,52,0.923,0.077,0.9631,0.9355,0.9792,0.8879,0.4284,0.9211,0.0549,0.1385,0.084,0.1624
f0_se0.20,0,0.2,7.71,4,77.3,38,0.923,0.077,0.9587,0.9288,0.9773,0.898,0.4453,0.9206,0.0553,0.1739,0.1009,0.2026
f0_se0.25,0,0.25,6.69,3,67.2,31,0.942,0.058,0.9359,0.8834,0.9664,0.8679,0.5257,0.9081,0.0598,0.2088,0.1207,0.2485
f0_se0.30,0,0.3,5.88,3,58.9,26,0.962,0.038,0.898,0.8366,0.9464,0.7284,0.6329,0.8857,0.0654,0.249,0.1419,0.2976
f4_se0.10,4,0.1,16.42,10,162.5,94,0.865,0.135,0.9773,0.9606,0.9875,0.923,0.3323,0.9495,0.0461,0.097,0.0649,0.1147
f4_se0.12,4,0.12,12.4,8,122.5,71,0.923,0.077,0.9696,0.9477,0.9828,0.9095,0.3939,0.9381,0.0508,0.1156,0.0745,0.135
f4_se0.15,4,0.15,10.06,6,100.1,54,0.923,0.077,0.9678,0.9447,0.9817,0.8939,0.4086,0.937,0.0517,0.1378,0.0842,0.1626
f4_se0.20,4,0.2,8.33,4,83.5,46,0.923,0.077,0.9659,0.94,0.9821,0.8999,0.4051,0.9403,0.0499,0.1637,0.0951,0.1887
f4_se0.25,4,0.25,7.65,4,76.7,42,0.942,0.058,0.9529,0.914,0.9751,0.8879,0.463,0.9257,0.0537,0.1665,0.1017,0.1962
f4_se0.30,4,0.3,7.21,4,72.1,42,0.962,0.038,0.9184,0.8642,0.9594,0.7556,0.551,0.9129,0.0563,0.1811,0.1123,0.2128
f6_se0.10,6,0.1,16.69,10,165.3,94,0.865,0.135,0.9783,0.9622,0.988,0.9247,0.3261,0.9517,0.0458,0.0967,0.0606,0.1136
f6_se0.12,6,0.12,12.87,8,127.4,71,0.923,0.077,0.9732,0.9533,0.9849,0.9149,0.3697,0.9491,0.0475,0.1147,0.0692,0.1351
f6_se0.15,6,0.15,10.85,6,107.5,66,0.923,0.077,0.9722,0.9524,0.9841,0.9004,0.3784,0.9508,0.0476,0.1313,0.078,0.155
f6_se0.20,6,0.2,9.56,6,95.0,64,0.923,0.077,0.9693,0.9467,0.9834,0.9042,0.3847,0.9495,0.0476,0.1339,0.0845,0.1619
f6_se0.25,6,0.25,9.19,6,91.4,62,0.942,0.058,0.9574,0.9206,0.9783,0.8954,0.4384,0.9368,0.0507,0.1339,0.0856,0.1636
f6_se0.30,6,0.3,8.77,6,87.0,62,0.962,0.038,0.9243,0.876,0.9622,0.7721,0.5331,0.928,0.0533,0.1339,0.0894,0.1644
f8_se0.10,8,0.1,17.17,10,170.4,94,0.865,0.135,0.9787,0.9634,0.9881,0.9242,0.3268,0.9531,0.0459,0.0965,0.0615,0.1126
f8_se0.12,8,0.12,13.75,8,135.7,89,0.923,0.077,0.9752,0.9584,0.9857,0.9207,0.3573,0.951,0.0472,0.1098,0.0653,0.1299
f8_se0.15,8,0.15,12.1,8,119.1,85,0.923,0.077,0.9746,0.9576,0.9851,0.9091,0.3623,0.9513,0.0473,0.1099,0.0697,0.1332
f8_se0.20,8,0.2,11.1,8,109.2,83,0.923,0.077,0.9713,0.9514,0.9842,0.9117,0.3731,0.9498,0.0477,0.1099,0.0738,0.1356
f8_se0.25,8,0.25,10.85,8,106.9,83,0.942,0.058,0.9606,0.9269,0.98,0.9036,0.4167,0.9378,0.0504,0.1099,0.0733,0.1335
f8_se0.30,8,0.3,10.42,8,102.5,83,0.962,0.038,0.9412,0.9061,0.9689,0.7972,0.4847,0.9374,0.0513,0.1099,0.0707,0.1337
f12_se0.10,12,0.1,19.12,12,188.7,130,0.865,0.135,0.98,0.9654,0.9886,0.9271,0.3252,0.9561,0.0459,0.0838,0.0528,0.0994
f12_se0.12,12,0.12,16.23,12,159.3,130,0.923,0.077,0.9779,0.963,0.9869,0.9246,0.3495,0.9562,0.0465,0.0838,0.0537,0.1008
f12_se0.15,12,0.15,14.98,12,146.8,128,0.923,0.077,0.9763,0.9602,0.9862,0.9156,0.3565,0.9562,0.0467,0.0838,0.0573,0.1024
f12_se0.20,12,0.2,14.37,12,140.9,126,0.923,0.077,0.9726,0.9531,0.9852,0.915,0.3683,0.9545,0.0472,0.0838,0.0571,0.1013
f12_se0.25,12,0.25,14.21,12,139.7,125,0.942,0.058,0.9649,0.9395,0.9816,0.9073,0.3973,0.9513,0.0482,0.0838,0.0574,0.1017
f12_se0.30,12,0.3,13.9,12,136.5,125,0.962,0.038,0.9577,0.9341,0.9766,0.8331,0.4403,0.9513,0.0485,0.0838,0.0592,0.103
f15_se0.10,15,0.1,20.96,15,206.3,163,0.865,0.135,0.9797,0.9651,0.9883,0.9264,0.3342,0.9532,0.0472,0.0775,0.0497,0.0917
f15_se0.12,15,0.12,18.23,15,178.6,160,0.923,0.077,0.9781,0.9635,0.9869,0.9251,0.3561,0.9534,0.0478,0.0775,0.0524,0.0917
f15_se0.15,15,0.15,17.38,15,170.1,158,0.923,0.077,0.9772,0.9625,0.9866,0.9167,0.3584,0.9536,0.0478,0.0775,0.0493,0.0909
f15_se0.20,15,0.2,17.0,15,166.2,154,0.923,0.077,0.9748,0.9577,0.9856,0.9165,0.3688,0.9527,0.0481,0.0775,0.0507,0.0918
