model,n_admin,theta_overall,se_posterior_overall,se_param_overall,se_total_overall,bar_inflation_overall
01-ai/Yi-6B,72,-0.4899193871996412,0.20718235656332365,0.0808148977068116,0.22238609795240036,1.0733833789772045
01-ai/Yi-6B-Chat,63,-0.4250215576487585,0.20871354346237864,0.07123178914677468,0.22053414930498358,1.056635547681819
EleutherAI/pythia-1.4b,53,-1.8059311769520778,0.4030304921224645,0.1941765905452322,0.4473679982925094,1.1100103020408008
EleutherAI/pythia-160m,53,-2.513671274073452,0.5315913442580945,0.32961139972335246,0.6254862365533838,1.1766298366395185
EleutherAI/pythia-1b,46,-2.6204581141037764,0.5300452659117124,0.3084922736300989,0.6132825342408552,1.1570380374701947
EleutherAI/pythia-2.8b,55,-1.921941801480966,0.3987161195096506,0.22059546433714947,0.45567192457178723,1.142848012094876
EleutherAI/pythia-410m,51,-2.34579888922098,0.5346838204081107,0.2720489351708995,0.5999145030200829,1.1219986095000654
EleutherAI/pythia-6.9b,50,-1.6903423668365547,0.3796583426286423,0.1879803532626076,0.42364734194877496,1.1158646982852156
EleutherAI/pythia-70m,48,-2.6408742663982023,0.532867725551042,0.2717351705021471,0.5981538395946077,1.1225184242037793
HuggingFaceH4/zephyr-7b-beta,45,1.0327248559747457,0.12293721586667168,0.08971393163867293,0.15219115800570385,1.2379583914667367
HuggingFaceTB/SmolLM2-1.7B,60,0.027351316131060906,0.16470080779335597,0.0835280342919069,0.18467075729647606,1.121249857670253
HuggingFaceTB/SmolLM2-1.7B-Instruct,63,0.5685496427421501,0.13607621254796926,0.08664934329128371,0.16132217551908615,1.1855281132418147
HuggingFaceTB/SmolLM2-135M,54,-2.559165550258962,0.5274451018280462,0.30747191657130557,0.610522165791243,1.1575084566626253
HuggingFaceTB/SmolLM2-360M,58,-1.8028277047386088,0.39408677170272866,0.17571501186218214,0.4314859777846846,1.0949009425522338
HuggingFaceTB/SmolLM2-360M-Instruct,60,-0.9337487455509685,0.2824013336847179,0.14086220990216472,0.3155830721781967,1.1174985190775477
LLM360/Amber,61,-2.376344381789303,0.4753028107191039,0.17091574739929136,0.505098955241979,1.0626887614609208
Qwen/Qwen2-0.5B,64,-1.542235434989987,0.3412326617999175,0.12071221342184256,0.3619546490214725,1.0607268574826678
Qwen/Qwen2-1.5B,63,-0.29059340734896943,0.19659882586555305,0.06848553228923529,0.20818589400978624,1.0589376263729935
Qwen/Qwen2-7B,47,1.2851980876592153,0.10712352522073501,0.06387747438347069,0.12472281823839776,1.164289711166602
Qwen/Qwen2.5-0.5B,64,-0.8792203907794138,0.2619038308768855,0.11018596038056166,0.28413828058354784,1.0848954733965468
Qwen/Qwen2.5-0.5B-Instruct,67,-0.24178093180456373,0.19318637601894492,0.05955103401662651,0.20215662623763433,1.0464331409053904
Qwen/Qwen2.5-1.5B,55,1.0914918743435242,0.12034922938450035,0.07813414935487314,0.14348826540471074,1.192265759727336
Qwen/Qwen2.5-1.5B-Instruct,51,0.990536265641355,0.12130461793903394,0.08472094404565095,0.14796097016889728,1.2197472172350476
Qwen/Qwen2.5-3B,54,1.0760910203859235,0.10828028929435855,0.0656369713737525,0.12662082396189336,1.1693801779350286
Qwen/Qwen2.5-3B-Instruct,47,1.5258784277846713,0.1114226552359587,0.0783091879486327,0.13618860824975634,1.2222703539181599
Qwen/Qwen2.5-7B,45,1.4134774491083244,0.09734031905813774,0.06875995422210915,0.11917662949994265,1.2243295548349589
Qwen/Qwen2.5-7B-Instruct,39,2.1880633603457604,0.10572566231182852,0.09147346610465308,0.1398045445344103,1.3223331164582268
Qwen/Qwen2.5-Coder-7B,46,1.2867826858811877,0.1092385294812018,0.06475574366110234,0.12698961634841563,1.1624984055673186
Qwen/Qwen2.5-Math-7B,49,1.6944629248525762,0.12169513716391822,0.11509893727036186,0.16750364703525583,1.376420216443287
Qwen/Qwen3-0.6B,56,1.1569683289916295,0.09403796415414276,0.05148146179349419,0.10720764716497998,1.1400464496365539
Qwen/Qwen3-1.7B,37,2.3658522984842727,0.09733734986477717,0.07313593406863947,0.12175148677034879,1.2508198234232613
Qwen/Qwen3-4B,37,2.755030567780925,0.1192133163187306,0.11108475762241474,0.16294673413032967,1.3668501067000998
TinyLlama/TinyLlama-1.1B-Chat-v1.0,52,-1.0703380636373927,0.3276130728076484,0.1772071191532638,0.372468372554058,1.1369154758141948
allenai/OLMo-2-0425-1B,54,-0.5980201841955537,0.24001916410426677,0.09464420193608335,0.25800527920457184,1.0749361625661347
allenai/OLMo-2-1124-7B,49,0.8807159210931554,0.12900587662287105,0.045541822859809886,0.13680852982409294,1.0604829284175306
bigscience/bloom-1b1,65,-2.6357530228808423,0.4730544546732786,0.22844468439766355,0.5253260805592856,1.1104981157446432
bigscience/bloom-1b7,58,-2.321930486202379,0.484780093693687,0.32732298270093246,0.5849376669747768,1.2066041378018613
bigscience/bloom-3b,59,-2.433175412685585,0.47373156235911495,0.1427065589474171,0.49475929010158126,1.044387432489723
bigscience/bloom-560m,63,-2.7498941923584836,0.5110906061891952,0.27342797945751957,0.5796347709420655,1.134113528839731
bigscience/bloom-7b1,67,-1.6384096999443831,0.3522734491763294,0.1239420924941964,0.37344105998996396,1.0600885785265048
bigscience/bloomz-1b7,74,-2.941705554294413,0.5085018757978216,0.2474463452388751,0.5655120259216242,1.1121139426169386
bigscience/bloomz-3b,50,-2.5439248598691897,0.53051393156151,0.179301352634892,0.5599946487579613,1.055570109364853
bigscience/bloomz-7b1,71,-2.703923869727709,0.4781263893223972,0.3067186131880071,0.5680503074926083,1.1880756222170705
deepseek-ai/deepseek-coder-6.7b-base,58,-0.41594430319030373,0.22393285303360982,0.0825905987338845,0.23867787846173305,1.0658457445094498
deepseek-ai/deepseek-llm-7b-base,60,-1.3870760490880314,0.33766823582940175,0.17710767720370998,0.38129642905832994,1.1292043153593228
deepseek-ai/deepseek-math-7b-base,61,-2.588935560134823,0.48537526702120076,0.20502618551884846,0.5269012114090375,1.085554306552713
facebook/opt-1.3b,51,-1.5224999112924524,0.35771691252140314,0.17518084166659842,0.39830856981850515,1.1134742470267556
facebook/opt-2.7b,57,-1.603105106395929,0.36194085821685235,0.2093377296207489,0.41811896619206523,1.1552135015979723
facebook/opt-6.7b,55,-1.6451838218062411,0.36835273254991335,0.13745454009536426,0.39316343442621426,1.0673558241432048
google/gemma-2-2b,62,0.05953183582922565,0.15711906985185786,0.06868303245289184,0.17147524911204529,1.0913713355974126
h2oai/h2o-danube2-1.8b-base,58,-0.897710792275871,0.2787296549611978,0.12220165191366487,0.3043410328648059,1.0918860890749982
h2oai/h2o-danube3-4b-base,68,-0.04547786921513654,0.1621688250431304,0.05133334042322425,0.1700994992787341,1.0489038151043795
ibm-granite/granite-3.0-2b-base,60,0.7080341141458786,0.13071533727513987,0.04790319689167892,0.13921643463110425,1.0650351942868848
ibm-granite/granite-3.1-2b-base,51,0.5471274369516913,0.16400517702831544,0.07716295315911455,0.18125070877744118,1.105152362026647
ibm-granite/granite-3.1-2b-instruct,45,1.0819732921893652,0.11168693280769902,0.06532865833338478,0.1293901254332478,1.158507286219686
lmsys/vicuna-7b-v1.5,70,-0.11967372179485256,0.16889735268693398,0.047529085313428365,0.1754574868604521,1.0388409532130316
meta-llama/Llama-3.2-1B,55,-1.7557655262927494,0.3633631610161751,0.1814033393538421,0.4061280072986742,1.11769174993663
meta-llama/Llama-3.2-1B-Instruct,61,-0.4573291221051891,0.21986130283997313,0.0824304016906092,0.234805799777956,1.0679723841573898
meta-llama/Llama-3.2-3B,59,0.4183065291486219,0.14997427929370358,0.09191547973518847,0.17589980063836244,1.1728664506124238
meta-llama/Llama-3.2-3B-Instruct,48,0.8259775860112493,0.1332120518825715,0.05247896896018503,0.14317643992601922,1.074800950083942
microsoft/Phi-3-mini-4k-instruct,52,0.6170890965035964,0.15000485320608392,0.06652540810911078,0.1640947467454779,1.0939295845317525
microsoft/Phi-3.5-mini-instruct,47,1.1416319320136423,0.10611700578906691,0.06447524896582264,0.12416874263212008,1.170111630165436
microsoft/phi-1_5,50,-0.791484425653334,0.27810808781360924,0.08940083033868226,0.2921243176673042,1.050398497806683
microsoft/phi-2,53,0.08746995798245624,0.16454194475173686,0.07935316062019637,0.1826772445683871,1.1102168802247538
mistralai/Mistral-7B-Instruct-v0.3,47,1.223929995033117,0.10276946282298136,0.04470612133104353,0.11207229708268736,1.0905213864524133
mistralai/Mistral-7B-v0.1,67,0.1611231538006004,0.14468603457297657,0.06475108904630811,0.15851420167649174,1.0955736131985878
mistralai/Mistral-7B-v0.3,51,0.818711469266963,0.13565745975866067,0.0756915833370161,0.15534529982022982,1.1451290632788975
nvidia/Nemotron-Mini-4B-Instruct,64,0.10547707427019998,0.1522929933102081,0.06581132391754255,0.16590444890708264,1.0893767684318159
