model,actual_full,pirt_pred,mean_p_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.313758389261745,0.45858843360792717,0.458524471399921,0.7664941925337305,0.14534873984169336,8
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.27181208053691275,0.3368658090195375,0.3422733509679727,-3.585622098152153,0.2915675665858683,35
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.2709731543624161,0.3368658090195375,0.3422733509679727,-3.585622098152153,0.2915675665858683,35
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.25922818791946306,0.44985518670290925,0.44812147536305885,-0.7825135966910319,0.27261356942027776,8
BlackBeenie/Neos-Llama-3.1-base,0.23741610738255034,0.4463144319413049,0.44783111061184744,0.4487721467805137,0.19864338334545673,8
BramVanroy/fietje-2-chat,0.23993288590604026,0.44912987381763636,0.4493627819550089,0.5211439142735762,0.18869208131445,8
BramVanroy/fietje-2-instruct,0.2332214765100671,0.44567957547871784,0.44656455490513164,0.3526943822699139,0.21362459845728393,8
Daemontatox/Zirel_1.5,0.2600671140939597,0.5178565783198082,0.5175850285124696,1.6414805576151046,0.26175302322432764,13
DavieLion/Llama-3.2-1B-SPIN-iter3,0.26426174496644295,0.34183308787069455,0.3467939999287001,-3.4156468923989176,0.2978039790862036,50
DeepMount00/Lexora-Lite-3B,0.2802013422818792,0.446745251925597,0.4466193442703159,0.09672375241295754,0.2403878851379599,8
EpistemeAI/Athena-gemma-2-2b-it,0.2684563758389262,0.4463144319413049,0.44783111061184744,0.4487721467805137,0.19864338334545673,8
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.2802013422818792,0.46651592179882534,0.4664898295582139,0.9110971716961835,0.15278353891081506,8
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.2609060402684564,0.33745009671024095,0.3411874454726238,-3.6284329231171704,0.2884025635004668,28
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.27348993288590606,0.3368658090195375,0.3422733509679727,-3.585622098152153,0.2915675665858683,35
J-LAB/Thynk_orpo,0.29278523489932884,0.458415462612904,0.4582273313423914,0.7604482965402687,0.1475992830626477,8
JayHyeon/Qwen-0.5B-DPO-5epoch,0.24328859060402686,0.44567957547871784,0.44656455490513164,0.3526943822699139,0.21362459845728393,8
JayHyeon/Qwen2.5-0.5B-SFT,0.2785234899328859,0.3368658090195375,0.3422733509679727,-3.585622098152153,0.2915675665858683,35
