model,fold,criteria_administered,scenarios_administered,theta_ref_correctness,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,theta_ref_scaffolding,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding
01-ai/Yi-1.5-6B,2,87,20,0.999966880712416,0.925511,0.7127670712136691,0.7778085399103909,-0.8035845921263068,-0.287977,-0.5038728540469446,-0.5201313474726906
01-ai/Yi-1.5-6B-Chat,4,108,20,1.7238080875643744,2.14705,1.9440068201463374,2.0152588389386774,-0.7107789110907143,-0.349978,-1.0244346687689712,-0.9463037005582999
01-ai/Yi-6B,4,82,21,-0.5876648567533252,-0.062797,-0.12470887119394136,-0.06780405784477166,0.029836676863946726,-0.165092,-0.19157979017705365,-0.20652259442899207
01-ai/Yi-6B-200K,1,91,20,-1.4942820080531556,-2.125071,-2.5693028261824127,-3.0077059341281824,1.0075117354949223,0.717244,0.7674950707223175,0.8240273369975735
01-ai/Yi-6B-Chat,1,110,27,-0.1828362269392101,-0.848492,-0.9145825575602967,-0.9490153604305694,-0.6291952310224297,-0.231648,-0.3016391698194664,-0.30910604936647035
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,2,117,22,-3.624099785214205,-2.596111,-3.2613197325409824,-4.327580015409573,2.832684394097978,2.144432,2.402582041256414,2.686344598774755
BEE-spoke-data/smol_llama-220M-openhermes,2,105,20,-3.5860194664469116,-1.684555,-2.0301930552343492,-2.2565995559509466,1.0639839487145664,1.38605,1.3389381732259598,1.4396958686648311
BSC-LT/salamandra-2b,0,101,20,-2.648305178632908,-2.097009,-2.779467444744678,-3.3108323491317013,1.1393961116585638,1.369831,1.340930929312331,1.3657215428537983
BSC-LT/salamandra-2b-instruct,2,104,20,-1.847796482227887,-1.656283,-2.0278079120036727,-2.255031122317096,0.31178710989352787,0.155321,0.12550385299650033,0.18774189670659228
BSC-LT/salamandra-7b,4,101,25,-0.6009315660697151,-1.012509,-1.1921082184619403,-1.2424699662823917,0.7121549656304704,0.12551,0.1309148941606728,0.11910264058858394
BSC-LT/salamandra-7b-instruct,1,82,20,-0.410574670658902,-0.82212,-0.9247558868648802,-0.9612571368285826,-0.05739500301597474,-0.479695,-0.504845312952076,-0.5219552141314805
EleutherAI/pythia-1.4b,3,101,20,-1.7407350707536722,-1.613535,-2.2071201640756524,-2.6553695382803593,0.8986497776798118,0.963565,0.9620379196574075,1.0540381279146869
EleutherAI/pythia-160m,0,96,20,-5.127409067914171,-2.108754,-3.1568910719369843,-4.686865311032908,1.6530309529084315,1.275722,1.278900789877979,1.3021702181664487
EleutherAI/pythia-1b,1,96,23,-2.408980460531449,-2.438602,-3.3180445985235143,-4.588113559715259,0.7743907742537481,0.493837,0.4706656876057972,0.5701020112612486
EleutherAI/pythia-2.8b,1,93,24,-2.4389600330218686,-2.235305,-2.76264472548712,-3.316768436194926,0.7207136430822728,0.624288,0.6632415762895084,0.7249652053010781
EleutherAI/pythia-410m,1,103,25,-3.505983886720385,-2.380761,-3.118020138322663,-4.055098014217781,0.9981530903566189,0.602842,0.5783585314134702,0.6297536699826818
EleutherAI/pythia-6.9b,4,115,26,-1.7370875719624763,-1.887318,-2.208466515285929,-2.52983479763099,0.5703891715365205,0.817116,0.7815009695579218,0.8373767023049604
EleutherAI/pythia-70m,3,140,31,-5.093129027252591,-2.338556,-3.2566869873708257,-5.618929524164337,0.8182641681948432,-0.009954,0.05940074516854406,0.06290881806458248
HuggingFaceH4/zephyr-7b-beta,3,106,20,1.1999997635204631,1.173285,1.1229701670186898,1.1997513191056104,0.4018127457350519,-0.100971,-0.1868504623836528,-0.1444280591445486
HuggingFaceTB/SmolLM2-1.7B,0,89,20,-0.8087932140070879,-0.489168,-0.6099747539842248,-0.5597677632638667,-0.025450504660375784,-0.413744,-0.45558254428481026,-0.4673690768178293
HuggingFaceTB/SmolLM2-1.7B-Instruct,0,94,20,0.0008963830889133057,0.449183,0.42959506239917655,0.4841982061213419,-0.5248760703182664,-0.352386,-0.4085701334544437,-0.3847830845915594
HuggingFaceTB/SmolLM2-135M,1,119,28,-3.6997537744718523,-2.889195,-3.602750980060231,-5.701271759289795,0.3889139671547368,0.613131,0.6453890520959054,0.6908813190443515
HuggingFaceTB/SmolLM2-360M,3,92,21,-2.6690790058388747,-1.35199,-1.742230594924229,-1.9521875285433288,0.5582404341350236,0.369022,0.3770489088458341,0.4199630377477468
HuggingFaceTB/SmolLM2-360M-Instruct,4,105,23,-0.9747718867344368,-1.040787,-1.1641730120320717,-1.199659296400644,-0.5903364413485823,-0.537855,-0.4049318477809789,-0.4552767859546686
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,3,105,20,1.8000539316249689,2.195965,2.1848231973608305,2.2391740708897334,-0.6310299456672572,-0.62654,-0.5406072857417721,-0.5643122511947248
LLM360/Amber,1,89,20,-4.453963996953064,-2.343388,-3.014761072143835,-3.7732654913146075,0.5808298662928444,0.989744,1.0453500100174733,1.1323872780063
OpenBMB/MiniCPM4-0.5B,1,92,23,-0.741852078863441,-0.809372,-0.8812777755591912,-0.9109879627487443,-0.2611034494463246,-0.396216,-0.43633090377289013,-0.44557092529337383
Qwen/Qwen1.5-1.8B,3,162,38,-3.0996735338160466,-2.349549,-2.8362306063911813,-3.468769661589363,-0.19306497211037443,-0.534353,-0.49952089021886315,-0.5376509477075653
Qwen/Qwen1.5-1.8B-Chat,0,86,20,-1.9070802138478755,-1.3804,-1.7268735663727972,-1.8965953940567088,-0.5393319065718238,-0.427807,-0.41085483735206924,-0.4253565417788545
Qwen/Qwen2-0.5B,0,90,20,-2.5800243770331646,-1.549209,-1.9378662982200126,-2.1453775588215063,0.0005666428782001541,0.155391,0.146107080372138,0.18018579497954706
Qwen/Qwen2-1.5B,2,93,20,-0.40710727812770164,-0.33611,-0.3922668897238757,-0.3871660961087403,-0.7084095648757229,-0.987379,-0.7778891887252317,-0.9495900077616168
Qwen/Qwen2-7B,4,105,20,1.599999912322464,1.712314,1.5801193398510978,1.6572313761195803,-0.22560205733301456,-0.250109,-0.19468421413733764,-0.1611746029217225
Qwen/Qwen2.5-0.5B,2,87,20,-1.1267752378751525,0.193029,0.04895895157330199,0.09917732599832045,-0.8495948091905875,-0.883007,-0.9061574504592379,-1.0308514921029752
Qwen/Qwen2.5-0.5B-Instruct,0,93,20,-0.8431105393493102,-0.799046,-0.941034912426626,-0.955034424891805,-0.7262988896183699,-0.745933,-0.6687710903254518,-0.727299910291969
Qwen/Qwen2.5-1.5B,1,132,30,0.7847070648676551,1.019578,0.7122458788481123,0.7461869563501405,-0.9656793547557332,-1.627225,-1.5237354399075824,-1.6156922431759173
Qwen/Qwen2.5-1.5B-Instruct,3,92,20,1.200000214431215,1.422531,1.3156107749909944,1.3983718585328773,-1.0320122173877508,-0.174958,-0.39319778312676523,-0.3505432336159671
Qwen/Qwen2.5-3B,1,91,20,1.5991749461845668,1.261725,1.2182118045595378,1.3124507088238249,-0.6897208049605771,-0.402293,-0.5659874101749358,-0.5753516555441353
Qwen/Qwen2.5-3B-Instruct,3,90,20,1.999286786723946,1.195778,1.1173916227423528,1.1609517613901403,0.3333699290478256,0.743865,0.7065245391676329,0.7387823281403484
Qwen/Qwen2.5-7B,3,93,20,1.8356605596679505,1.428654,1.3464418727620957,1.389012961452739,0.5912111423213804,1.006785,0.7537265087302647,0.7834681864362645
Qwen/Qwen2.5-7B-Instruct,1,80,20,2.486413677467122,2.234317,2.3541589645837457,2.3952947794985744,0.20004047594261848,0.297959,0.11016612652338495,0.13259700242427844
Qwen/Qwen2.5-Coder-7B,2,101,20,1.999928292478776,2.310865,2.215255005585436,2.2992452079762455,-0.3637762712423155,-0.409202,-0.5860632199011719,-0.5768537072297171
Qwen/Qwen2.5-Math-7B,3,118,20,1.9994511059267523,2.112938,1.9619995082363169,2.0131506840138633,-0.8404404768421193,-1.227676,-1.356442948350312,-1.4338087897144245
Qwen/Qwen3-0.6B,1,90,20,1.0421801052659931,1.70229,1.6315134905626454,1.7925099137878537,-0.7735162559936333,-0.666062,-0.6385343734961263,-0.6728932713908081
Qwen/Qwen3-1.7B,3,113,20,2.591108513409164,2.544635,2.62433667450861,2.711133599571731,-0.767941335689626,-0.713019,-0.6977360211918822,-0.7423129794461778
Qwen/Qwen3-4B,1,102,20,2.800000000049386,2.68739,2.6648138910348265,2.6810260516800564,-0.7500352484529842,0.018035,0.027957418238936105,0.0630387352950542
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,140,32,-1.8439661702001668,-0.808676,-0.9498457475221475,-0.9709384342016698,-0.7031481848956245,-1.00128,-0.998123159064068,-1.077895375087901
ai-forever/mGPT,0,95,20,-4.874630504795702,-2.220946,-3.2155286396111493,-5.153935279519285,2.2683842054189363,1.655505,1.7587634033178245,1.8929336386208668
allenai/OLMo-1B-hf,3,180,39,-4.393973555893634,-2.888001,-3.6544497213627967,-5.660898146119704,2.2492368076546425,2.093809,2.25794400522221,2.774354414811285
allenai/OLMo-2-0425-1B,2,100,23,-0.5319336153228588,-0.898549,-1.0287445111367775,-1.089873829101135,-0.14040826187423583,-0.307315,-0.3832609241738534,-0.3991040540978572
allenai/OLMo-2-0425-1B-DPO,1,86,21,0.20936679178238513,-0.214443,-0.29308776377556095,-0.25322274190326993,-0.5086609440740105,-0.443611,-0.4016221300103805,-0.429359305164613
allenai/OLMo-2-0425-1B-Instruct,2,85,20,0.33554669579348423,0.186978,0.03208497511837958,0.07525362052483678,-0.8231357358361404,-1.013732,-0.9267585717697676,-1.0425354756151868
allenai/OLMo-2-1124-7B,0,97,20,0.7873319446073623,1.165159,1.105869615506975,1.1980644104420004,-0.3357667943198137,-0.778555,-0.8917039105654967,-0.9805498837843521
arcee-ai/raspberry-3B,3,97,20,1.0048130573318295,1.22509,1.1547635227595536,1.2405242880890377,-0.21631897075121212,0.015766,-0.06572370288140443,-0.025619494134370854
bigscience/bloom-1b1,4,134,32,-3.690490754744461,-2.213582,-2.7396390868711284,-3.3578692425058065,0.6272974580848376,0.363261,0.4526382746017541,0.46225162497084976
bigscience/bloom-1b7,0,103,21,-4.616735879599082,-1.934699,-2.7512569562909364,-4.123353530753959,0.5036104907095882,0.26399,0.2536994373737222,0.2679113860489496
bigscience/bloom-3b,2,139,30,-3.4097953431851638,-2.404124,-3.282692101909245,-5.439004363971945,0.2161970680551367,0.169591,0.1681626340174472,0.19891815131011886
bigscience/bloom-560m,0,99,20,-5.084105365329581,-2.170825,-3.1700047555803357,-4.689388179221158,0.8969650033945289,1.081926,1.0618599955784616,1.152400064634485
bigscience/bloom-7b1,4,117,28,-2.1636210640407887,-1.367221,-1.6558367145556105,-1.7888683760625776,0.030621603346059886,-0.535673,-0.497245542015179,-0.5452291072807854
bigscience/bloomz-1b7,0,100,20,-5.094325573523744,-2.043369,-2.9283407193728377,-4.5276104270803135,1.8198254800269509,1.653374,1.7423826118390837,1.865769228332991
bigscience/bloomz-3b,1,141,31,-4.734389080233709,-3.123002,-3.775286047119229,-5.322493898848144,1.1968500605026646,0.989272,0.9964149840147012,1.0922293596968784
bigscience/bloomz-7b1,0,109,20,-4.874505357366399,-2.243745,-3.2611331441822347,-4.905405461250869,2.6792955445083946,1.936573,2.050354972679129,2.268773923685639
deepseek-ai/deepseek-coder-6.7b-base,3,85,20,-0.34150759793197105,0.281643,0.19928487548819043,0.2975119732621817,-0.07032220977480447,-0.319421,-0.3395659378917665,-0.34945361647119155
deepseek-ai/deepseek-llm-7b-base,4,108,23,-1.5665422778115177,-1.656962,-2.1139451846041313,-2.457136284403486,0.09244970842611458,-0.134291,-0.10318085789271507,-0.09442995982713846
deepseek-ai/deepseek-math-7b-base,2,133,26,-3.889662366824406,-2.294273,-2.6549479268435623,-3.023955321152361,0.8117355397528446,1.17784,1.0428375374604688,1.1339028747803532
facebook/opt-1.3b,1,84,22,-1.9072228054215032,-1.327134,-1.492979251702152,-1.6209553406826416,0.915151019253046,0.58263,0.5506764056252768,0.6152677253387616
facebook/opt-2.7b,2,103,20,-1.6787993061154007,-1.844682,-2.103759308590748,-2.318818225842611,1.089011089383146,1.302649,1.3890961969145084,1.4942132453570636
facebook/opt-6.7b,0,111,20,-2.362107312165851,-1.666252,-2.034708217165801,-2.1807150371557715,1.0611901890182505,1.21755,1.212461019062082,1.2711134807849331
google/gemma-2-2b,3,93,20,-0.5390990801225133,-0.364112,-0.5298956342055193,-0.47032446763209645,-0.051675028423251154,-0.135413,-0.16555230122923564,-0.15843790393998528
google/gemma-2b,0,104,20,-1.6088588939655,-1.814545,-2.1413267468475823,-2.342587700123129,0.770454450500768,0.822289,0.7810868591757324,0.8801150815092861
h2oai/h2o-danube-1.8b-chat,2,105,23,-1.5926153470666948,-1.339832,-1.5432368708786137,-1.6327661333503947,-0.08458289102992182,-0.598509,-0.6440722562962832,-0.6612031979486309
h2oai/h2o-danube2-1.8b-base,3,109,24,-0.8386223677678664,-0.565603,-0.7141640576864337,-0.6987634690823622,-0.30613167814083836,-0.463089,-0.47046660684600183,-0.49574003993081217
