model,mean_scenarios,online_conceptual_understanding_sd,online_conceptual_understanding_mean,full_conceptual_understanding,online_quantitative_procedural_sd,online_quantitative_procedural_mean,full_quantitative_procedural,batch_conceptual_understanding_sd,batch_conceptual_understanding_mean,batch_quantitative_procedural_sd,batch_quantitative_procedural_mean,mwle_conceptual_understanding_sd,mwle_conceptual_understanding_mean,mwle_quantitative_procedural_sd,mwle_quantitative_procedural_mean
01-ai/Yi-1.5-6B,18.0,0.33894760457847223,0.24366737500000002,0.006522861440420097,0.1225355677895198,0.446801,0.31602068214902423,0.3635568032732345,0.23110304393070666,0.11744053193808678,0.3103446746725206,0.3591231859434886,0.2186316727251285,0.09863902947039001,0.38436832592127546
01-ai/Yi-1.5-6B-Chat,17.125,0.1973512775138772,1.209876125,1.3998502739263228,0.10970870927647165,0.6920228749999999,0.8449435704113716,0.1929802900434229,1.23449551650942,0.12348767483538912,0.6582602046650432,0.1760496980337268,1.2624721209204117,0.10488430605890034,0.6992814249604395
01-ai/Yi-6B,22.75,0.26664606266734936,-1.1321075,-1.2228242651405745,0.5711876434375025,-0.09512475000000001,-0.8086055421792853,0.1989627719219471,-1.3367719061067833,0.49814812735732095,-0.43904535163247405,0.21388772787474586,-1.3128357087970475,0.5802489644649339,-0.3320382808138771
01-ai/Yi-6B-200K,18.75,0.12440463222830321,-1.1111711249999998,-0.8361178127044461,0.07404897774351359,-0.868162125,-0.9901290183559575,0.15416616779873993,-1.2878144199982304,0.13178469754984798,-1.1083024262482002,0.1478878030677583,-1.3234407839571634,0.17087873064920758,-1.1388467350489018
01-ai/Yi-6B-Chat,15.625,0.12705131432509612,0.37919037499999997,0.36444796173883093,0.10009463220092024,0.15035975000000001,0.019391262374195327,0.11380715060028271,0.31465886403831905,0.09049274933626993,0.06761458806184063,0.10681025309378482,0.3328637761985616,0.08338546844424632,0.1592109091253454
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,27.375,0.2518142396573998,-1.6579086250000001,-4.643802289634604,0.19850936989279466,-1.460877375,-2.504749077801772,0.2547051954308679,-2.3538477440651127,0.17351942776988355,-2.285001135646338,0.2682090559750377,-2.8016209330449002,0.33871538710535015,-3.3136958925152733
BEE-spoke-data/smol_llama-220M-openhermes,24.25,0.34856318741045267,-1.2747256249999999,-4.189312827639286,0.19074557006454965,-1.4216820000000001,-2.505949844054141,0.2695452021389665,-2.04492908857034,0.20202538956560215,-2.23876932617457,0.1487276049927673,-2.624510234751504,0.40841121674820174,-3.1756929950746593
BSC-LT/salamandra-2b,26.625,0.253642010786364,-1.1735995,-2.0897143491524597,0.20742079860843118,-1.452563125,-2.447022700555983,0.20020683742425285,-1.5330851010503022,0.16193547584111384,-2.272226396733277,0.1874372324027113,-1.6185513087827434,0.2490216835703365,-3.257359143576059
BSC-LT/salamandra-2b-instruct,17.0,0.17467110005217665,-0.83123225,-1.183294371673964,0.11311810192642689,-0.65689325,-1.2210040663702681,0.2242037341545713,-0.9052581168204688,0.12788241671812148,-0.868777251047919,0.18784888178557432,-0.9859278204023091,0.1499067139549505,-0.8257094610382416
BSC-LT/salamandra-7b,20.75,0.24555977591973405,-0.8110919999999999,-0.9652671883717905,0.1091463836837941,-1.1087885000000002,-1.4499649445627236,0.29800705986587434,-1.1324651828682661,0.2407462211989633,-1.5505670211933145,0.36065924283138984,-1.1668878044168856,0.5009512134502834,-1.775613114599295
BSC-LT/salamandra-7b-instruct,15.375,0.14187746947977461,0.121797625,0.19926530632560036,0.17944233173079416,-0.088237375,-0.39207012869364477,0.16499685493246147,0.0469508704253601,0.11614830617119723,-0.21492093439547416,0.1605368780856085,0.1263261913027973,0.15062153208730822,-0.11383201205991697
HuggingFaceTB/SmolLM2-360M,19.25,0.2553158757414222,-1.078623125,-2.1598322855305048,0.16275026745273727,-1.05319925,-1.5645890225515955,0.15296909714348014,-1.4839993778233724,0.1684939396553008,-1.3511191119715602,0.12861246037352664,-1.4769812006487473,0.2235549636980729,-1.4317461382180015
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,16.625,0.21097695209415054,1.63658125,2.2048078962434614,0.327246275441658,1.80096675,1.9964928781394669,0.1644924305272591,1.9993276712871737,0.3000874692430219,1.8717325172735761,0.26596364473100653,1.9900102717759705,0.33502427749968683,1.8979241896147738
OpenBMB/MiniCPM4-0.5B,15.0,0.24001972829771595,-0.041764125000000006,-0.3815784204510024,0.10308252136031597,-0.0720975,0.023359074060712793,0.2759099043338144,-0.10243621079911552,0.11551867389438243,-0.12342366440276006,0.2514771309907631,-0.07166801980289286,0.11697966405371624,-0.04912438184698715
Qwen/Qwen1.5-1.8B,18.25,0.31214364504583464,-1.1142715,-2.549073977659976,0.07810973114221667,-1.0429521250000002,-1.3649698474190781,0.30928498000858584,-1.4454627517696115,0.11501073104775476,-1.4038838553807207,0.35548752067537903,-1.4635832632583226,0.1852943206289882,-1.5215040828980464
Qwen/Qwen1.5-1.8B-Chat,17.375,0.15722861760501608,-0.062482625,-0.45501032381445633,0.09937622498419516,-0.582801125,-0.8270662843081394,0.1747851561230594,-0.10865054358281727,0.11595481290005528,-0.6939884672985074,0.1512405271719856,-0.03939353659500057,0.12833755780446127,-0.6538811329714795
Qwen/Qwen2-0.5B,18.25,0.20924610792941736,-1.182128125,-2.086940410929363,0.07059065184702222,-0.68712525,-0.9669308749222638,0.20858168570915336,-1.4926809468294495,0.07221605858958248,-0.8149634287116214,0.2486008584677828,-1.5044991487545358,0.07723747585864796,-0.8027128067113132
Qwen/Qwen2.5-0.5B-Instruct,15.875,0.2901245246027988,-0.04874850000000001,-0.2018761156916082,0.07290351852405685,-0.29653375,-0.10769376073988815,0.33056443362991456,-0.13374163100094064,0.08433369860917331,-0.37899456456957803,0.2763711126474545,-0.05772209219326842,0.07618550898323649,-0.3088547368966603
ai-forever/mGPT,22.75,0.1828378692537035,-1.361452625,-5.085499303166763,0.12842558811525845,-1.390564,-2.5038316513397896,0.22157486016502073,-2.0737119738106817,0.12685639501784748,-2.2322855741898904,0.1461594213278304,-2.6147249878576777,0.2496126024491846,-3.1783814980518024
allenai/OLMo-1B-hf,32.625,0.40501979074529104,-1.555988875,-5.0854993031667535,0.1811218450956686,-1.5635021249999999,-2.503831651339786,0.3124124873689536,-2.2021182795101346,0.14602729586516955,-2.3313381940447604,0.14957190183778443,-2.755691541728175,0.3110540155356679,-3.3687720658544196
