model,fold,n_admin,mwle_converged,theta_ref_correctness,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,se_correctness,theta_ref_scaffolding,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,se_scaffolding
EleutherAI/pythia-410m,0,100,True,-3.3240492205020105,-2.5653002038972654,-2.7368854176983195,-2.970446959077447,0.3473598633432072,0.6461214026449051,0.6567613269700966,0.5992281607570933,0.6095314114660801,0.11301355405284663
LLM360/Amber,0,100,True,-4.325306052957129,-2.491285148691437,-2.850346782180741,-3.5096587223668565,0.32328669467853194,0.25324462458116315,0.4222280717960443,0.33956429816950223,0.33701544414584744,0.1117252632413559
Qwen/Qwen2-7B,0,4,True,1.4000014578779418,1.1371064547707737,1.5878204706460817,1.1954118410991084,0.25114655731654356,0.018342681577807544,-0.1943681863711886,-0.2671484929236587,-0.12994578622682273,0.2764036800439948
Qwen/Qwen3-4B,0,4,True,2.6000000000005885,1.1371064547707737,1.5878204706460817,1.1954118410991084,0.25114655731654356,-0.2590949209018105,-0.1943681863711886,-0.2671484929236587,-0.12994578622682273,0.2764036800439948
allenai/OLMo-2-0425-1B,0,8,True,-0.4443626681457693,0.08096381257861641,-0.28038256856747124,0.01546044619584339,0.2906028869183325,-0.27449125368234834,-0.021689990143219984,0.054424404802360465,0.040658985209464524,0.19118144318098063
bigscience/bloom-3b,0,49,True,-3.058158729168868,-1.384231984478917,-2.1658901035506513,-2.6907262719574736,0.29711040543523515,-0.24517939627977586,-0.044803295051408655,-0.11820769819093441,-0.10325742000274754,0.135858255629442
google/gemma-2-2b,0,7,True,-0.6901920110692912,0.16960445918526448,-0.13869364213788957,0.2194969511647219,0.26524032005526904,-0.24359811288800182,-0.5913975481473125,-1.2393041065382762,-0.7760322447102549,0.26579810203763177
h2oai/h2o-danube3-4b-base,0,7,True,0.2177964240022158,0.13587164987329037,-0.15251771042481183,0.18923477757428558,0.2959297965681593,-0.7510675474267667,-0.5758934515596441,-1.2053757254885802,-0.7404573145604296,0.2665433987110522
ibm-granite/granite-3.0-2b-base,0,8,True,0.7999579311264986,0.23845287286440686,0.06777880049551264,0.2792794380179924,0.2806735244714658,-0.009905488857447825,0.05376552264899015,0.11808548238541702,0.0803779100805369,0.19059553856204076
meta-llama/Llama-3.2-1B,0,78,True,-2.4366346941790225,-2.098186577858991,-2.546556556444722,-2.674136575593924,0.29998252708768597,-0.047805868243831276,0.017779070890002104,-0.06556822536126185,-0.05717960023411923,0.12280845796830869
microsoft/phi-1_5,0,39,True,-1.9514835204546013,-0.6876391201201267,-0.9523414458202711,-1.0306045113100166,0.29313500017210725,-0.17214480594466947,-0.3795632245091237,-0.50139859771692,-0.4748232215830507,0.14813234672429543
openai-community/gpt2-medium,0,100,True,-5.166446420296984,-2.6418272131548104,-2.736815110767681,-2.9687817922698954,0.35444983978041456,0.5794635859732167,0.685783572100245,0.5978909271191166,0.6054952680232744,0.1128585544009049
openai-community/gpt2-xl,0,100,True,-2.9777297339420485,-2.190454769952032,-2.2772999113296954,-2.4334000400422364,0.30257947937839785,0.6208173161209256,0.5910948724755998,0.551160596854957,0.5582399866197507,0.11303736834966378
stabilityai/stablelm-2-zephyr-1_6b,0,23,True,-0.9921160639021556,-0.6156835163071295,-1.4677349924493892,-1.5654587413087955,0.2903846827883769,-0.9340844185669062,-0.5848260785331132,-1.0016684235557307,-0.9972893206386041,0.19001548066259924
stabilityai/stablelm-3b-4e1t,0,37,True,-1.6624178298403232,-0.38079584277291806,-0.4748079130162601,-0.39082271820269016,0.290021839947187,-0.3130895988147685,-0.21411728428819107,-0.2493534310796244,-0.22026317959238692,0.15274439671968804
tiiuae/Falcon3-3B-Base,0,10,True,1.512965575714221,0.6613135430540911,0.5886659710618686,0.6916350477329268,0.26000533247915475,-0.5731273132348563,-0.5360660830333959,-0.8064397999507128,-0.6071439884817581,0.21151486309646
togethercomputer/RedPajama-INCITE-Base-3B-v1,0,100,True,-3.281106257946922,-2.308082290135674,-2.426807070219279,-2.5619756578397577,0.31228719962111934,0.32952750966960714,0.44556474987046996,0.34841180798397153,0.3457506822403548,0.11148670695619592
01-ai/Yi-6B-Chat,1,6,True,-0.1986786699653268,0.19356025828722848,0.14882979536545551,0.23377657769647708,0.16726695815383286,-0.6638330784217461,-0.2531961974815254,-0.43868385005335475,-0.19510090776889175,0.2994243640637094
EleutherAI/pythia-6.9b,1,4,True,-2.272404388793266,-0.5732758262221233,-0.9969851104514552,-0.4802296311859691,0.28920128230394015,0.40073319012158154,0.5856366992340102,1.1046810662076716,0.8224695567955339,0.29609119332003986
EleutherAI/pythia-70m,1,7,True,-5.580955324347467,-0.8288738887892847,-1.408422607221722,-1.546574028645444,0.25056465156469426,0.5487665125385109,-0.49833160334480303,-1.044513439769669,-0.30708356054277486,0.29884073432350694
Qwen/Qwen2-1.5B,1,5,True,-0.6047236873144038,-0.5040714833807823,-0.6384309327693025,-0.4521690486340218,0.2738568034305626,-0.7756375051076553,-0.2522364260785803,-0.4326547298057454,-0.19137938216543218,0.2945278917791959
Qwen/Qwen2.5-0.5B,1,5,True,-1.1879528822168461,-0.125252050648639,-0.22348530794492585,-0.18178245675302115,0.21687064350206567,-0.7464090586828983,0.28134688981747996,0.34902610528966543,0.24054246452871622,0.29609119332003986
Qwen/Qwen2.5-0.5B-Instruct,1,14,True,-0.6101071169560426,-0.45779688235615446,-0.5024425961577769,-0.4409507634906683,0.22386079105626902,-0.8494377322078106,-0.19039751671268712,-0.21742494689197095,-0.1731906564294234,0.29969644619545005
Qwen/Qwen2.5-1.5B-Instruct,1,7,True,0.9980220755211113,0.2762339883986411,0.22832310833389538,0.17980567111524384,0.1558449361717511,-1.0235501959898095,-0.5282184111212777,-1.3587805806736597,-1.2803997612864588,0.2985201192222004
bigscience/bloom-560m,1,4,True,-5.418672023351279,-0.5732758262221233,-0.9969851104514541,-0.48022968182281983,0.28920128230394015,0.4105996539473359,0.28134688981747996,0.34902610528966516,0.2405424524208162,0.29609119332003986
h2oai/h2o-danube2-1.8b-base,1,20,True,-1.2976866825155042,-0.80066489867463,-1.0345575133652283,-0.9910490411926328,0.20811933328466004,-0.4124495687296103,-0.6021123996029616,-0.6376420668331026,-0.6594915413671478,0.29974766119019347
ibm-granite/granite-3.1-2b-base,1,18,True,0.5089948559855212,-0.2567004714222504,-0.2922638810463376,-0.24859899753091125,0.1970383520813475,-0.3910908178962119,-0.5894011793012508,-0.6436357936801964,-0.7236555695741892,0.2991530990386499
lmsys/vicuna-7b-v1.5,1,4,True,-0.1001157231708615,-0.5732758262221233,-0.9969851104514552,-0.4802296311859691,0.28920128230394015,0.20069796510496146,0.5856366992340102,1.1046810662076716,0.8224695567955339,0.29609119332003986
microsoft/Phi-3-mini-4k-instruct,1,34,True,0.4001444807107907,0.28096398562562375,0.27763954066729785,0.2858686175231293,0.11959509952459,0.35437271921125674,-0.2218695308032331,-0.21275344984500313,-0.20700970112837172,0.28782605962933644
mistralai/Mistral-7B-v0.1,1,6,True,0.40282956185918395,-0.39856469391759386,-0.6663988146773525,-0.4907071216985443,0.24781704085852072,0.04826883527513871,-0.2838465411493981,-0.3837072454448363,-0.17821474331621395,0.28921349998056134
mistralai/Mistral-7B-v0.3,1,9,True,0.5999855341159015,0.49595443331325817,0.35255300376087007,0.2825491663166575,0.17318859403975756,0.2075177050758275,-0.48633419176197473,-0.6306554682091465,-0.8446917231544688,0.2983662130595055
openai-community/gpt2,1,4,True,-5.1331285406123115,-0.5732758262221233,-0.9969851104514541,-0.48022968182281983,0.28920128230394015,1.1676592451521561,0.28134688981747996,0.34902610528966516,0.2405424524208162,0.29609119332003986
openai-community/gpt2-large,1,4,True,-3.3488120950180784,-0.5732758262221233,-0.9969851104514552,-0.4802296311859691,0.28920128230394015,1.013561957227204,0.5856366992340102,1.1046810662076716,0.8224695567955339,0.29609119332003986
stabilityai/stablelm-zephyr-3b,1,15,True,-0.8010292883966035,-0.49889042609873024,-0.5530977925944436,-0.48894532993412776,0.2187967335092195,-0.8051526635354038,-0.30182739836930184,-0.3409012207224863,-0.31330849596190447,0.29984028850518185
EleutherAI/pythia-1b,2,74,True,-2.1653144888379545,-2.1287064216561027,-2.9229969643949745,-3.9406879852863903,0.2995585682392559,0.8890785679413151,0.9755551372914283,0.9239935364713774,0.9554290561297933,0.14900964741017297
HuggingFaceTB/SmolLM2-360M-Instruct,2,28,True,-1.1711241587056538,-0.6938226697997839,-0.9362290280008273,-0.9286795756214906,0.2949468291691279,-0.6039723735912236,-0.08458955845980302,-0.06756744476616881,-0.04867525631361221,0.2359843972784744
Qwen/Qwen2.5-Coder-7B,2,11,True,1.9118219859569137,1.0036942838939695,0.9943435111140452,1.036293670109498,0.28583604196510065,0.019883109542361246,0.3493074897547987,0.3459841048183002,0.3317259404940755,0.19142501071048335
Qwen/Qwen3-1.7B,2,9,True,2.6000114013065088,1.4940798117357272,1.8261731072812408,1.5253208179697904,0.2580620208555133,-0.37215740361742966,0.4854155558604273,0.42932272065153526,0.5477862763341534,0.14485308223566726
bigscience/bloom-1b7,2,35,True,-4.446729026935274,-1.6748280702197325,-2.6074257823076064,-3.3893077290405054,0.2998068099115577,0.04567092127533287,0.4117539586456636,0.19246898066355936,0.23151454043343334,0.20020882418041727
bigscience/bloom-7b1,2,37,True,-2.407246960782765,-1.248303603354901,-1.8686426547151946,-2.151278691244035,0.2942511501524624,0.06180705585879644,0.30746469471060867,0.3689132423141674,0.3974176705180844,0.19513241715249274
