model,n_admin,theta_correctness,se_posterior_correctness,se_param_correctness,se_total_correctness,bar_inflation_correctness,theta_scaffolding,se_posterior_scaffolding,se_param_scaffolding,se_total_scaffolding,bar_inflation_scaffolding,theta_presentation,se_posterior_presentation,se_param_presentation,se_total_presentation,bar_inflation_presentation
01-ai/Yi-6B,289,-0.9695053388070212,0.314587640745839,0.2706792589177633,0.4150092106427309,1.3192165135884162,-0.42166165471357175,0.30942481317365517,0.22988278412950347,0.3854734873459954,1.2457743236307952,-0.5345060628241566,0.3165746705862465,0.06502831623762952,0.3231844735897621,1.0208791277940061
01-ai/Yi-6B-Chat,205,-0.18619895655944474,0.2899226967725152,0.2029689246799786,0.35390896356209267,1.220701129997365,-0.0538837339213908,0.32989692008429367,0.20551451481933306,0.38867492031584533,1.178170806252247,0.5742806379701286,0.2654064521954544,0.05182700536406912,0.27041934722202343,1.01888761552367
EleutherAI/pythia-1.4b,304,-2.0355445039495965,0.34035840909447806,0.313131314635179,0.46248790994628125,1.3588261596848104,1.2346892296026728,0.31246394331569755,0.1936969522241062,0.3676305552770378,1.1765535292678642,-1.1898825497870682,0.3108711294596685,0.05874611176416242,0.31637314168389424,1.0176986915246484
EleutherAI/pythia-160m,310,-3.396720708518606,0.51984921834514,0.5084327247833127,0.7271499470154947,1.3987708769290155,1.7159095896271568,0.3765324274831287,0.23474461806135546,0.4437135389585371,1.1784205199123747,-3.4629000500321276,0.5342150198244601,0.03860199764449166,0.5356078804761871,1.0026073034265954
EleutherAI/pythia-1b,317,-2.341218436385516,0.37154570604412646,0.32207674733560754,0.4917109342429891,1.3234197737830706,1.0486067825600969,0.3362575205909314,0.1715129398378566,0.3774729244406609,1.1225709503159913,-1.957886998116206,0.3644230555563257,0.07237351223995676,0.37154015758051784,1.0195297797866472
EleutherAI/pythia-2.8b,313,-2.602175658111053,0.4030843942891102,0.387669326760004,0.5592535523624088,1.3874353864498339,0.6847740695580248,0.3442550525318056,0.21083325298109445,0.40368577105995007,1.172635719043379,-2.574089428412777,0.42178127810264937,0.06753450664269112,0.42715378512355023,1.0127376611998253
EleutherAI/pythia-410m,313,-3.0853351440226775,0.46752741571841044,0.41456012371298423,0.6248535673429897,1.3365067936878723,0.9401355155516433,0.34337760570814796,0.16816051173213373,0.3823429583605188,1.1134766857378848,-2.6382620919212454,0.4346357246346872,0.06780867354156418,0.43989342952149907,1.0120968079447012
EleutherAI/pythia-6.9b,287,-1.7489020531306467,0.32671187106334837,0.2996236813135336,0.4433001207958192,1.356853423639035,0.3778565650682171,0.3187659809296631,0.19529685021707519,0.3738350041164698,1.172756901555809,-1.2290525276373176,0.3162126031660265,0.07495479547963561,0.3249748171265413,1.0277098821260904
EleutherAI/pythia-70m,308,-3.3394678970701874,0.5269196164337432,0.5091482022921571,0.7327183456690697,1.3905694964028814,1.415488374851471,0.39695553440522574,0.2928952883127515,0.4933166794370004,1.2427504762621748,-3.4461128646196877,0.5325642013553683,0.04250979534414904,0.5342580942442358,1.003180636033283
HuggingFaceH4/zephyr-7b-beta,161,1.141963156762055,0.17772611224605156,0.0655426113104209,0.18942651575607103,1.0658339023014296,0.4502882983359893,0.27745892897148644,0.18607313622361887,0.3340758436195257,1.2040551185644401,0.48296697292614915,0.3004404145281143,0.062077795166646035,0.30678672613817115,1.021123361915289
