model,pirt,actual,items,fold,n_bank
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.1310589518423271,0.1064814814814814,46,0,432
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,0.3228539342978041,0.1967592592592592,8,0,432
Novaciano/LEWD-Mental-Cultist-3.2-1B,0.3966319044753169,0.1875,8,0,432
godlikehhd/alpaca_data_ins_ans_max_5200,0.4120646545423289,0.349537037037037,8,0,432
oopere/pruned20-llama-3.2-3b,0.2805168413321592,0.3032407407407407,8,0,432
agentlans/Llama-3.2-1B-Instruct-CrashCourse12K,0.3820898167635265,0.2013888888888889,8,0,432
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep,0.1535027974291005,0.136574074074074,48,0,432
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3,0.2338669769080387,0.1226851851851851,13,0,432
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.4098600975981887,0.3703703703703703,8,0,432
Sakalti/SJT-0.5B,0.3228539342978041,0.1643518518518518,8,0,432
Daemontatox/Zirel_1.5,0.3574817318721707,0.3009259259259259,8,0,432
Youlln/ECE-PRYMMAL0.5B-Youri,0.4366496013451895,0.3425925925925926,8,0,432
J-LAB/Thynk_orpo,0.5517694967618056,0.4421296296296296,8,0,432
ontocord/wide_3b_sft_stage1.1-ss1-with_math.no_issue,0.3598059787395672,0.2731481481481481,8,0,432
meditsolutions/Llama-3.2-SUN-2.5B-chat,0.3598059787395672,0.2407407407407407,8,0,432
lalainy/ECE-PRYMMAL-0.5B-FT-V5-MUSR,0.3771957434825077,0.1921296296296296,8,0,432
nvidia/Nemotron-Mini-4B-Instruct,0.3484171870930735,0.324074074074074,8,0,432
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.1323685075195821,0.0879629629629629,38,0,432
pankajmathur/orca_mini_v9_0_3B-Instruct,0.3771957434825077,0.3425925925925926,8,0,432
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,0.3228539342978041,0.2152777777777778,8,0,432
DeepMount00/Lexora-Lite-3B,0.3867172897887192,0.2939814814814814,8,0,432
Sicarius-Prototyping/Micropenis_1B,0.3434778248869471,0.2314814814814814,8,0,432
tinycompany/ShawtyIsBad-e5-large,0.5516553869865006,0.3125,8,0,432
Wladastic/Mini-Think-Base-1B,0.4106426442854993,0.2708333333333333,8,0,432
BlackBeenie/Neos-Llama-3.1-base,0.1277691425196745,0.2337962962962963,24,0,432
vhab10/llama-3-8b-merged-linear,0.4253182244145986,0.4375,8,0,432
iFaz/llama32_3B_en_emo_1000_stp,0.4345684808636261,0.3935185185185185,8,0,432
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.3595125974274958,0.1759259259259259,8,0,432
yasserrmd/Coder-GRPO-3B,0.3867172897887192,0.3055555555555556,8,0,432
Kimargin/GPT-NEO-1.3B-wiki,0.1809201640287508,0.2847222222222222,18,0,432
MaziyarPanahi/calme-2.1-phi3.5-4b,0.4566424817685743,0.4097222222222222,8,0,432
OpenBuddy/openbuddy-zero-3b-v21.2-32k,0.3303632304952679,0.2731481481481481,8,0,432
Sakalti/Sailor-japanese,0.4328093748688267,0.3472222222222222,8,0,432
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.336019990562347,0.3263888888888889,8,0,432
Sakalti/Saba1.5-Pro-3B,0.3595125974274958,0.4421296296296296,8,0,432
bunnycore/Llama-3.2-3B-ProdigyPlus,0.4342308300603245,0.2893518518518518,8,0,432
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.2848677004961177,0.3541666666666667,8,0,432
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.3700505565297712,0.3032407407407407,8,0,432
Nexesenex/Nemotron_W_4b_Halo_0.1,0.3771957434825077,0.3217592592592592,8,0,432
LEESM/llama-2-7b-hf-lora-oki10p,0.3441829378670515,0.2291666666666666,8,0,432
kavonalds/Lancer-1-1b-Instruct,0.3228539342978041,0.199074074074074,8,0,432
cjvt/GaMS-1B,0.1308408548510765,0.2199074074074074,34,0,432
JayHyeon/Qwen_0.5-MDPO_0.5_1e-5-3ep_0alp_0lam,0.1310148442228298,0.1111111111111111,34,0,432
Spestly/Athena-1-3B,0.5184556630668664,0.386574074074074,8,0,432
ibm-granite/granite-3.0-3b-a800m-base,0.4143605781027774,0.2175925925925926,8,0,432
appvoid/arco-2-instruct,0.33215766247338,0.2222222222222222,8,0,432
macadeliccc/magistrate-3.2-3b-base,0.3771957434825077,0.3564814814814814,8,0,432
akhadangi/Llama3.2.1B.BaseFiT,0.1292863380396506,0.2129629629629629,39,0,432
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.1305467241403333,0.1041666666666666,48,0,432
noname0202/llama-math-1b-r32-0to512tokens-test,0.4106426442854993,0.25,8,0,432
cognitivecomputations/Dolphin3.0-Llama3.2-1B,0.3940046349578067,0.2106481481481481,8,0,432
google/gemma-2-2b,0.3441829378670515,0.3611111111111111,8,0,432
dwikitheduck/gemma-2-2b-id,0.3595125974274958,0.3981481481481481,8,0,432
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.1323685075195821,0.0879629629629629,38,0,432
Triangle104/Minerva-1.5b,0.5268928843046189,0.4027777777777778,8,0,432
sumink/Qwenftmodel,0.3446785643982546,0.2893518518518518,8,0,432
LLM4Binary/llm4decompile-1.3b-v2,0.2045213197895881,0.3611111111111111,14,0,432
jaspionjader/test-15,0.5350634609227385,0.4675925925925926,8,0,432
JayHyeon/Qwen_0.5-MDPO_0.5_4e-6-3ep_0alp_0lam,0.1305467241403333,0.1134259259259259,48,0,432
microsoft/Phi-3.5-mini-instruct,0.4566424817685743,0.4097222222222222,8,0,432
Sakalti/Qwen2.5-1B-Instruct,0.37543591095996,0.2638888888888889,8,0,432
bhuvneshsaini/merged_model,0.4266884711160745,0.261574074074074,8,0,432
Rakuten/RakutenAI-2.0-mini-instruct,0.3955140987620726,0.2199074074074074,8,0,432
bunnycore/Llama-3.2-3B-Bespoke-Thought,0.3588491070488663,0.2986111111111111,8,0,432
qingy2024/Qwen2.5-Coder-Draft-1.5B-Instruct,0.3771957434825077,0.2800925925925926,8,0,432
JayHyeon/Qwen2.5-0.5B-SFT,0.3228539342978041,0.1967592592592592,8,0,432
Sakalti/Llama3.2-3B-Uranus-1,0.4817901061852048,0.412037037037037,8,0,432
ontocord/RedPajama-3B-v1-AutoRedteam,0.2694104744593535,0.2847222222222222,9,0,432
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.5792923351642235,0.4791666666666667,8,0,432
google/recurrentgemma-2b,0.1276647997819308,0.1944444444444444,41,0,432
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,0.1323685075195821,0.0810185185185185,38,0,432
BramVanroy/fietje-2-instruct,0.336019990562347,0.2638888888888889,8,0,432
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_0alp_0lam,0.1323685075195821,0.0810185185185185,38,0,432
brgx53/3Blareneg-ECE-PRYMMAL-Martial,0.5110954567265302,0.449074074074074,8,0,432
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_math.no_issue,0.1282061082121364,0.2314814814814814,46,0,432
akhadangi/Llama3.2.1B.0.01-First,0.1278303006540434,0.1944444444444444,28,0,432
NotASI/FineTome-v1.5-Llama3.2-1B-1007,0.3595125974274958,0.2592592592592592,8,0,432
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.1305467241403333,0.1041666666666666,48,0,432
