rank,model,theta,se_ability,se_param,se_judge,se_total,weak
1,tiiuae/Falcon3-3B-Instruct,2.711261860532776,0.254647308344723,0.258,0.0764881894661136,0.3704857551580311,False
2,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.6648601743919653,0.1952831297977715,0.1653,0.0569422965808778,0.2621106940273859,False
3,ibm-granite/granite-3.1-2b-instruct,2.171282890671704,0.1300172252797687,0.1245,0.0393416047852516,0.1842620165322442,False
4,meta-llama/Llama-3.2-3B-Instruct,1.333910431678072,0.109242091413307,0.0782,0.0531585821383643,0.1444815192033727,False
5,pankajmathur/orca_mini_v9_5_3B-Instruct,1.3087467000461923,0.1127577128327619,0.0868,0.0539650415959851,0.1521866206922671,False
6,nvidia/AceInstruct-1.5B,1.2882777261414369,0.12298474357746,0.0818,0.0714571267593895,0.1640811022559303,False
7,ibm-granite/granite-3.1-2b-base,1.2569255704296232,0.1061410779943898,0.0698,0.0652420271040417,0.1428092802952794,False
8,tiiuae/Falcon3-3B-Base,1.24049867794437,0.1110079984302923,0.074,0.0575605726717131,0.1452996739218479,False
9,arcee-ai/raspberry-3B,1.2102857593534924,0.1058522551413652,0.072,0.0611490154884863,0.1418728374768188,False
10,ibm-granite/granite-3.0-2b-base,1.130391782472452,0.1299392710663762,0.1009,0.1906467162224072,0.251815794920907,False
11,01-ai/Yi-1.5-6B-Chat,1.0770063965621703,0.1069920150411082,0.0874,0.0672189920713748,0.153637378842677,False
12,tiiuae/Falcon3-1B-Instruct,0.9410243983940856,0.1231398956901442,0.0725,0.0859660940868826,0.1667628653002051,False
13,ibm/PowerLM-3b,0.4839491823314868,0.1485417904430318,0.0665,0.1702334380423888,0.235512923075897,False
14,allenai/OLMo-2-0425-1B-DPO,0.3010875245203597,0.1458693617466641,0.097,0.2046465146807913,0.2693827512432347,False
15,01-ai/Yi-1.5-6B,0.2485127536018561,0.1525818660314457,0.0896,0.3955260041794969,0.4333015183724117,False
16,01-ai/Yi-6B-Chat,0.2428060459508672,0.1511256499706249,0.1017,0.2488093077747086,0.3083632982609531,False
17,allenai/OLMo-2-0425-1B-Instruct,0.0485505367034502,0.1546849813355461,0.0877,0.2898539165380012,0.3400500351171822,False
18,stabilityai/stablelm-2-1_6b-chat,-0.0274004956803144,0.1694006178517766,0.1456,0.2740801824562976,0.3535758415726972,False
19,BSC-LT/salamandra-7b-instruct,-0.0852543545535917,0.1743861622448094,0.1069,0.3027307484398379,0.3653546901757488,False
20,ibm-granite/granite-7b-instruct,-0.1196845587398332,0.1760548145445818,0.0653,0.3121792955001737,0.3643011120808059,False
21,OpenBMB/MiniCPM4-0.5B,-0.2400397911862281,0.2020834871972693,0.0556,0.3057535378693519,0.3706943777796396,False
22,meta-llama/Llama-3.2-1B-Instruct,-0.2654179683818289,0.1933758680818849,0.0639,0.3109939350457242,0.3717454290124448,False
23,stabilityai/stablelm-zephyr-3b,-0.3131320490252629,0.2083077754754558,0.1472,0.3443444422911013,0.4285242866633145,False
24,google/gemma-2b,-0.3788593529555223,0.2304772249077451,0.0985,0.3169002992571333,0.4040393555960063,False
25,stabilityai/stablelm-2-zephyr-1_6b,-0.5551481264963917,0.2297345784218265,0.139,0.4739620200764655,0.5447375267021891,False
26,Qwen/Qwen2.5-0.5B-Instruct,-0.6936341996109153,0.2197273217611742,0.0908,0.5605250751039625,0.6088621319713039,False
27,openbmb/MiniCPM-2B-sft-bf16,-0.787898176974369,0.2191907672689349,0.0901,0.7440821508039535,0.7809102698780326,False
28,Qwen/Qwen1.5-1.8B,-0.8032647201132739,0.231576107139792,0.0733,0.3836195981377951,0.4540532782322178,False
29,Qwen/Qwen1.5-1.8B-Chat,-0.8146254877106694,0.221122347028282,0.0702,0.5836521836538945,0.6280708589317414,False
30,microsoft/phi-1_5,-0.8463720623931267,0.2314874461717276,0.0732,0.3790490614140975,0.4501365000686089,False
31,h2oai/h2o-danube2-1.8b-base,-0.9076802269812744,0.2450549128208268,0.09,0.3503054846327773,0.4368819552939077,False
32,utter-project/EuroLLM-1.7B-Instruct,-0.951765609608486,0.2037801835248554,0.0762,0.9407140933239204,0.9655443068941316,False
33,meta-llama/Llama-3.2-1B,-0.9574616998212157,0.2031558023260529,0.0757,0.445043147583833,0.495041587374301,False
34,BSC-LT/salamandra-2b-instruct,-1.0091207663302972,0.2022169632767594,0.0821,0.4501017431539199,0.5002236394124847,False
35,h2oai/h2o-danube2-1.8b-chat,-1.1022415875545846,0.1963786957016559,0.123,0.413975077796917,0.4744143306883204,False
36,Qwen/Qwen2-0.5B,-1.218156559614655,0.2056171718853263,0.121,0.4141757387125684,0.4779759030664847,False
37,google/gemma-2-2b,-1.284483575456962,0.2388877256511375,0.1087,0.3642108200029388,0.4489237762404507,False
38,01-ai/Yi-6B-200K,-1.3298967047013324,0.2251606619316498,0.1297,0.7442008298661451,0.7882602925778754,False
39,pankajmathur/orca_mini_3b,-1.3408816208749836,0.1998615037146088,0.1209,0.5762889014243222,0.6218282146798396,False
40,01-ai/Yi-6B,-1.3716504296819103,0.2078052495543072,0.138,0.5662719512927037,0.6187818230710839,False
41,h2oai/h2o-danube-1.8b-chat,-1.4519956512371026,0.2042494735886323,0.1154,0.864191232169106,0.8954671927095884,False
42,allenai/OLMo-2-0425-1B,-1.45741197275404,0.2100343222640787,0.1027,0.4387152699564465,0.4971245262727324,False
43,BSC-LT/salamandra-7b,-1.5235683607236914,0.2256645501748277,0.1704,0.5942715897397022,0.6581180529185932,False
44,HuggingFaceTB/SmolLM2-360M,-1.5608424763514954,0.2266333939654723,0.2173,1.037946477152876,1.0843960875502894,False
45,utter-project/EuroLLM-1.7B,-2.0783456834219733,0.2467657037532094,0.1421,0.4165752909720333,0.5045995398305976,False
46,BSC-LT/salamandra-2b,-2.239521404435321,0.2298178894022792,0.1409,0.6233850932417201,0.679174533360392,False
47,openlm-research/open_llama_3b,-2.3687896411025653,0.2387279354108997,0.1305,0.6044674275712448,0.6628741570917883,False
48,openbmb/MiniCPM-1B-sft-bf16,-2.861120978807171,0.2723856100060948,0.1619,0.5112093765162378,0.6014487153336624,False
49,ai-forever/mGPT,-3.501478961608888,0.4836032026371807,0.2004,0.4175366649839813,0.6696036769663706,True
50,BEE-spoke-data/smol_llama-220M-openhermes,-3.6375484740507753,0.4443625811809614,0.1603,0.4657200570915483,0.6633621673951279,False
51,allenai/OLMo-1B-hf,-3.817431647285111,0.4513945084395002,0.2166,0.7522765223396648,0.9036550936683742,True
52,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-3.8312304368507535,0.4428936552311661,0.2032,0.5900340647459126,0.7652354065283484,True
