model,actual_full,pirt_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.4481860788057629,0.43903702071852574,0.08846094509450741,0.19780533867513184,8
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.4452352022218365,0.44163092689904393,0.1088635409452928,0.29265644411396374,8
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.43672973442110746,0.43903702071852574,0.08846094509450741,0.19780533867513184,8
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.2897066481513626,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
BlackBeenie/Neos-Llama-3.1-base,0.2891859052247874,0.3186587639926188,-1.473147412786742,0.13270321580969904,8
BramVanroy/fietje-2-chat,0.41329630272522133,0.4448723313593196,0.13466033661336976,0.2557042359855126,11
BramVanroy/fietje-2-instruct,0.4115604929699705,0.3526086136703417,-0.6866660065365021,0.294743952884023,9
Daemontatox/Zirel_1.5,0.39593820517271305,0.44163092689904393,0.1088635409452928,0.29265644411396374,8
DavieLion/Llama-3.2-1B-SPIN-iter3,0.29231036278423883,0.3208705708799421,-1.1378881644713017,0.10590005970956218,8
DeepMount00/Lexora-Lite-3B,0.47734768269397676,0.48827931307275485,0.4535936657005179,0.0761841293912894,8
EpistemeAI/Athena-gemma-2-2b-it,0.42562055198750215,0.44163092689904393,0.1088635409452928,0.29265644411396374,8
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.43169588613088006,0.43903702071852574,0.08846094509450741,0.19780533867513184,8
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.32997743447318173,0.3635229480022043,-0.6005367336626268,0.013099372754777459,8
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.4422843256379101,0.4756480527040862,0.3682045584729866,0.10584688067471709,8
J-LAB/Thynk_orpo,0.4431522305155355,0.44739352461031684,0.15860185217802422,0.08550617470483428,8
JayHyeon/Qwen-0.5B-DPO-5epoch,0.3100156222877973,0.38548680314189443,-0.42206829380804733,0.049343816867713296,8
JayHyeon/Qwen2.5-0.5B-SFT,0.30984204131227217,0.31799500533863384,-1.2106827667589901,0.0675054980170964,8
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.31973615691720186,0.3256808246224971,-1.0396442388890481,0.074718118804757,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.32563791008505466,0.31733537415573565,-1.2465354132216437,0.05874580150980266,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.3183475091130012,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.31713244228432563,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.31175143204304806,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.32025689984377714,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.3159173754556501,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.31522305155354974,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.318000347161951,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.31626453740670024,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.31973615691720186,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.3235549383787537,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.3089741364346468,0.31799500533863384,-1.2106827667589901,0.0675054980170964,8
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,0.3140079847248742,0.35029425240026024,-0.7071272075582526,0.036867001282125104,8
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,0.3265058149626801,0.3505452521753509,-0.7028192666447752,0.016878277625530003,8
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,0.3159173754556501,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.32806804374240583,0.3505452521753509,-0.7028192666447752,0.016878277625530003,8
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.32372851935427877,0.31721589092900704,-1.2615121650813348,0.05225798897291984,8
LEESM/llama-2-7b-hf-lora-oki10p,0.35098073251171674,0.31847040189573583,-1.1837283521536623,0.04870395655044118,8
LilRg/10PRYMMAL-3B-slerp,0.5299427182780767,0.5873638665979505,1.078569750574534,0.0958277499131804,8
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,0.30723832667939593,0.3614568677031659,-0.6168385574482175,0.041726618309262026,8
