model,latent_group,theta
sumink/bbhqwen5,0,-2.8746
LilRg/PRYMMAL-6B-slerp,0,-2.4409
Weyaxi/Einstein-v8-Llama3.2-1B,0,-1.2787
BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,0,-1.1935
oopere/pruned40-llama-1b,0,-0.7831
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V4-MUSR-ENSEMBLE-Mathis,1,-0.7669
matouLeLoup/ECE-PRYMMAL-0.5B-FT-V4-MUSR-Mathis,1,-0.7649
bfuzzy1/acheron,1,-0.6537
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-5ep,1,-0.5781
netcat420/MFANN3bv0.18,1,-0.3606
prithivMLmods/QwQ-R1-Distill-1.5B-CoT,1,-0.3062
braindao/DeepSeek-R1-Distill-Qwen-1.5B-Blunt,1,-0.1978
NikolaSigmoid/AceMath-1.5B-Instruct-1epoch,2,0.1007
T145/KRONOS-8B-V7,2,0.5272
Triangle104/Q2.5-CodeR1-3B,3,0.5379
tinycompany/BiBo-v0.7,3,0.6783
theprint/Llama-3.2-3B-VanRossum,3,0.7852
iFaz/llama32_1B_en_emo_v1,3,0.8714
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch1,3,0.8965
PJMixers-Dev/L3.2-Instruct-Thinking-v0.1-1B,3,0.8969
Danielbrdz/Barcenas-3b-GRPO,4,0.8989
DeepMount00/Qwen2-1.5B-Ita,4,0.987
Nexesenex/Llama_3.2_1b_RandomLego_RP_R1_0.1,4,1.0928
ehristoforu/coolqwen-3b-it,4,1.2686
EpistemeAI/OpenReasoner-Llama-3.2-3B-rs1.0,4,1.4231
