model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.47236438075742065,0.5052101502188953,0.565307766876432,0.14663848513714,11
01-ai/Yi-6B-Chat,0.44626407369498466,0.3551352780556365,-0.5688457502214574,0.14694446790282736,13
BEE-spoke-data/smol_llama-220M-openhermes,0.38331627430910953,0.40790213837818273,-0.14513473302394897,0.1497776466421369,17
BSC-LT/salamandra-7b-instruct,0.503582395087001,0.42647990428495686,-0.001657204456581518,0.14913495434309196,18
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.4257932446264074,0.27819627194105895,-1.2691676432480272,0.14861216075633538,13
Qwen/Qwen2-0.5B,0.39201637666325484,0.29987289504907344,-1.0582704973540142,0.14778841809790327,14
allenai/OLMo-1B-hf,0.41760491299897645,0.41344258136528367,-0.10206233506441487,0.14535922510379806,18
google/gemma-2-2b,0.49334698055271237,0.48510275016857884,0.4280701275676675,0.14854190370780077,12
h2oai/h2o-danube-1.8b-chat,0.4498464687819857,0.3523079135096944,-0.5924708590173015,0.14920948049239463,13
meta-llama/Llama-3.2-3B-Instruct,0.4539406345957011,0.326114628565276,-0.8180243814665333,0.14801328859543558,14
stabilityai/stablelm-zephyr-3b,0.4703172978505629,0.33140632241416973,-0.7713918210464055,0.1491525711313103,15
tiiuae/Falcon3-3B-Instruct,0.5030706243602866,0.389564139936864,-0.2893758969317404,0.14836741527346498,14
