model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.27065217391304347,0.41684159070749643,0.46450484385333946,0.2958450754261673,14
01-ai/Yi-6B-Chat,0.27717391304347827,0.3195353148663791,-0.6541527677647004,0.28013227779911454,11
BEE-spoke-data/smol_llama-220M-openhermes,0.225,0.20821207307293116,-1.883946907466168,0.19138665725441417,8
BSC-LT/salamandra-7b-instruct,0.3032608695652174,0.40498676427493296,0.32742019882618256,0.29876422183111934,14
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.3119565217391304,0.3323099503984196,-0.5086851076270453,0.29215635995526534,10
Qwen/Qwen2-0.5B,0.2597826086956522,0.32231654904303036,-0.6225358947474575,0.29499275557748666,8
allenai/OLMo-1B-hf,0.2510869565217391,0.2585338840439276,-1.3393317393958442,0.2376376820743454,8
google/gemma-2-2b,0.2847826086956522,0.4383301192307801,0.7107591765398178,0.29833806535324303,9
h2oai/h2o-danube-1.8b-chat,0.25217391304347825,0.26373429920531655,-1.281709855816057,0.2349648058789914,8
meta-llama/Llama-3.2-3B-Instruct,0.3010869565217391,0.3658838318819273,-0.12399715100391762,0.2945450104492567,12
stabilityai/stablelm-zephyr-3b,0.2717391304347826,0.3092674126034587,-0.7705986424254169,0.2829386154658505,8
tiiuae/Falcon3-3B-Instruct,0.28043478260869564,0.37127480460978596,-0.06196335065110977,0.29165836296044784,13
