model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-1.5-6B,0.8008705114254625,0.835998891066903,1.233236809855638,0.1595830244121394,831
01-ai/Yi-6B-Chat,0.7573449401523396,0.7647991645220683,0.10476757474966394,0.1494669648794857,124
BEE-spoke-data/smol_llama-220M-openhermes,0.5859630032644179,0.43336752965417247,-2.0140772571643293,0.1485080687904716,11
BSC-LT/salamandra-7b-instruct,0.7763873775843307,0.7685364879752641,0.15215500943327673,0.14990570769102976,131
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.6996735582154516,0.6787305502785105,-0.7552253678714429,0.14957974570206398,29
Qwen/Qwen2-0.5B,0.6828073993471164,0.6425638066610105,-1.0196745783272396,0.14924113112964343,17
allenai/OLMo-1B-hf,0.7551686615886833,0.7615312551281995,0.0641801295833136,0.14986990115694232,116
google/gemma-2-2b,0.7867247007616975,0.8311784997622313,1.1386512729650926,0.1560707899192419,831
h2oai/h2o-danube-1.8b-chat,0.7606093579978237,0.671624299329152,-0.8107002355320427,0.14997963559658398,27
meta-llama/Llama-3.2-3B-Instruct,0.7519042437431991,0.7435236810444215,-0.14628498644514748,0.1499329274437215,85
stabilityai/stablelm-zephyr-3b,0.7334058759521219,0.6927803389212777,-0.6397774666570148,0.14562928618593257,42
tiiuae/Falcon3-3B-Instruct,0.7377584330794341,0.7431721066552217,-0.15018524902956767,0.1497184344191297,85
