model,n_obs_items,cat_n_items,obs_acc,pred_acc_cat,pred_acc_full,theta_full_correctness,theta_cat_correctness,final_se_correctness,n_cross_correctness,theta_full_scaffolding,theta_cat_scaffolding,final_se_scaffolding,n_cross_scaffolding,theta_full_presentation,theta_cat_presentation,final_se_presentation,n_cross_presentation
01-ai/Yi-6B,4033,100,0.10066947681626581,0.10708027651633813,0.09871344227137213,-0.9923172756923248,-0.6982943171438698,0.18216023673533985,25,-0.17015148335074431,-0.5126231555543046,0.20020622399970672,20.0,-0.6803491693564941,-0.6026347428763829,0.3022889271220432,
01-ai/Yi-6B-Chat,3985,36,0.1573400250941029,0.11939627568226041,0.15193385936138715,-0.1744442852437835,-0.768618192233358,0.25693249579150473,25,-0.835733779425627,-1.1528991479723365,0.2785296453182886,29.0,0.49650320885329324,0.32961194760282353,0.29184582191649794,36.0
EleutherAI/pythia-1.4b,4104,100,0.07456140350877193,0.06790241622840233,0.06907196949148041,-2.35428334934038,-2.796565080019491,0.26955365122657254,40,0.9084383181233195,1.0317747067001695,0.155530593647485,12.0,-1.7702459350681452,-1.494283143281395,0.3081907131661985,
EleutherAI/pythia-160m,4114,100,0.037919299951385516,0.061978993753709466,0.0470536167094744,-5.512182275072113,-3.133522309731543,0.27432982810407763,49,1.4589790629581267,1.4514656635037917,0.1494829169070218,12.0,-4.798872555883796,-2.5624179754213325,0.33766012841974163,
EleutherAI/pythia-1b,4104,100,0.06846978557504874,0.06539839116919695,0.06448321644591766,-2.5195297599849105,-2.6641571713657686,0.2650763548564584,44,0.9748922248324147,1.0482621634133817,0.14978119251396446,12.0,-2.0674798431644215,-1.8396737986348795,0.332712365546752,
EleutherAI/pythia-2.8b,4107,100,0.06111516922327733,0.06874960643388728,0.060452951810788254,-2.561135906825233,-2.302925403096321,0.26028844265127,42,0.7322525863309324,0.703951574046879,0.14917068666778754,12.0,-2.4565075294060983,-1.715481230902274,0.3380700006553027,
EleutherAI/pythia-410m,4119,100,0.053411022092740956,0.061265507010631305,0.05294136778325258,-3.524370262284345,-2.7658822500627576,0.26493097633117363,44,1.2206041958319211,1.090899273948088,0.14809261359046055,12.0,-3.592233161964456,-2.5624179754213356,0.33766012841974163,
EleutherAI/pythia-6.9b,4096,100,0.071044921875,0.06786568480033567,0.06673919816601817,-2.3386678281679085,-2.0339916090366685,0.23496760648502307,37,0.37632922383942297,0.4210381905526606,0.15909596472016288,13.0,-1.4522670770816772,-1.8635616854163142,0.3368959155841386,
EleutherAI/pythia-70m,4126,100,0.02932622394571013,0.05536674379303647,0.038763092003740764,-5.607486027894274,-3.0593040398663836,0.2715025062859818,46,0.7364422096518224,0.8369480347004532,0.15005010329417995,11.0,-4.805000056863316,-2.5624179754213476,0.33766012841974163,
HuggingFaceH4/zephyr-7b-beta,4012,100,0.26819541375872386,0.2488508572422553,0.2552053678771019,1.0000300037948027,1.0100229294479643,0.07390865083359734,4,0.43074315374632555,-0.20265815854862196,0.2421941589100912,47.0,0.4557421094310984,0.5398414426642878,0.31059584902263754,
