model,predicted_passrate,actual_passrate,theta_oos
01-ai/Yi-1.5-6B,0.305507329784934,0.41712127570289553,-0.6512924833014772
01-ai/Yi-1.5-6B-Chat,0.6411899989088562,0.7042670046472328,1.4180707059362323
01-ai/Yi-6B,0.20095874610059689,0.27318718381112983,-1.2816147837891316
01-ai/Yi-6B-200K,0.11067877220135904,0.12337389844733529,-2.190960279240797
01-ai/Yi-6B-Chat,0.5933958977753538,0.5866554762903903,0.9788457456197573
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.052840420891390814,0.0283657917019475,-3.3452019599220306
BEE-spoke-data/smol_llama-220M-openhermes,0.1392317236802801,0.06231578947368421,-1.8872301135990504
BSC-LT/salamandra-2b,0.24334133789502885,0.17768421052631578,-1.0762821343857916
BSC-LT/salamandra-2b-instruct,0.4071770776065386,0.34709351305812974,-0.07808694661652836
BSC-LT/salamandra-7b,0.2680078954473733,0.3033990767939572,-0.875837367404187
BSC-LT/salamandra-7b-instruct,0.4943660498251286,0.5204900718208703,0.5638617843344259
HuggingFaceTB/SmolLM2-360M,0.11991294054732879,0.10198061525495154,-2.049441833323466
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.6778305316575878,0.8018628281117697,1.7893825570017057
OpenBMB/MiniCPM4-0.5B,0.3567106877332988,0.3903471634208298,-0.0962272548685156
Qwen/Qwen1.5-1.8B,0.2014490348013571,0.1412310286677909,-1.2777808706694835
Qwen/Qwen1.5-1.8B-Chat,0.4457046680435766,0.4855224506924045,0.11225524793350136
Qwen/Qwen2-0.5B,0.30743201328302927,0.24343776460626587,-0.3829395487514435
Qwen/Qwen2.5-0.5B-Instruct,0.44365336718255804,0.45235069885641677,0.4035006633220572
ai-forever/mGPT,0.045792210621864435,0.028115820394460762,-3.750990885947194
allenai/OLMo-1B-hf,0.06631945068180725,0.02643726395300042,-2.988271742796712
allenai/OLMo-2-0425-1B,0.2526617306558115,0.19135543432647922,-0.9707671363989402
allenai/OLMo-2-0425-1B-DPO,0.6328819408648299,0.6248941574936494,1.5026187192412384
allenai/OLMo-2-0425-1B-Instruct,0.6459120501262038,0.6232006773920407,1.583108570553298
arcee-ai/raspberry-3B,0.539321028639552,0.6347935973041281,0.7380818758294013
google/gemma-2-2b,0.15519481070958513,0.1634980988593156,-1.5352853716385988
google/gemma-2b,0.2111514652436959,0.16055625790139064,-1.2072839668019808
h2oai/h2o-danube-1.8b-chat,0.43910089498912247,0.45446915652538816,0.07694969485527577
h2oai/h2o-danube2-1.8b-base,0.33743079896890094,0.27276577721304535,-0.2069956385971783
h2oai/h2o-danube2-1.8b-chat,0.3638417403470472,0.3994943109987358,-0.22638486100199928
ibm-granite/granite-3.0-2b-base,0.5451939713403487,0.5198647506339814,0.855041901106029
ibm-granite/granite-3.1-2b-base,0.46044174155032896,0.5262274443978179,0.19181605994226222
ibm-granite/granite-3.1-2b-instruct,0.6174136455051111,0.7827557058326289,1.275719250887871
ibm-granite/granite-7b-instruct,0.6153513547608962,0.5992414664981036,1.324784429927517
ibm/PowerLM-3b,0.4817235542412272,0.44060657118786856,0.37729881814925664
meta-llama/Llama-3.2-1B,0.18014024775120008,0.13642105263157894,-1.5182041233521915
meta-llama/Llama-3.2-1B-Instruct,0.5772528971266421,0.5887811050189793,1.079258946995103
meta-llama/Llama-3.2-3B-Instruct,0.6702769537317254,0.7637894736842106,1.5658839365551216
microsoft/phi-1_5,0.2122418325366176,0.1926489226869455,-1.0923092796934033
nvidia/AceInstruct-1.5B,0.6210086873715592,0.6793088916982722,1.3620336569866116
openbmb/MiniCPM-1B-sft-bf16,0.2047336987606058,0.10830172777075432,-1.253578622593219
openbmb/MiniCPM-2B-sft-bf16,0.38326280787275896,0.3688421052631579,-0.22052643692936397
openlm-research/open_llama_3b,0.07328506162023758,0.12336290663286861,-2.63019445651435
pankajmathur/orca_mini_3b,0.37376004661535306,0.35425442291491155,-0.27717855713977774
pankajmathur/orca_mini_v9_5_3B-Instruct,0.578304122408482,0.6655376799322608,1.1826644066650516
stabilityai/stablelm-2-1_6b-chat,0.5928701298721674,0.5756551141166526,1.1296764658637881
stabilityai/stablelm-2-zephyr-1_6b,0.5579623646513977,0.5153684210526316,0.855073725475856
stabilityai/stablelm-zephyr-3b,0.5867189950762858,0.6083650190114068,1.0949035871679953
tiiuae/Falcon3-1B-Instruct,0.603691302150888,0.5769068689422672,1.2488059892598313
tiiuae/Falcon3-3B-Base,0.4253563387230086,0.494732406236831,0.14225994602684489
tiiuae/Falcon3-3B-Instruct,0.637648069150003,0.7306226175349428,1.530836700824355
utter-project/EuroLLM-1.7B,0.18261641835881345,0.1563160118293198,-1.307514480259252
utter-project/EuroLLM-1.7B-Instruct,0.3935507478726206,0.3934288121314238,-0.1596153099868782
