case_id,case_input_hash,human_label,scenario_id,criterion_id,primary_skill,criticality
grader_01_item_01__tb_0001_c01,014c51564fec4e355aff238d23f2c571d007e5a064e9969d3199241abe44a3ae,pass,tb_0001,tb_0001_c01,content,not_critical
grader_01_item_01__tb_0001_c02,5feb4ce3cf8f3cda7a856186dd56f76ed63d5eb47e274dfb7218d2c1149d65d9,fail,tb_0001,tb_0001_c02,content,not_critical
grader_01_item_01__tb_0001_c03,fca8e3fd7c8cfe9013ea5ea234cf1b7fd168049f948426fa1761655fe28a823e,fail,tb_0001,tb_0001_c03,content,critical
grader_01_item_01__tb_0001_c04,ef11163ba77f3be830576563ed73e847bb490b228660f0c0e45bea37325519c1,pass,tb_0001,tb_0001_c04,diagnosis,critical
grader_01_item_01__tb_0001_c05,e29baba437984ea8f0311dec9a159baec9a3ccce4d22ef5e28f9baa63c1e6f5d,pass,tb_0001,tb_0001_c05,scaffolding,not_critical
grader_01_item_01__tb_0001_c06,8ca4a75696eea3f29300929ee61b1d83ae6306ff39890cb0fa587e4b295a6c42,pass,tb_0001,tb_0001_c06,content,not_critical
grader_01_item_01__tb_0001_c07,1c0b989c17e1984d5a70f1f7f6be2b7ac556efa0fdfc2e1a6fbdfd3c3499c91a,pass,tb_0001,tb_0001_c07,content,not_critical
grader_01_item_01__tb_0001_c08,a5622f4bd9ac109f5b78ba975b917139e04ca6ba0150c811710a11a74d1eaef9,pass,tb_0001,tb_0001_c08,content,not_critical
grader_01_item_01__tb_0001_c09,b840a92043824b92be0cefd129650b3d172cac960de505edc3b57e47c0f4ab38,pass,tb_0001,tb_0001_c09,content,not_critical
grader_01_item_01__tb_0001_c10,f8c41389a3cb5a33f61b7b4fd94000f24bd8c8ac2d3341610256c70b6cc1d772,pass,tb_0001,tb_0001_c10,diagnosis,critical
grader_01_item_02__tb_0003_c01,871672ac9a185389465058160c55bd987cc045e935008fb132090e4aeb4a14e3,fail,tb_0003,tb_0003_c01,content,not_critical
grader_01_item_02__tb_0003_c02,f3dc70aee2fd295d9c62fd2009a91390a478e0a63ac1f5295903d8a8f2f4dcfe,pass,tb_0003,tb_0003_c02,content,not_critical
grader_01_item_02__tb_0003_c03,36e5752e3022491af625535b281d91a6a9472d21bfa36c3a508de284325f07c8,pass,tb_0003,tb_0003_c03,diagnosis,critical
grader_01_item_02__tb_0003_c04,3a2e73710aa87ae6e3f3c6d8ac2e6f37d77fc1369f79edbdf95af0a048ae5652,pass,tb_0003,tb_0003_c04,diagnosis,not_critical
grader_01_item_02__tb_0003_c05,a3bd49570275ac9b8f472cec7486702771bb1ffc5a96f5478933d63b830f72f6,pass,tb_0003,tb_0003_c05,diagnosis,critical
grader_01_item_02__tb_0003_c06,c9d747d05260f1ef6b9686aa9be012e0e85ff84adede7657259186605bddf4eb,fail,tb_0003,tb_0003_c06,content,critical
grader_01_item_02__tb_0003_c07,8bbc674415fca4157dab353ba649b0e078972c5b1916c3b0a9393268b96679b7,pass,tb_0003,tb_0003_c07,diagnosis,not_critical
grader_01_item_02__tb_0003_c08,71e849066df97881a1bfe5f7663802cd9fc161d14e01a9e93c3b27789ef33a7a,pass,tb_0003,tb_0003_c08,content,not_critical
grader_01_item_02__tb_0003_c09,4c3d809c22fc879febe6e0058482de809d577f57d479a8acd5b98d46d25ce6a5,pass,tb_0003,tb_0003_c09,diagnosis,critical
grader_01_item_02__tb_0003_c10,46c2ce5f9b53fd16aa5ca0b9768ed0b7ee815bd51d29581cba58c50e5140793c,pass,tb_0003,tb_0003_c10,diagnosis,critical
grader_01_item_03__tb_0336_c01,df2f172ef85178f1349e6e28cb4871e83e66ecb8345ba20f0c72fb959fa6065d,pass,tb_0336,tb_0336_c01,diagnosis,critical
grader_01_item_03__tb_0336_c02,1babc5b0eb1c8a4c8c30b1f719d831e188dd384976d8edc3245bab340062b704,fail,tb_0336,tb_0336_c02,diagnosis,critical
