model,len_online,len_eap,honestSD_online_correctness,honestSD_online_scaffolding,honestSD_eap_correctness,honestSD_eap_scaffolding,online_honest_ok,eap_reached,theta_online_correctness,theta_online_scaffolding,theta_eap_correctness,theta_eap_scaffolding,theta_ref_correctness,theta_ref_scaffolding
01-ai/Yi-1.5-6B,12,12,0.25185165780575947,0.2722154805930667,0.25185165780575947,0.2722154805930667,True,True,0.35742080803560594,-0.18753763647272848,0.35742080803560594,-0.18753763647272848,0.9000042978972894,-0.3987241270542657
01-ai/Yi-1.5-6B-Chat,14,13,0.21676485060585404,0.28076090787748215,0.23064911475899813,0.29024148801895105,True,True,0.7274754165610332,-0.23268939603079003,0.7533811853363583,-0.5450154746154102,1.5149620941356274,-0.34622323176663206
01-ai/Yi-6B-200K,13,22,0.3622639523650055,0.3197658394192313,0.2791726798890246,0.27883272488598493,False,True,-1.1535622469093505,0.2921198573564492,-1.2704846951883195,0.3520621170181906,-1.2972328480178867,0.6862202820524423
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,18,50,0.4526918824923779,0.3565617682513876,0.3862343515166271,0.22316749989396564,False,False,-2.066018578969329,0.764137598304993,-2.7205467394388556,1.3703434528806946,-3.0056826112185715,1.8325167331524768
BEE-spoke-data/smol_llama-220M-openhermes,15,50,0.49144692669190787,0.31816220270665047,0.334257741171035,0.252650113516601,False,False,-1.5212531910494185,0.278920418245312,-2.23484252023924,0.3616813524253465,-2.939355437412104,0.6744548251673822
BSC-LT/salamandra-2b,21,30,0.37893972058347475,0.30375944825918266,0.26736247699415816,0.2929328013963712,False,True,-2.039063362218444,-0.1155186056797307,-1.8384276698341273,0.3500118009468292,-1.9906060170491966,0.7885149691279055
BSC-LT/salamandra-2b-instruct,14,37,0.5361440735314225,0.3229682400057888,0.29608446114701026,0.25714405953505765,False,True,-1.5264673637907986,0.38975415394264673,-1.913774281818611,0.3431090790801441,-1.7104234255901836,0.046042470585053175
BSC-LT/salamandra-7b,18,22,0.3393757477985688,0.3069770559056841,0.2934389720967607,0.2867283806608777,False,True,-1.4338993688971517,0.43421613327868946,-1.4296641472847702,0.29167154205680695,-0.8994576365515389,0.6115778627019903
BSC-LT/salamandra-7b-instruct,13,15,0.28294100556973795,0.31584825166712643,0.2817865782604435,0.2962616788463763,False,True,-0.4757625555339185,-0.43342238653772597,-0.5000978372897154,-0.201951141458982,-0.31869820119402203,-0.36709332353684027
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,12,12,0.2049530654324267,0.2848399081722205,0.2049530654324267,0.2848399081722205,True,True,1.3659941324356313,-0.6592560720586546,1.3659941324356313,-0.6592560720586546,2.0995139113877577,-0.1055234911507802
