model,pirt,actual,items,fold,n_bank
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.06106030617279155,0.05476673427991886,86,0,493
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,0.18584273945541793,0.13793103448275862,8,0,493
Novaciano/LEWD-Mental-Cultist-3.2-1B,0.2535553634152263,0.13995943204868155,8,0,493
godlikehhd/alpaca_data_ins_ans_max_5200,0.3462404502840853,0.2799188640973631,8,0,493
oopere/pruned20-llama-3.2-3b,0.20655563172177638,0.2515212981744422,8,0,493
agentlans/Llama-3.2-1B-Instruct-CrashCourse12K,0.22910290880744383,0.15010141987829614,8,0,493
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep,0.0681969565810904,0.08316430020283976,58,0,493
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3,0.09421716526945549,0.07302231237322515,14,0,493
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.2612370193905119,0.31237322515212984,8,0,493
Sakalti/SJT-0.5B,0.14739552781367357,0.11561866125760649,8,0,493
Daemontatox/Zirel_1.5,0.26047911505489496,0.2515212981744422,8,0,493
Youlln/ECE-PRYMMAL0.5B-Youri,0.5469737551291664,0.33468559837728196,8,0,493
J-LAB/Thynk_orpo,0.3462404502840853,0.3894523326572008,8,0,493
ontocord/wide_3b_sft_stage1.1-ss1-with_math.no_issue,0.23037842864412272,0.21906693711967545,8,0,493
meditsolutions/Llama-3.2-SUN-2.5B-chat,0.1865470946167897,0.18661257606490872,8,0,493
lalainy/ECE-PRYMMAL-0.5B-FT-V5-MUSR,0.22168987149304858,0.14198782961460446,8,0,493
nvidia/Nemotron-Mini-4B-Instruct,0.26047911505489496,0.2657200811359026,8,0,493
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.038477788002802264,0.038539553752535496,400,0,493
pankajmathur/orca_mini_v9_0_3B-Instruct,0.23925750322824468,0.2839756592292089,8,0,493
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,0.18584273945541793,0.15821501014198783,8,0,493
DeepMount00/Lexora-Lite-3B,0.22332077649375492,0.2657200811359026,8,0,493
Sicarius-Prototyping/Micropenis_1B,0.18746028114127988,0.17849898580121704,8,0,493
tinycompany/ShawtyIsBad-e5-large,0.3909070100766122,0.2616632860040568,8,0,493
Wladastic/Mini-Think-Base-1B,0.2762931839384179,0.21095334685598377,8,0,493
BlackBeenie/Neos-Llama-3.1-base,0.32583928268838924,0.20892494929006086,8,0,493
vhab10/llama-3-8b-merged-linear,0.34034302787208803,0.38742393509127787,8,0,493
iFaz/llama32_3B_en_emo_1000_stp,0.2778844937993447,0.33874239350912777,8,0,493
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.20655563172177638,0.12170385395537525,8,0,493
yasserrmd/Coder-GRPO-3B,0.22332077649375492,0.281947261663286,8,0,493
Kimargin/GPT-NEO-1.3B-wiki,0.18026474911117982,0.24746450304259635,8,0,493
MaziyarPanahi/calme-2.1-phi3.5-4b,0.3212779527849883,0.35294117647058826,8,0,493
OpenBuddy/openbuddy-zero-3b-v21.2-32k,0.1865470946167897,0.2231237322515213,8,0,493
Sakalti/Sailor-japanese,0.32583928268838924,0.3184584178498986,8,0,493
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.14425528989463593,0.29006085192697767,8,0,493
Sakalti/Saba1.5-Pro-3B,0.26047911505489496,0.40162271805273836,8,0,493
bunnycore/Llama-3.2-3B-ProdigyPlus,0.2966231224077409,0.22718052738336714,8,0,493
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.2597087309253576,0.30628803245436104,8,0,493
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.23007950664567584,0.2535496957403651,8,0,493
Nexesenex/Nemotron_W_4b_Halo_0.1,0.23925750322824468,0.2657200811359026,8,0,493
LEESM/llama-2-7b-hf-lora-oki10p,0.20010567438052024,0.18255578093306288,8,0,493
kavonalds/Lancer-1-1b-Instruct,0.16624992390168342,0.15010141987829614,8,0,493
cjvt/GaMS-1B,0.12977644076716227,0.18052738336713997,9,0,493
JayHyeon/Qwen_0.5-MDPO_0.5_1e-5-3ep_0alp_0lam,0.08507711529048945,0.058823529411764705,25,0,493
Spestly/Athena-1-3B,0.24716796200761595,0.33874239350912777,8,0,493
ibm-granite/granite-3.0-3b-a800m-base,0.2778844937993447,0.16227180527383367,8,0,493
appvoid/arco-2-instruct,0.1594117936540857,0.1845841784989858,8,0,493
macadeliccc/magistrate-3.2-3b-base,0.26047911505489496,0.3184584178498986,8,0,493
akhadangi/Llama3.2.1B.BaseFiT,0.10269140224175562,0.16835699797160245,11,0,493
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.05328439951713885,0.05273833671399594,140,0,493
noname0202/llama-math-1b-r32-0to512tokens-test,0.2762931839384179,0.19675456389452334,8,0,493
cognitivecomputations/Dolphin3.0-Llama3.2-1B,0.3071852319261356,0.16835699797160245,8,0,493
google/gemma-2-2b,0.4443822535016101,0.3306288032454361,8,0,493
dwikitheduck/gemma-2-2b-id,0.20655563172177638,0.3488843813387424,8,0,493
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.039705385875690835,0.038539553752535496,400,0,493
Triangle104/Minerva-1.5b,0.3962579521803899,0.3306288032454361,8,0,493
sumink/Qwenftmodel,0.19694124295540938,0.23935091277890466,8,0,493
LLM4Binary/llm4decompile-1.3b-v2,0.10856716814700468,0.35699797160243407,10,0,493
jaspionjader/test-15,0.3651766944028929,0.4077079107505071,8,0,493
JayHyeon/Qwen_0.5-MDPO_0.5_4e-6-3ep_0alp_0lam,0.06996589477338652,0.060851926977687626,43,0,493
