model,actual_full,pirt_pred,mean_p_pred,theta,se,n_items
0-hero/Matter-0.1-Slim-7B-B,0.66,0.695566324550842,0.6959969044486061,-0.2728467623996203,0.2131090372267918,8
01-ai/Yi-9B,0.6261538461538462,0.5907615699463192,0.5923632456328856,-1.168123768268058,0.2451602885199131,9
AA051615/A0305a,0.6246153846153846,0.6695458204762711,0.6695588570713535,-0.4963311314580697,0.26445307505997007,10
ALBADDAWI/DeepCode-7B-Aurora-v2,0.5415384615384615,0.5813447499592904,0.5806207072406712,-1.2803060786683123,0.2763460802463854,12
CHIH-HUNG/llama-2-13b-alpaca-test,0.6184615384615385,0.5945666799275882,0.5952201343734095,-1.1413803537307428,0.27303623727418247,8
Charlie911/llama2-MultiLoRA-sharegpt-mmlu-drop-ffn-1.0general,0.4969230769230769,0.5083779695914805,0.5092108911649239,-2.106964199911903,0.2725184403944176,9
ChavyvAkvar/llama-3-lumimaid-habib-v3,0.6169230769230769,0.642317184080027,0.641640482571746,-0.7297029459981721,0.25215442758118106,11
DreadPoor/NewtoccineLake-slerp-7B,0.8061538461538461,0.7213442202595584,0.7203248732190162,-0.06570253530354449,0.2905160786903567,9
EmbeddedLLM/Mistral-7B-Merge-14-v0.3-ft-step-9984,0.6892307692307692,0.7213442202595584,0.7203248732190162,-0.06570253530354449,0.2905160786903567,9
Eurdem/megatron_v3_2x7B,0.7507692307692307,0.7115717816125896,0.7113246076053659,-0.14198749831777677,0.2547093040789269,14
FuseAI/FuseChat-7B-Slerp,0.7123076923076923,0.7096781663089027,0.7096463376036728,-0.1562798242087785,0.1748854689887121,8
KaeriJenti/kaori-70b-v1,0.7523076923076923,0.7502634515861495,0.7497458859285133,0.17120071402562956,0.2909805690869297,9
KingNish/KingNish-Llama3-8b,0.7569230769230769,0.756986800576945,0.7558954846998941,0.2176004591886605,0.18488440037477966,13
Kukedlc/Neural-4-QA-7b,0.9046153846153846,0.9286809755764005,0.9280984359628452,1.9075749423486072,0.2948520921533881,8
Kukedlc/Neural-Krishna-Multiverse-7b-v3,0.9184615384615384,0.9340152361446686,0.9338046527405487,2.1499501425032896,0.2963669580835657,10
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1,0.6338461538461538,0.6474969529425374,0.647708102685737,-0.6783375218344535,0.24250003486207347,8
NLPinas/yi-bagel-2x34b,0.8092307692307692,0.7720596059967655,0.7714839572444043,0.33232508560275575,0.24751778538789543,11
NLUHOPOE/Mistral-7B-length-100000,0.5076923076923077,0.5962643170034743,0.5967813110532464,-1.126852669151964,0.28149181976148,10
Samee-ur/NeuralPipe-7B-slerp-DPO,0.8276923076923077,0.8127643153295679,0.8124614349802812,0.6301644222532912,0.1192640654681425,8
Sao10K/Frostwind-v2.1-m7,0.6846153846153846,0.7148096352051494,0.7148206152004587,-0.11227142445564091,0.22817391232070228,8
Sao10K/Winterreise-m7,0.6738461538461539,0.6951285720145712,0.6953188511495109,-0.2786397993081065,0.17766672505809333,8
ShenaoZ/0.0001_withdpo_4iters_bs256_5102lr_iter_4,0.6876923076923077,0.7148096352051494,0.7148206152004587,-0.11227142445564091,0.22817391232070228,8
ShenaoZhang/0.001_3iters_bs256_nodpo_only4w_iter_3,0.7107692307692308,0.7148096352051494,0.7148206152004587,-0.11227142445564091,0.22817391232070228,8
Steelskull/Lumosia-MoE-4x10.7,0.7692307692307693,0.7148096352051494,0.7148206152004587,-0.11227142445564091,0.22817391232070228,8
TeeZee/DarkForest-20B-v2.0,0.6738461538461539,0.6905435199352298,0.6892515692641081,-0.33041065496235644,0.29533808707128295,11
TeeZee/DarkSapling-7B-v1.1,0.7123076923076923,0.7291231668467508,0.7291944679237244,0.008342659896958935,0.2275808640578027,8
TheBloke/orca_mini_v3_7B-GPTQ,0.54,0.5198356125840886,0.5215984805802631,-1.9369106699745062,0.22587841226841662,8
TomGrc/FusionNet_passthrough,0.7630769230769231,0.8127643153295679,0.8124614349802812,0.6301644222532912,0.1192640654681425,8
Weyaxi/Platypus-Nebula-v2-7B,0.5738461538461539,0.6872627855736456,0.6871010737439083,-0.3487152412838861,0.2960001942287132,10
YeungNLP/firefly-qwen1.5-en-7b,0.5261538461538462,0.5945666799275882,0.5952201343734095,-1.1413803537307428,0.27303623727418247,8
Yuma42/KangalKhan-ShatteredRuby-7B,0.7630769230769231,0.7502634515861495,0.7497458859285133,0.17120071402562956,0.2909805690869297,9
abacusai/Llama-3-Giraffe-70B-Instruct,0.7430769230769231,0.6444585378501339,0.6434520002145062,-0.7143129353262685,0.2925655745698787,8
abacusai/Smaug-34B-v0.1,0.8184615384615385,0.7278627304109992,0.7263303230759773,-0.015385580979435765,0.23888122817867832,16
aboros98/lilo2,0.48615384615384616,0.5446123591678762,0.5454517856708518,-1.6457467347987151,0.2436015823399635,8
alignment-handbook/zephyr-7b-dpo-full,0.68,0.6919162738348806,0.6913557717067381,-0.31247331413313695,0.2912821006421012,11
allknowingroger/NeuralCeptrix-7B-slerp,0.8923076923076924,0.9286809755764005,0.9280984359628452,1.9075749423486072,0.2948520921533881,8
cstr/phi-3-orpo-v9_16,0.6153846153846154,0.6026288830103151,0.6037470437672141,-1.0627467123446088,0.21909546682747263,8
dawn17/StarlingMaid-2x7B-base,0.7676923076923077,0.7291231668467508,0.7291944679237244,0.008342659896958935,0.2275808640578027,8
frankenmerger/delta-4B-super,0.5984615384615385,0.6046719670710065,0.604894596010221,-1.0522928730097623,0.19811626756431827,8
