model,actual_full,pirt_pred,mean_p_pred,theta,se,n_items
0-hero/Matter-0.1-Slim-7B-B,0.66,0.6937010084079407,0.694210749551932,-0.2881048142562093,0.18498184038150112,10
01-ai/Yi-9B,0.6261538461538462,0.6107622339195041,0.6119893482954195,-0.9882767009692344,0.19840873981742677,13
AA051615/A0305a,0.6246153846153846,0.6817952705212834,0.6820740307726956,-0.39135817808259854,0.17283735754915985,14
ALBADDAWI/DeepCode-7B-Aurora-v2,0.5415384615384615,0.5443415925925187,0.543880600734289,-1.6636033139902213,0.18188237776291144,22
CHIH-HUNG/llama-2-13b-alpaca-test,0.6184615384615385,0.6026069512642569,0.6032216487850987,-1.0675426721729337,0.19436517468858028,14
Charlie911/llama2-MultiLoRA-sharegpt-mmlu-drop-ffn-1.0general,0.4969230769230769,0.5080736093307836,0.5087895293507706,-2.11300212391166,0.19982922976814363,16
ChavyvAkvar/llama-3-lumimaid-habib-v3,0.6169230769230769,0.6012484398436182,0.6009952302260733,-1.087935723487992,0.1935417046065353,25
DreadPoor/NewtoccineLake-slerp-7B,0.8061538461538461,0.7281181126334281,0.7269133331256065,-0.01053920889879821,0.1824276350222327,12
EmbeddedLLM/Mistral-7B-Merge-14-v0.3-ft-step-9984,0.6892307692307692,0.730690038019691,0.7295553859528713,0.011317607818676335,0.19029635491657015,13
Eurdem/megatron_v3_2x7B,0.7507692307692307,0.7287258436474654,0.7288228627660845,0.005275921360919436,0.16524004929841032,16
FuseAI/FuseChat-7B-Slerp,0.7123076923076923,0.7096781663089027,0.7096463376036728,-0.1562798242087785,0.1748854689887121,8
KaeriJenti/kaori-70b-v1,0.7523076923076923,0.7637553599028483,0.7634013649706469,0.27327387697734673,0.19654741824335883,11
KingNish/KingNish-Llama3-8b,0.7569230769230769,0.756986800576945,0.7558954846998941,0.2176004591886605,0.18488440037477966,13
Kukedlc/Neural-4-QA-7b,0.9046153846153846,0.9303689908667486,0.9301203420990429,1.9830088712196754,0.19691615464533455,14
Kukedlc/Neural-Krishna-Multiverse-7b-v3,0.9184615384615384,0.9289632541062132,0.9295637205710444,1.961231300289316,0.19089854465006248,16
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1,0.6338461538461538,0.5942657533123392,0.5954302662056132,-1.1394214250813595,0.199377674182169,16
NLPinas/yi-bagel-2x34b,0.8092307692307692,0.7735969496949204,0.7730389986103823,0.3435980542641514,0.17462442410283163,14
NLUHOPOE/Mistral-7B-length-100000,0.5076923076923077,0.5898038069821141,0.5908583681494631,-1.1822948529812405,0.19224366964186324,16
Samee-ur/NeuralPipe-7B-slerp-DPO,0.8276923076923077,0.8127643153295679,0.8124614349802812,0.6301644222532912,0.1192640654681425,8
Sao10K/Frostwind-v2.1-m7,0.6846153846153846,0.7077844479967502,0.7078956073594217,-0.17120425893675698,0.1931286881765061,10
Sao10K/Winterreise-m7,0.6738461538461539,0.6951285720145712,0.6953188511495109,-0.2786397993081065,0.17766672505809333,8
ShenaoZ/0.0001_withdpo_4iters_bs256_5102lr_iter_4,0.6876923076923077,0.7163824696600145,0.7161840548978546,-0.10070737130364457,0.16311651064452543,11
ShenaoZhang/0.001_3iters_bs256_nodpo_only4w_iter_3,0.7107692307692308,0.7212759047394832,0.7207892271617572,-0.061790219284473556,0.16960885616678623,12
Steelskull/Lumosia-MoE-4x10.7,0.7692307692307693,0.760544336371248,0.7601466692286855,0.24924480786180256,0.16405075974870884,16
TeeZee/DarkForest-20B-v2.0,0.6738461538461539,0.6694094029813363,0.6683899445342636,-0.5060535745054527,0.18059133614643338,25
TeeZee/DarkSapling-7B-v1.1,0.7123076923076923,0.7333551621513804,0.7332206856805316,0.041315041687221124,0.18615393575398217,11
TheBloke/orca_mini_v3_7B-GPTQ,0.54,0.5236225250941146,0.5252824554964769,-1.8889754665071605,0.1871069693925245,11
TomGrc/FusionNet_passthrough,0.7630769230769231,0.8127643153295679,0.8124614349802812,0.6301644222532912,0.1192640654681425,8
Weyaxi/Platypus-Nebula-v2-7B,0.5738461538461539,0.7000671789876513,0.7001749980153339,-0.23713930203642214,0.19045283336848812,11
YeungNLP/firefly-qwen1.5-en-7b,0.5261538461538462,0.5935635183078192,0.5942510778507034,-1.1504285794110278,0.19506521525626996,14
Yuma42/KangalKhan-ShatteredRuby-7B,0.7630769230769231,0.7637553599028483,0.7634013649706469,0.27327387697734673,0.19654741824335883,11
abacusai/Llama-3-Giraffe-70B-Instruct,0.7430769230769231,0.6520068178089587,0.6513265393337341,-0.6479467775412473,0.19978867507632503,14
abacusai/Smaug-34B-v0.1,0.8184615384615385,0.732894495590004,0.7313110850669429,0.025736751790865126,0.19263625472224508,19
aboros98/lilo2,0.48615384615384616,0.5597433181743492,0.5604060630864051,-1.483469655285405,0.19899146498103137,11
alignment-handbook/zephyr-7b-dpo-full,0.68,0.6935781930518065,0.6935006929648819,-0.29416812514423946,0.18381988504751212,16
allknowingroger/NeuralCeptrix-7B-slerp,0.8923076923076924,0.9269312906381738,0.9262008906338308,1.8449895334259236,0.17079970249936333,15
cstr/phi-3-orpo-v9_16,0.6153846153846154,0.6070726090595547,0.6080717029751656,-1.0234987639412458,0.19378019949527653,9
dawn17/StarlingMaid-2x7B-base,0.7676923076923077,0.7404318650478428,0.7402158486923518,0.09736261039951796,0.1703924792824327,9
frankenmerger/delta-4B-super,0.5984615384615385,0.6046719670710065,0.604894596010221,-1.0522928730097623,0.19811626756431827,8
google/codegemma-7b,0.5184615384615384,0.5508892681209264,0.5525234620640798,-1.5673874520806512,0.19063541629336794,14
jingyeom/KoSoLAR-10.7B-v0.2_1.4_dedup,0.6276923076923077,0.6162197173648867,0.6164733297899658,-0.9483145519840227,0.1902175651006652,12
jondurbin/nontoxic-bagel-34b-v0.2,0.8076923076923077,0.7735969496949204,0.7730389986103823,0.3435980542641514,0.17462442410283163,14
kyujinpy/Sakura-SOLAR-Instruct,0.796923076923077,0.7730926256696993,0.7725299733475482,0.3399107502447479,0.15329924012902546,13
mahiatlinux/MasherAI-7B-v6.1,0.72,0.7273465129141047,0.7265599481354702,-0.01347583880831424,0.17397893715538576,13
meraGPT/mera-mix-4x7B,0.9092307692307692,0.9209305654316919,0.9211710747481174,1.707340810305622,0.16124385796059454,8
netcat420/MFANN3bv0.4,0.6307692307692307,0.7166402294208853,0.7157595254766006,-0.10430629606202094,0.18873684140966804,13
netcat420/MFANN3bv0.6,0.6615384615384615,0.6073380741369265,0.6064305518513934,-1.0383457676517776,0.19451634197013246,20
nisten/bigdoc-c34b-instruct-tf32,0.5292307692307693,0.5664310503221774,0.5673532641352735,-1.4119603862027488,0.1994560786344342,9
raidhon/coven_7b_128k_orpo_alpha,0.7723076923076924,0.7404318650478428,0.7402158486923518,0.09736261039951796,0.1703924792824327,9
saucam/mistral-orpo-beta-NeuralBeagle14-7B-dare-ties,0.7723076923076924,0.751205033355006,0.7508790983413446,0.17981423813859068,0.15587723161496017,10
shanchen/llama3-slerp-med,0.5953846153846154,0.599685747416626,0.5997884587942492,-1.0990373034996934,0.19622615302934493,14
souvik0306/mistral_7b_2epoch_norobots,0.6630769230769231,0.6809515001543781,0.68102528705624,-0.40022302539213517,0.1977533949008963,11
tenyx/Llama3-TenyxChat-70B,0.78,0.6571192472585901,0.6570931216599379,-0.5998306456017874,0.19980080809962808,13
theNovaAI/Supernova-experimental,0.6692307692307692,0.7005393114493745,0.7007174054887894,-0.23250348786875852,0.17179059756311563,12
upaya07/Birbal-7B-V1,0.6861538461538461,0.7163824696600145,0.7161840548978546,-0.10070737130364457,0.16311651064452543,11
uukuguy/speechless-llama2-13b,0.6615384615384615,0.669222695584099,0.6678692242393157,-0.5103815619811339,0.1788923174184581,23
vicgalle/franken-SOLAR-18B-v1.0,0.7123076923076923,0.7100810880806252,0.7108667557913871,-0.14588507829188,0.19565680845626943,11
xDAN2099/xDAN-L2-moe-2x-v1,0.7338461538461538,0.7250203158256561,0.7251635687384828,-0.025107427041886426,0.1955585397978629,12
xriminact/TarsChattyBasev0.1,0.6446153846153846,0.6676600275073089,0.667639859627272,-0.5122873867733624,0.18385410341445463,10
yunconglong/10.7Bx2_DPO_200,0.7738461538461539,0.8029202657355823,0.8032263946138871,0.5622322401708343,0.18078552345076818,8
