fold,estimator,n,r,slope,mae,bias
pooled,online,52,0.8797726314474072,0.42608278429060803,0.8863903778386895,0.29985601061807154
pooled,eap,52,0.9105518486316384,0.5754711924103898,0.733787812427286,0.3217331794189727
pooled,mwle,52,0.9018534480710808,0.6211168879419695,0.7212502603860589,0.335417964920748
0,online,11,0.9535569974772182,0.5675900995811823,0.539295935210591,0.010822601332361882
0,eap,11,0.9404719213745083,0.7719658598684527,0.4343905811111847,-0.057015788484331004
0,mwle,11,0.9290826452825393,0.807064052190168,0.4455389461510908,-0.12405396334922748
1,online,10,0.9684536020235954,0.35170396875819876,1.2935312924934588,0.5186290024559662
1,eap,10,0.9708583740928364,0.48642621441704514,1.1035718865379625,0.5657220503903975
1,mwle,10,0.9660831614406677,0.5391623167365027,1.0280093052177741,0.5593989821835301
2,online,10,0.9188720724614579,0.41127930595087125,1.2620877426537835,0.4963267284123294
2,eap,10,0.9477427945588629,0.6000166904568405,0.8885465211663945,0.5677449973390563
2,mwle,10,0.9420045311740411,0.6469883808302038,0.8825968758803875,0.6318027673431122
3,online,10,0.9590144417855326,0.6025512626028052,0.4812336400405541,0.17998976615968265
3,eap,10,0.9618127655239165,0.651867907244707,0.4580230138726865,0.19320957614580286
3,mwle,10,0.9621718655734032,0.6598714080500814,0.45224761541207636,0.19723354552991204
4,online,11,0.7818459009051146,0.40425279722989904,0.8901379644015802,0.3203644515639958
4,eap,11,0.8548917831637818,0.5297432522073645,0.8070232398386724,0.37186661494196893
4,mwle,11,0.8422809885875897,0.5902069103921858,0.8159588333918812,0.44745225655953225
